date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	43.17	43.72	43.17	43.54	609091	EUR	
25/09/2018 00:00	43.47	43.66	43.36	43.58	467790	EUR	
26/09/2018 00:00	43.44	43.95	43.39	43.82	507919	EUR	
27/09/2018 00:00	43.82	44.06	43.76	43.96	491471	EUR	
28/09/2018 00:00	43.98	44.22	43.87	44.22	943737	EUR	
01/10/2018 00:00	44.06	44.31	44	44.3	530462	EUR	
02/10/2018 00:00	44.1	44.1	43.67	43.89	778279	EUR	
03/10/2018 00:00	44	44	43.32	43.61	899709	EUR	
04/10/2018 00:00	43.46	43.61	42.48	42.55	1284304	EUR	
05/10/2018 00:00	42	42.21	41.7	41.8	1110631	EUR	
08/10/2018 00:00	41.7	41.98	41.47	41.7	766481	EUR	
09/10/2018 00:00	41.72	42.03	41.56	41.79	679416	EUR	
10/10/2018 00:00	41.87	41.89	41.49	41.68	1426844	EUR	
11/10/2018 00:00	41.31	41.66	40.99	41.16	1455450	EUR	
12/10/2018 00:00	41.57	41.6	41.08	41.32	999409	EUR	
15/10/2018 00:00	41.12	41.51	41.03	41.3	879571	EUR	
16/10/2018 00:00	41.3	41.7	40.97	41.7	1063900	EUR	
17/10/2018 00:00	41.91	42.42	41.59	41.62	1133580	EUR	
18/10/2018 00:00	41.52	42.03	41.47	41.57	977493	EUR	
19/10/2018 00:00	41.71	41.95	40.3	40.9	1674467	EUR	
22/10/2018 00:00	41	41.25	40.19	40.21	1313163	EUR	
23/10/2018 00:00	39.87	40.11	39.34	39.34	1439220	EUR	
24/10/2018 00:00	39.59	39.59	38.72	38.93	1234121	EUR	
25/10/2018 00:00	38.65	40.21	38.12	40.13	1437057	EUR	
26/10/2018 00:00	39.91	39.98	38.98	39.44	1359222	EUR	
29/10/2018 00:00	39.95	40.46	38.8	39.97	871601	EUR	
30/10/2018 00:00	40.12	40.39	39.54	40.1	864293	EUR	
31/10/2018 00:00	40.42	40.61	40.13	40.42	986029	EUR	
01/11/2018 00:00	40.39	41.13	40.24	40.8	800675	EUR	
02/11/2018 00:00	40.99	41.48	40.8	41.05	744418	EUR	
05/11/2018 00:00	41	41.23	40.8	40.85	564787	EUR	
06/11/2018 00:00	40.79	40.94	40.56	40.65	837226	EUR	
07/11/2018 00:00	40.79	40.8	40.39	40.66	827564	EUR	
08/11/2018 00:00	40.79	41.05	40.02	40.16	1299275	EUR	
09/11/2018 00:00	40.18	40.62	39.77	39.8	926460	EUR	
12/11/2018 00:00	39.95	40.21	39.13	39.3	797160	EUR	
13/11/2018 00:00	39.52	40.08	39.52	39.98	656274	EUR	
14/11/2018 00:00	40.01	40.77	39.42	40.21	1233335	EUR	
15/11/2018 00:00	40.17	40.34	39.27	39.42	959714	EUR	
16/11/2018 00:00	39.56	40.1	39.18	39.32	1170229	EUR	
19/11/2018 00:00	39.42	39.72	38.79	38.88	800806	EUR	
20/11/2018 00:00	38.63	38.76	38.25	38.52	750891	EUR	
21/11/2018 00:00	38.69	39.12	38.44	39.12	655361	EUR	
22/11/2018 00:00	38.88	39.08	38.24	38.58	600912	EUR	
23/11/2018 00:00	38.52	39.29	38.3	39.29	642631	EUR	
26/11/2018 00:00	39.5	40.09	39.28	39.5	1000957	EUR	
27/11/2018 00:00	39.48	40.6	39.26	40.23	1058576	EUR	
28/11/2018 00:00	40.31	40.47	39.98	40.31	705016	EUR	
29/11/2018 00:00	40.61	40.96	39.83	39.87	852271	EUR	
30/11/2018 00:00	40.06	40.06	39.19	39.2	1236016	EUR	
03/12/2018 00:00	40.04	40.35	38.41	38.93	1484480	EUR	
04/12/2018 00:00	39.1	39.4	38.68	38.88	1024510	EUR	
05/12/2018 00:00	38.54	38.9	38.29	38.51	634364	EUR	
06/12/2018 00:00	38.24	38.31	36.94	36.98	1435362	EUR	
07/12/2018 00:00	37.36	38.15	37.36	37.64	993421	EUR	
10/12/2018 00:00	37.48	37.77	36.74	36.74	1068406	EUR	
11/12/2018 00:00	36.6	38.07	36.6	37.55	877155	EUR	
12/12/2018 00:00	37.77	38.55	37.46	38.48	1103028	EUR	
13/12/2018 00:00	38.69	38.75	37.95	37.95	663107	EUR	
14/12/2018 00:00	37.91	37.91	37.37	37.77	742522	EUR	
17/12/2018 00:00	37.81	38.07	37.65	37.92	547228	EUR	
18/12/2018 00:00	37.93	37.94	36.36	36.36	1280555	EUR	
19/12/2018 00:00	36.5	37.12	36.5	36.61	903020	EUR	
20/12/2018 00:00	36.3	36.77	35.76	36.14	1227977	EUR	
21/12/2018 00:00	36.04	36.1	35.48	35.73	1468349	EUR	
24/12/2018 00:00	35.46	36.2	35.3	36.2	441361	EUR	
27/12/2018 00:00	36.12	36.2	35.36	35.62	972935	EUR	
28/12/2018 00:00	35.75	36.53	35.7	36.44	608698	EUR	
31/12/2018 00:00	36.73	37.11	36.6	37.11	220390	EUR	
02/01/2019 00:00	36.94	36.94	36.04	36.6	562162	EUR	
03/01/2019 00:00	36.39	36.55	36	36	800687	EUR	
04/01/2019 00:00	36.41	37.03	36.17	36.84	1074737	EUR	
07/01/2019 00:00	37.02	37.02	36.44	37	554260	EUR	
08/01/2019 00:00	37.1	37.46	36.87	37.09	720341	EUR	
09/01/2019 00:00	37.3	38.05	37.3	37.54	786306	EUR	
10/01/2019 00:00	37.55	37.86	37.34	37.65	793470	EUR	
11/01/2019 00:00	37.5	37.98	37.5	37.83	645063	EUR	
14/01/2019 00:00	37.56	37.78	37.37	37.58	583240	EUR	
15/01/2019 00:00	37.73	37.94	37.49	37.49	621558	EUR	
16/01/2019 00:00	37.72	38.1	37.63	37.87	786206	EUR	
17/01/2019 00:00	37.77	38.1	37.6	37.77	642018	EUR	
18/01/2019 00:00	37.76	39.09	37.76	39.02	1423616	EUR	
21/01/2019 00:00	38.6	39.08	38.55	38.8	746830	EUR	
22/01/2019 00:00	38.76	39.15	38.76	38.95	429841	EUR	
23/01/2019 00:00	38.86	39.09	38.65	38.69	494779	EUR	
24/01/2019 00:00	38.86	39.31	38.4	38.57	894453	EUR	
25/01/2019 00:00	38.63	38.93	38.35	38.52	732296	EUR	
28/01/2019 00:00	38.4	39.12	38.39	38.42	606938	EUR	
29/01/2019 00:00	38.5	38.8	38.09	38.09	899531	EUR	
30/01/2019 00:00	38.17	38.62	37.87	38.5	476189	EUR	
31/01/2019 00:00	38.5	38.54	38.03	38.03	887494	EUR	
01/02/2019 00:00	38.05	38.25	37.91	38.09	664391	EUR	
04/02/2019 00:00	38.11	38.41	37.85	37.96	552084	EUR	
05/02/2019 00:00	38.08	39.05	37.87	39.05	899158	EUR	
06/02/2019 00:00	39.75	39.78	39.25	39.36	830361	EUR	
07/02/2019 00:00	39.1	39.18	38.52	38.52	999799	EUR	
08/02/2019 00:00	38.43	38.43	37.82	37.82	944071	EUR	
11/02/2019 00:00	38.28	38.51	38.02	38.45	557399	EUR	
12/02/2019 00:00	38.74	38.76	38.26	38.26	550452	EUR	
13/02/2019 00:00	38.18	39.51	38.18	39.4	1002388	EUR	
14/02/2019 00:00	39.48	39.59	39.16	39.27	843589	EUR	
15/02/2019 00:00	39.29	39.73	39.04	39.65	821718	EUR	
18/02/2019 00:00	39.74	39.92	39.44	39.79	406634	EUR	
19/02/2019 00:00	39.93	40.14	39.57	39.85	862761	EUR	
20/02/2019 00:00	39.87	40.14	39.75	40.06	584891	EUR	
21/02/2019 00:00	39.24	39.31	38.15	38.58	1767752	EUR	
22/02/2019 00:00	38.5	38.5	37.9	37.94	1323518	EUR	
25/02/2019 00:00	38	38.34	37.9	38.06	902098	EUR	
26/02/2019 00:00	37.97	38.08	37.57	37.8	1122460	EUR	
27/02/2019 00:00	37.63	37.81	37.21	37.29	1155504	EUR	
28/02/2019 00:00	37.2	37.42	36.94	37.12	1390500	EUR	
01/03/2019 00:00	37.17	37.5	37	37	876405	EUR	
04/03/2019 00:00	37.17	37.35	36.97	37.08	773978	EUR	
05/03/2019 00:00	36.98	37.45	36.82	37.33	962778	EUR	
06/03/2019 00:00	37	37.22	36.41	36.81	1673009	EUR	
07/03/2019 00:00	36.08	36.67	35.86	36.09	1935736	EUR	
08/03/2019 00:00	35.79	36.1	35.24	35.71	1781423	EUR	
11/03/2019 00:00	35.8	36.08	35.4	35.79	1120174	EUR	
12/03/2019 00:00	35.95	36.26	35.88	36.11	1652431	EUR	
13/03/2019 00:00	36.09	36.68	36	36.68	1515723	EUR	
14/03/2019 00:00	36.66	37.45	36.58	37.45	1546298	EUR	
15/03/2019 00:00	37.43	38.02	37.29	38.02	2166684	EUR	
18/03/2019 00:00	38	38	37.68	38	1068004	EUR	
19/03/2019 00:00	37.98	38.16	37.81	38.04	1089645	EUR	
20/03/2019 00:00	38.13	38.29	37.55	37.55	1080066	EUR	
21/03/2019 00:00	37.52	38.15	37.11	37.95	965123	EUR	
22/03/2019 00:00	38	38	36.96	36.96	1326908	EUR	
25/03/2019 00:00	36.9	37.14	36.23	36.87	1003597	EUR	
26/03/2019 00:00	37	37.14	36.62	36.62	994852	EUR	
27/03/2019 00:00	36.6	36.79	36.09	36.13	1176132	EUR	
28/03/2019 00:00	36.21	36.43	35.77	35.77	867568	EUR	
29/03/2019 00:00	35.85	36.15	35.67	36.11	986100	EUR	
01/04/2019 00:00	36.08	36.5	36.08	36.5	1014502	EUR	
02/04/2019 00:00	36.5	37.1	36.5	37.09	733920	EUR	
03/04/2019 00:00	37.21	37.57	37.2	37.46	657407	EUR	
04/04/2019 00:00	37.5	37.54	37.25	37.34	643430	EUR	
05/04/2019 00:00	37.3	37.51	37.25	37.37	669856	EUR	
08/04/2019 00:00	37.2	37.39	36.79	36.83	556107	EUR	
09/04/2019 00:00	36.83	36.9	36.54	36.63	823549	EUR	
10/04/2019 00:00	36.56	36.87	36.51	36.87	681043	EUR	
11/04/2019 00:00	36.95	37.69	36.93	37.69	892295	EUR	
12/04/2019 00:00	37.42	37.52	37.04	37.13	746907	EUR	
15/04/2019 00:00	37.23	37.32	36.84	36.86	592963	EUR	
16/04/2019 00:00	36.86	37.35	36.86	37.08	480001	EUR	
17/04/2019 00:00	37.17	37.85	37.04	37.75	829600	EUR	
18/04/2019 00:00	37.62	37.85	37.32	37.73	904481	EUR	
23/04/2019 00:00	38	38.84	37.5	38.66	1172441	EUR	
24/04/2019 00:00	38.56	38.62	38.03	38.05	670598	EUR	
25/04/2019 00:00	38	38.21	37.74	37.86	568505	EUR	
26/04/2019 00:00	37.8	37.97	37.53	37.91	449186	EUR	
29/04/2019 00:00	38	38.44	37.9	38.36	591978	EUR	
30/04/2019 00:00	38.14	38.15	37.47	37.56	781436	EUR	
02/05/2019 00:00	37.5	38.16	37.41	37.83	809090	EUR	
03/05/2019 00:00	37.8	37.87	37.5	37.68	591505	EUR	
06/05/2019 00:00	37.43	37.43	36.47	36.9	718173	EUR	
07/05/2019 00:00	36.87	37.06	36.49	36.49	827530	EUR	
08/05/2019 00:00	36.5	36.7	36.38	36.57	588932	EUR	
09/05/2019 00:00	36.54	36.69	35.96	35.96	965924	EUR	
10/05/2019 00:00	35.54	35.67	34.97	35.08	1047563	EUR	
13/05/2019 00:00	34.98	35.06	34.04	34.3	1257195	EUR	
14/05/2019 00:00	34.5	34.9	34.33	34.9	892820	EUR	
15/05/2019 00:00	35.05	35.16	34.6	34.8	755560	EUR	
16/05/2019 00:00	34.78	34.78	34.28	34.65	755462	EUR	
17/05/2019 00:00	34.55	35.01	34.42	34.96	695969	EUR	
20/05/2019 00:00	34.86	34.88	34.02	34.3	869492	EUR	
21/05/2019 00:00	34.5	34.54	34.22	34.39	560788	EUR	
22/05/2019 00:00	34.46	34.65	34.35	34.48	525776	EUR	
23/05/2019 00:00	34.27	34.41	33.92	34.16	853433	EUR	
24/05/2019 00:00	34.25	34.37	33.92	33.95	1018497	EUR	
27/05/2019 00:00	34.2	34.38	33.96	34.03	217925	EUR	
28/05/2019 00:00	34.16	34.4	33.97	34.15	1217375	EUR	
29/05/2019 00:00	34	34	33.17	33.23	845716	EUR	
30/05/2019 00:00	33.3	33.36	32.99	33.29	442206	EUR	
31/05/2019 00:00	32.97	33.18	32.76	33.04	668197	EUR	
03/06/2019 00:00	32.83	32.93	32.56	32.69	542552	EUR	
04/06/2019 00:00	32.61	33	32.39	32.84	991297	EUR	
05/06/2019 00:00	33	33.88	32.95	33.5	949599	EUR	
06/06/2019 00:00	33.58	34.1	33.46	33.72	1044530	EUR	
07/06/2019 00:00	33.79	34.29	33.65	34.25	705151	EUR	
10/06/2019 00:00	34.4	34.78	34.35	34.61	446234	EUR	
11/06/2019 00:00	34.76	35.01	34.55	34.78	770312	EUR	
12/06/2019 00:00	34.6	34.71	34.22	34.22	787781	EUR	
13/06/2019 00:00	34.25	34.82	34.2	34.69	666863	EUR	
14/06/2019 00:00	34.55	34.94	34.5	34.8	578085	EUR	
17/06/2019 00:00	34.82	34.99	34.47	34.62	642283	EUR	
18/06/2019 00:00	35.14	36.37	35.06	36.32	1756689	EUR	
19/06/2019 00:00	36.32	36.52	35.75	36.29	1132490	EUR	
20/06/2019 00:00	36.41	36.5	35.58	35.8	1304857	EUR	
21/06/2019 00:00	35.85	36.29	35.66	36.24	1632908	EUR	
24/06/2019 00:00	36.24	37.01	36.24	36.76	1171494	EUR	
25/06/2019 00:00	36.71	37.47	36.5	37.14	871679	EUR	
26/06/2019 00:00	36.97	37.55	36.78	37.12	743196	EUR	
27/06/2019 00:00	37.27	37.64	37.16	37.27	647515	EUR	
28/06/2019 00:00	37.3	37.78	37.19	37.75	899951	EUR	
01/07/2019 00:00	38	38.49	37.92	38.16	767358	EUR	
02/07/2019 00:00	38.13	38.22	37.74	38.07	637555	EUR	
03/07/2019 00:00	38.07	38.82	38.07	38.56	556475	EUR	
04/07/2019 00:00	38.56	38.88	38.49	38.79	387739	EUR	
05/07/2019 00:00	38.89	39.06	38.57	38.69	569297	EUR	
08/07/2019 00:00	38.46	38.66	37.92	38.11	574723	EUR	
09/07/2019 00:00	38.02	38.32	37.87	38.12	635802	EUR	
10/07/2019 00:00	38.06	38.28	38.02	38.06	518705	EUR	
11/07/2019 00:00	38.17	38.49	37.97	38.17	476054	EUR	
12/07/2019 00:00	38.19	40.24	38.16	40.24	1996250	EUR	
15/07/2019 00:00	40.1	40.15	39.23	39.94	1136613	EUR	
16/07/2019 00:00	39.9	40.51	39.84	39.85	1145808	EUR	
17/07/2019 00:00	39.8	40.01	39.26	39.46	705103	EUR	
18/07/2019 00:00	39.09	39.4	38.93	39.21	491762	EUR	
19/07/2019 00:00	39.33	39.55	39.05	39.45	419385	EUR	
22/07/2019 00:00	40	40.41	39.75	40.29	908555	EUR	
23/07/2019 00:00	40.34	41.25	40.29	41.2	1188187	EUR	
24/07/2019 00:00	41.29	41.29	40.86	41.07	605267	EUR	
25/07/2019 00:00	41.36	41.49	40.68	40.96	737168	EUR	
26/07/2019 00:00	40.96	41.75	40.96	41.33	595688	EUR	
29/07/2019 00:00	41.2	41.31	40.98	41.13	561883	EUR	
30/07/2019 00:00	40.78	41.15	40.2	40.26	768469	EUR	
31/07/2019 00:00	39.99	40.64	39.77	40.3	568948	EUR	
01/08/2019 00:00	40.05	40.54	39.3	40	879505	EUR	
02/08/2019 00:00	39.11	39.19	37.86	38.3	1207281	EUR	
05/08/2019 00:00	38.06	38.06	36.69	37.18	1030740	EUR	
06/08/2019 00:00	37.05	37.47	36.71	36.99	772120	EUR	
07/08/2019 00:00	37.35	37.76	37.13	37.38	654007	EUR	
08/08/2019 00:00	37.97	38.15	37.48	38.15	631997	EUR	
09/08/2019 00:00	38.43	38.43	37.69	37.99	436580	EUR	
12/08/2019 00:00	38.28	38.85	38.1	38.35	623323	EUR	
13/08/2019 00:00	38.26	38.81	37.58	38.5	779132	EUR	
14/08/2019 00:00	38.65	38.67	37.19	37.32	837933	EUR	
15/08/2019 00:00	37.71	37.97	36.62	37.2	791547	EUR	
16/08/2019 00:00	37.28	37.92	37.25	37.88	428623	EUR	
19/08/2019 00:00	38.2	38.57	38.03	38.57	500226	EUR	
20/08/2019 00:00	38.35	38.6	38.33	38.5	609043	EUR	
21/08/2019 00:00	38.6	39.27	38.57	39.05	549309	EUR	
22/08/2019 00:00	39.01	39.17	38.52	38.69	576604	EUR	
23/08/2019 00:00	38.86	39.22	38.23	38.23	465540	EUR	
26/08/2019 00:00	38.03	38.71	37.82	38.55	337604	EUR	
27/08/2019 00:00	38.6	38.61	38.05	38.51	510553	EUR	
28/08/2019 00:00	38.31	38.52	37.93	38.27	354622	EUR	
29/08/2019 00:00	38.44	39.02	38.27	38.8	681757	EUR	
30/08/2019 00:00	38.78	39.37	38.7	39.26	722798	EUR	
02/09/2019 00:00	39.26	39.45	39	39.41	296415	EUR	
03/09/2019 00:00	39.38	39.55	39.01	39.43	436120	EUR	
04/09/2019 00:00	39.9	40.02	39.74	39.92	592558	EUR	
05/09/2019 00:00	40	40.06	39.9	40.03	649498	EUR	
06/09/2019 00:00	40.05	40.05	39.55	39.97	477948	EUR	
09/09/2019 00:00	39.95	40.42	39.65	40	648332	EUR	
10/09/2019 00:00	40	40.1	39.71	39.78	740572	EUR	
11/09/2019 00:00	39.85	40.08	39.35	39.54	739497	EUR	
12/09/2019 00:00	39	39.25	38.05	38.38	1006023	EUR	
13/09/2019 00:00	38.33	38.88	38.28	38.75	750178	EUR	
16/09/2019 00:00	38.5	39.18	38.39	38.85	753145	EUR	
17/09/2019 00:00	39.36	39.36	38.58	38.97	887538	EUR	
18/09/2019 00:00	38.77	39.44	38.74	39.29	605445	EUR	
19/09/2019 00:00	39.31	39.92	39.24	39.7	612723	EUR	
20/09/2019 00:00	39.4	39.85	39.33	39.59	1559524	EUR	
23/09/2019 00:00	39.43	39.58	38.6	38.9	555852	EUR	
24/09/2019 00:00	38.84	39.11	38.76	38.9	274158	EUR	
