date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	106.48	106.76	105.26	105.98	914960	EUR	
25/09/2018 00:00	105.7	106.52	104.92	105.08	1148229	EUR	
26/09/2018 00:00	105.4	108.48	104.8	108.48	1980047	EUR	
27/09/2018 00:00	108.04	108.98	106.94	108.9	991492	EUR	
28/09/2018 00:00	108.5	109.16	106.94	108.18	1341147	EUR	
01/10/2018 00:00	108.68	108.74	107.1	107.4	805992	EUR	
02/10/2018 00:00	106.3	106.4	105.4	105.68	1403390	EUR	
03/10/2018 00:00	106.24	107.34	105.84	107.06	1167252	EUR	
04/10/2018 00:00	106.74	106.74	104.56	105.26	1429096	EUR	
05/10/2018 00:00	105.6	106.3	104	104	1067060	EUR	
08/10/2018 00:00	104.34	105.96	102.16	103.62	1610463	EUR	
09/10/2018 00:00	103.76	104.38	101.04	102.5	1306812	EUR	
10/10/2018 00:00	102.7	103.1	98.9	98.99	1831247	EUR	
11/10/2018 00:00	97.02	99.51	93.59	97.33	3507915	EUR	
12/10/2018 00:00	99	101.44	98.01	100.26	2510746	EUR	
15/10/2018 00:00	99.14	100.22	97.81	97.81	1822785	EUR	
16/10/2018 00:00	97.8	101.72	97.55	101.72	1877647	EUR	
17/10/2018 00:00	102.24	102.62	100.18	100.86	1286634	EUR	
18/10/2018 00:00	100.28	101.52	98.78	99.31	1630849	EUR	
19/10/2018 00:00	99.79	101.44	97.05	97.95	2488856	EUR	
22/10/2018 00:00	98.34	98.88	96.31	96.31	1441080	EUR	
23/10/2018 00:00	96.5	96.5	94.1	94.14	2542403	EUR	
24/10/2018 00:00	95.26	96.95	93.51	95.31	2651513	EUR	
25/10/2018 00:00	95.02	98.3	94.75	97.94	2271247	EUR	
26/10/2018 00:00	96.88	96.88	91.52	96.15	3184210	EUR	
29/10/2018 00:00	95.39	99.89	94.75	95.83	1467805	EUR	
30/10/2018 00:00	96.48	97.08	92.24	93.9	2644992	EUR	
31/10/2018 00:00	96.25	99.77	93.02	97.71	3915169	EUR	
01/11/2018 00:00	97.64	98.23	96	96.5	1878563	EUR	
02/11/2018 00:00	97.29	98.77	95.39	95.61	1694118	EUR	
05/11/2018 00:00	96.01	96.4	94.74	95.38	1217718	EUR	
06/11/2018 00:00	96	96.99	95.56	95.85	1340977	EUR	
07/11/2018 00:00	96.4	97.13	95.45	96.09	1152082	EUR	
08/11/2018 00:00	96.09	96.84	95.4	95.65	1182886	EUR	
09/11/2018 00:00	95.45	95.51	94.02	94.68	1236728	EUR	
12/11/2018 00:00	94.9	95.66	94.21	94.39	973198	EUR	
13/11/2018 00:00	94.57	96.85	94.55	96.42	1377906	EUR	
14/11/2018 00:00	95.88	97.19	94.04	95.53	1460615	EUR	
15/11/2018 00:00	96.36	96.49	93.27	93.86	1396280	EUR	
16/11/2018 00:00	94.58	94.8	91.89	92.89	1497327	EUR	
19/11/2018 00:00	92.9	93.96	92.41	92.57	1260960	EUR	
20/11/2018 00:00	91.56	92.33	89.96	91.07	1772439	EUR	
21/11/2018 00:00	91.98	93.21	90.73	93.17	1473760	EUR	
22/11/2018 00:00	92.89	92.97	92.1	92.33	791079	EUR	
23/11/2018 00:00	92.14	93.64	92.14	93.41	901392	EUR	
26/11/2018 00:00	94.2	95.13	93.46	93.58	1261380	EUR	
27/11/2018 00:00	93.83	94.16	93.16	93.7	1306476	EUR	
28/11/2018 00:00	93.96	94.02	93.4	93.5	1231357	EUR	
29/11/2018 00:00	94	95.42	93.97	94.86	1819874	EUR	
30/11/2018 00:00	95.37	95.46	94.45	94.62	1370144	EUR	
03/12/2018 00:00	97.27	97.3	95.06	95.7	1246570	EUR	
04/12/2018 00:00	95.39	95.67	94.26	94.27	1354279	EUR	
05/12/2018 00:00	93.11	93.51	92.03	92.31	1192729	EUR	
06/12/2018 00:00	90.94	91.05	88.15	88.64	2054120	EUR	
07/12/2018 00:00	90.05	90.86	89.07	89.07	1425234	EUR	
10/12/2018 00:00	88.61	89.56	87.39	87.49	1787443	EUR	
11/12/2018 00:00	88.08	89.85	87.44	88.6	1605717	EUR	
12/12/2018 00:00	89.18	91.77	88.61	91.48	2067671	EUR	
13/12/2018 00:00	91.57	92.3	89.73	89.97	1739620	EUR	
14/12/2018 00:00	89.29	89.79	88.32	88.67	2106031	EUR	
17/12/2018 00:00	88.43	88.9	86.96	87.65	1315537	EUR	
18/12/2018 00:00	87.58	89.27	87.06	88.65	1654569	EUR	
19/12/2018 00:00	88.83	88.99	87.04	87.2	1731092	EUR	
20/12/2018 00:00	85.6	85.6	78.83	83.33	3558647	EUR	
21/12/2018 00:00	82.75	84.21	82.05	83.1	3670837	EUR	
24/12/2018 00:00	81.54	82.58	81.2	81.63	392591	EUR	
27/12/2018 00:00	82.92	83.73	81.06	82.1	1611466	EUR	
28/12/2018 00:00	82.98	84.33	82.56	83.76	1257945	EUR	
31/12/2018 00:00	83.83	84.22	83.27	83.96	426473	EUR	
02/01/2019 00:00	83.58	84.45	82.1	84.17	1483033	EUR	
03/01/2019 00:00	83.33	83.75	77.5	81.21	1955259	EUR	
04/01/2019 00:00	82.16	85.52	81.53	85.12	2006859	EUR	
07/01/2019 00:00	85.96	86.95	82.64	83.56	1428948	EUR	
08/01/2019 00:00	83.83	88.61	83.56	86.65	2533915	EUR	
09/01/2019 00:00	88.5	90.54	87.68	89.68	2365398	EUR	
10/01/2019 00:00	89	89.7	87.87	89.61	1321653	EUR	
11/01/2019 00:00	89.92	90	88.19	88.38	1184652	EUR	
14/01/2019 00:00	87.87	90.44	87.79	89.91	1339132	EUR	
15/01/2019 00:00	90.5	92.5	90.42	92.31	1870631	EUR	
16/01/2019 00:00	92.5	93.04	91.6	92.54	1383158	EUR	
17/01/2019 00:00	91.7	92.34	90.86	91.76	1196890	EUR	
18/01/2019 00:00	92.45	94.08	92.2	93.66	1498962	EUR	
21/01/2019 00:00	93.26	94.5	93.01	94.5	735952	EUR	
22/01/2019 00:00	94.53	95.05	93.88	94.75	1284328	EUR	
23/01/2019 00:00	93.97	95.28	93.31	93.81	1265183	EUR	
24/01/2019 00:00	94.24	95.92	93.97	95.92	1534265	EUR	
25/01/2019 00:00	96	97.12	95.6	96.51	1575939	EUR	
28/01/2019 00:00	96.3	96.35	95.07	95.42	986063	EUR	
29/01/2019 00:00	95.78	96.89	95.25	96.05	919305	EUR	
30/01/2019 00:00	96.3	99.02	95.78	99	2213713	EUR	
31/01/2019 00:00	100	100.46	99.12	100.22	2125869	EUR	
01/02/2019 00:00	101.02	102.12	100.02	101.12	1587528	EUR	
04/02/2019 00:00	101.2	102.02	100.74	101.4	986555	EUR	
