date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	110.2	110.7	109.8	110.15	810078	EUR	
25/09/2018 00:00	110.05	110.3	109.2	109.9	741657	EUR	
26/09/2018 00:00	110.65	112.55	110.45	112.4	1392908	EUR	
27/09/2018 00:00	112	113.5	111.65	113.5	982372	EUR	
28/09/2018 00:00	113.15	113.4	112.15	113.3	1015865	EUR	
01/10/2018 00:00	113.1	114	113.1	113.65	684408	EUR	
02/10/2018 00:00	113.1	114.25	112.9	114.2	1087488	EUR	
03/10/2018 00:00	114.15	115.25	114.05	115.15	780377	EUR	
04/10/2018 00:00	114.95	115.05	112.65	113.1	896987	EUR	
05/10/2018 00:00	113	113	111.6	111.8	699551	EUR	
08/10/2018 00:00	111.5	111.8	111.1	111.65	715764	EUR	
09/10/2018 00:00	111.85	112.6	110.7	112.5	666498	EUR	
10/10/2018 00:00	112.7	112.75	108.8	108.9	1115819	EUR	
11/10/2018 00:00	107.45	108.45	106.45	106.55	1384805	EUR	
12/10/2018 00:00	107	107.15	104.75	105.1	1587468	EUR	
15/10/2018 00:00	105.85	106	104.05	105.3	1104213	EUR	
16/10/2018 00:00	105.3	107.5	104.85	107.4	999088	EUR	
17/10/2018 00:00	108.15	109.1	106.3	106.7	920697	EUR	
18/10/2018 00:00	106.95	108	105.75	106.25	1190049	EUR	
19/10/2018 00:00	107	107.05	104.6	105.7	1599979	EUR	
22/10/2018 00:00	106.65	106.95	105.75	106.2	927390	EUR	
23/10/2018 00:00	105.25	107.3	104.75	104.95	1319813	EUR	
24/10/2018 00:00	106	108.8	105.1	105.3	1437364	EUR	
25/10/2018 00:00	106.75	107.8	105.5	107.7	1354208	EUR	
26/10/2018 00:00	106.9	106.95	104.95	106.65	1301197	EUR	
29/10/2018 00:00	106.55	107.65	105.65	105.65	787109	EUR	
30/10/2018 00:00	105.95	106.25	104.4	105.25	856440	EUR	
31/10/2018 00:00	105.95	107.6	105.75	107	1617068	EUR	
01/11/2018 00:00	106.95	107.5	105.7	105.95	774365	EUR	
02/11/2018 00:00	107.3	107.75	105.65	105.75	1007940	EUR	
05/11/2018 00:00	106	106.75	105.75	106.55	578917	EUR	
06/11/2018 00:00	106.75	107.1	105.35	105.35	650755	EUR	
07/11/2018 00:00	106.1	107.75	105.85	107.1	696945	EUR	
08/11/2018 00:00	107.25	107.5	106.15	107.15	710685	EUR	
09/11/2018 00:00	106.95	107.2	106	106.65	593982	EUR	
12/11/2018 00:00	107.45	108.05	106.8	106.85	690840	EUR	
13/11/2018 00:00	106.9	107.75	106.45	107.2	647865	EUR	
14/11/2018 00:00	106.75	107.4	105.4	105.85	728224	EUR	
15/11/2018 00:00	106.75	106.95	105.3	106.5	993522	EUR	
16/11/2018 00:00	106.9	107.1	104.45	105.45	1008304	EUR	
19/11/2018 00:00	105.9	106.35	104.55	104.95	676872	EUR	
20/11/2018 00:00	104.45	104.65	101.85	102.85	984294	EUR	
21/11/2018 00:00	103.55	103.85	102.85	103.65	836377	EUR	
22/11/2018 00:00	103.6	103.85	102.65	102.65	486000	EUR	
23/11/2018 00:00	102.7	103.6	102.6	103.25	482399	EUR	
26/11/2018 00:00	104	105.85	103.85	105.45	1006679	EUR	
27/11/2018 00:00	105.3	105.75	103.8	104.35	627198	EUR	
28/11/2018 00:00	104.9	105.15	103.8	103.8	880195	EUR	
29/11/2018 00:00	104.7	105.15	104.15	104.15	924186	EUR	
30/11/2018 00:00	105.05	107.45	104.5	106.75	1375642	EUR	
03/12/2018 00:00	109.5	109.8	106.75	107	882198	EUR	
04/12/2018 00:00	107	107.7	106.3	107.2	828305	EUR	
05/12/2018 00:00	106.15	106.7	105.9	106.1	633489	EUR	
06/12/2018 00:00	105.85	106.3	103.5	104.1	1486038	EUR	
07/12/2018 00:00	104.85	106.9	104.65	105.45	1012062	EUR	
10/12/2018 00:00	104.6	106.7	103.8	105.35	1145982	EUR	
11/12/2018 00:00	105.75	107.6	105.65	106.1	939390	EUR	
12/12/2018 00:00	106.7	108.45	106.4	107.3	1000583	EUR	
13/12/2018 00:00	107.3	107.95	106.3	107.4	979784	EUR	
14/12/2018 00:00	106.6	107.8	106.05	107.2	714662	EUR	
17/12/2018 00:00	107	107.55	105.8	106.35	726886	EUR	
18/12/2018 00:00	105.75	106.4	105.25	105.25	888743	EUR	
19/12/2018 00:00	105.8	107.65	105.15	107.65	1214358	EUR	
20/12/2018 00:00	106.15	106.85	105.45	106.8	1227988	EUR	
21/12/2018 00:00	106.55	107.9	106.2	107.6	1937650	EUR	
24/12/2018 00:00	106.8	107.05	106.2	106.8	208104	EUR	
27/12/2018 00:00	107.5	107.8	104.15	104.85	1031010	EUR	
28/12/2018 00:00	105.6	106.9	105.4	106.25	653823	EUR	
31/12/2018 00:00	107.05	108.45	106.9	108.45	267446	EUR	
02/01/2019 00:00	106.65	106.7	105.35	106.1	680205	EUR	
03/01/2019 00:00	105.3	105.65	104.15	104.15	777365	EUR	
04/01/2019 00:00	105.1	107.4	104.7	107.05	778924	EUR	
07/01/2019 00:00	107.45	107.8	105.75	106.45	599457	EUR	
08/01/2019 00:00	106.15	107.95	106.15	106.6	766811	EUR	
09/01/2019 00:00	106.65	107	105.15	105.15	1054076	EUR	
