date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	27.205	27.485	26.945	27.275	4323965	EUR	
25/09/2018 00:00	27.11	27.815	27.05	27.715	4472304	EUR	
26/09/2018 00:00	27.785	27.8	27.31	27.32	3947714	EUR	
27/09/2018 00:00	27.135	27.47	26.895	27.04	4561418	EUR	
28/09/2018 00:00	27.04	27.225	26.56	26.8	4704818	EUR	
01/10/2018 00:00	26.715	26.975	26.5	26.605	4637986	EUR	
02/10/2018 00:00	26.63	26.865	26.29	26.66	5188432	EUR	
03/10/2018 00:00	26.78	27.145	26.64	27.05	2968184	EUR	
04/10/2018 00:00	26.85	27.33	26.765	26.85	4526843	EUR	
05/10/2018 00:00	26.505	26.52	25.65	25.815	6634078	EUR	
08/10/2018 00:00	25.715	25.82	25.395	25.56	3856814	EUR	
09/10/2018 00:00	25.79	26.165	25.6	26	4318689	EUR	
10/10/2018 00:00	24.76	26.1	24.755	24.76	6646427	EUR	
11/10/2018 00:00	24.25	24.755	24	24.2	7209123	EUR	
12/10/2018 00:00	24.9	24.9	24.255	24.61	6524919	EUR	
15/10/2018 00:00	24.665	24.665	24.215	24.54	3966644	EUR	
16/10/2018 00:00	24.495	24.805	24.235	24.8	4718387	EUR	
17/10/2018 00:00	24.95	25.265	24.525	24.805	5289082	EUR	
18/10/2018 00:00	24.75	25.22	24.545	24.73	5208084	EUR	
19/10/2018 00:00	24.6	24.835	23.71	23.755	6595679	EUR	
22/10/2018 00:00	23.845	24.225	23.505	23.57	3959270	EUR	
23/10/2018 00:00	23.2	23.335	22.64	22.975	7211854	EUR	
24/10/2018 00:00	23.025	23.19	21.595	21.635	9862847	EUR	
25/10/2018 00:00	21.23	22.345	20.815	22.055	8932284	EUR	
26/10/2018 00:00	21.65	21.805	20.905	21.285	7395723	EUR	
29/10/2018 00:00	22.12	22.47	21.315	22.12	5188071	EUR	
30/10/2018 00:00	21.96	22.17	21.335	21.545	5756819	EUR	
31/10/2018 00:00	21.845	22.225	21.725	22.04	6176682	EUR	
01/11/2018 00:00	21.92	22.625	21.53	22.225	6623990	EUR	
02/11/2018 00:00	23.12	23.5	22.285	22.285	8220268	EUR	
05/11/2018 00:00	22.365	22.74	22.055	22.46	4420615	EUR	
06/11/2018 00:00	22.46	22.695	22.375	22.455	4321233	EUR	
07/11/2018 00:00	22.675	23.195	22.525	22.66	4088040	EUR	
08/11/2018 00:00	22.68	22.94	22.625	22.8	5130728	EUR	
09/11/2018 00:00	22.3	22.5	22.03	22.26	6309255	EUR	
12/11/2018 00:00	22.59	22.825	21.71	21.75	4907980	EUR	
13/11/2018 00:00	21.955	22.125	21.18	21.635	5405849	EUR	
14/11/2018 00:00	21.45	21.82	20.93	21.53	5043715	EUR	
15/11/2018 00:00	21.745	22.09	21.39	21.77	4477746	EUR	
16/11/2018 00:00	21.855	21.995	21.495	21.765	5463017	EUR	
19/11/2018 00:00	21.93	22.22	21.6	21.675	3754166	EUR	
20/11/2018 00:00	21.405	21.475	20.405	20.68	6115264	EUR	
21/11/2018 00:00	20.85	21.185	20.71	21.08	4571983	EUR	
22/11/2018 00:00	21.025	21.115	20.455	20.58	3614205	EUR	
23/11/2018 00:00	20.5	20.75	19.756	19.942	5461227	EUR	
26/11/2018 00:00	20.07	20.305	19.78	20.305	5246337	EUR	
27/11/2018 00:00	20.105	20.125	19.368	19.582	6533578	EUR	
28/11/2018 00:00	19.74	19.866	19.504	19.668	5513302	EUR	
29/11/2018 00:00	20.445	20.5	19.802	20.055	6749662	EUR	
30/11/2018 00:00	20.14	20.17	19.59	20.015	6418025	EUR	
03/12/2018 00:00	21.6	21.725	20.82	20.82	8145603	EUR	
04/12/2018 00:00	20.745	20.82	20.22	20.44	4674718	EUR	
05/12/2018 00:00	20.145	20.235	19.82	20.14	4110949	EUR	
06/12/2018 00:00	19.776	19.806	18.9	18.96	8056242	EUR	
07/12/2018 00:00	19.19	19.796	18.988	19.298	6444253	EUR	
10/12/2018 00:00	18.9	19.102	18.514	18.57	6035109	EUR	
11/12/2018 00:00	19.064	19.45	18.84	19.202	5746426	EUR	
12/12/2018 00:00	19.278	19.822	19.168	19.724	5327685	EUR	
13/12/2018 00:00	19.75	19.978	19.504	19.538	4219975	EUR	
14/12/2018 00:00	19.308	19.488	18.864	19.42	4707769	EUR	
17/12/2018 00:00	19.3	19.674	19.066	19.424	3872786	EUR	
18/12/2018 00:00	19	19.562	18.956	19.082	5027519	EUR	
19/12/2018 00:00	19.198	19.562	19.166	19.44	5564742	EUR	
20/12/2018 00:00	18.676	18.956	18.59	18.614	7060766	EUR	
21/12/2018 00:00	18.542	18.63	18.282	18.456	8310871	EUR	
24/12/2018 00:00	18.18	18.4	17.966	17.966	1504178	EUR	
27/12/2018 00:00	18.498	18.562	17.618	17.8	4819328	EUR	
28/12/2018 00:00	18.01	18.246	17.886	17.988	3097606	EUR	
31/12/2018 00:00	18.18	18.368	18	18.14	1442201	EUR	
02/01/2019 00:00	17.9	17.9	17.056	17.698	7293409	EUR	
03/01/2019 00:00	17.48	17.642	17.23	17.32	4655589	EUR	
04/01/2019 00:00	17.638	18.566	17.524	18.46	6781200	EUR	
07/01/2019 00:00	18.902	19.09	18.562	18.764	3921184	EUR	
08/01/2019 00:00	18.828	19.492	18.82	19.192	5685850	EUR	
09/01/2019 00:00	19.5	20.15	19.406	19.632	6897930	EUR	
10/01/2019 00:00	19.334	19.436	19.032	19.406	3666519	EUR	
