date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	23.29	23.43	23.21	23.315	5649936	EUR	
25/09/2018 00:00	23.33	23.595	23.275	23.475	6835602	EUR	
26/09/2018 00:00	23.485	23.695	23.425	23.695	7413427	EUR	
27/09/2018 00:00	23.57	23.7	23.385	23.585	6520153	EUR	
28/09/2018 00:00	23.305	23.345	22.645	23.15	14744552	EUR	
01/10/2018 00:00	23.125	23.285	22.985	23.06	5251551	EUR	
02/10/2018 00:00	22.935	23.135	22.79	23.12	6042846	EUR	
03/10/2018 00:00	23.235	23.355	23.145	23.235	4448408	EUR	
04/10/2018 00:00	23.18	23.75	23.155	23.675	10012530	EUR	
05/10/2018 00:00	23.675	23.84	23.535	23.71	8333468	EUR	
08/10/2018 00:00	23.675	23.805	23.4	23.51	6968499	EUR	
09/10/2018 00:00	23.55	23.72	23.375	23.51	6963990	EUR	
10/10/2018 00:00	23.5	23.9	23.445	23.445	8573529	EUR	
11/10/2018 00:00	23	23.135	22.615	22.62	14455011	EUR	
12/10/2018 00:00	22.91	22.98	22.335	22.47	8133019	EUR	
15/10/2018 00:00	22.49	22.74	22.355	22.58	6653971	EUR	
16/10/2018 00:00	22.645	22.66	22.29	22.515	7833002	EUR	
17/10/2018 00:00	22.58	22.705	22.43	22.515	6248036	EUR	
18/10/2018 00:00	22.49	22.79	22.49	22.56	7352859	EUR	
19/10/2018 00:00	22.52	22.55	22.125	22.37	9417915	EUR	
22/10/2018 00:00	22.71	22.735	22.425	22.485	6017426	EUR	
23/10/2018 00:00	22.175	22.33	21.9	22.15	9388624	EUR	
24/10/2018 00:00	22.135	22.36	21.955	21.96	7175272	EUR	
25/10/2018 00:00	21.9	22.21	21.725	22.075	8846792	EUR	
26/10/2018 00:00	21.855	21.855	21.4	21.805	10690272	EUR	
29/10/2018 00:00	21.85	22.195	21.83	21.98	6886536	EUR	
30/10/2018 00:00	22.02	22.17	21.88	21.97	6478435	EUR	
31/10/2018 00:00	22.09	22.335	22.065	22.14	10107622	EUR	
01/11/2018 00:00	22.14	22.37	22.05	22.18	5254823	EUR	
02/11/2018 00:00	22.45	22.555	22.23	22.235	6324569	EUR	
05/11/2018 00:00	22.22	22.35	22.06	22.06	5391684	EUR	
06/11/2018 00:00	22.08	22.15	21.97	22.005	4106115	EUR	
07/11/2018 00:00	22.195	22.34	22.125	22.235	6165976	EUR	
