date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	54.4	54.72	54.01	54.58	3552931	EUR	
25/09/2018 00:00	54.74	55.08	54.67	54.68	3849947	EUR	
26/09/2018 00:00	54.77	54.99	54.52	54.63	3275528	EUR	
27/09/2018 00:00	54.24	54.62	53.62	54.47	3796601	EUR	
28/09/2018 00:00	53.63	53.82	51.62	52.71	7243403	EUR	
01/10/2018 00:00	52.51	52.66	51.66	51.99	4618928	EUR	
02/10/2018 00:00	51.51	52.34	50.96	51.98	4392851	EUR	
03/10/2018 00:00	52.41	52.66	51.99	52.14	4446131	EUR	
04/10/2018 00:00	52.05	52.75	52.01	52.3	4827402	EUR	
05/10/2018 00:00	52.33	52.4	51.8	51.85	3177010	EUR	
08/10/2018 00:00	51.51	51.65	50.81	51.15	3256327	EUR	
09/10/2018 00:00	51.37	51.68	50.56	51.23	3601474	EUR	
10/10/2018 00:00	51.13	52.31	51.07	51.47	4477667	EUR	
11/10/2018 00:00	50.93	51.18	50.15	50.19	6919141	EUR	
12/10/2018 00:00	50.9	50.99	49.755	49.915	3960172	EUR	
15/10/2018 00:00	49.805	50.03	49.325	49.5	3597261	EUR	
16/10/2018 00:00	49.64	49.835	49.18	49.72	4059102	EUR	
17/10/2018 00:00	49.86	50.14	49.355	49.6	3722126	EUR	
18/10/2018 00:00	49.375	50.08	49.075	49.225	4626619	EUR	
19/10/2018 00:00	49.04	49.215	47.9	48.725	5717691	EUR	
22/10/2018 00:00	49.215	49.685	48.075	48.305	4119480	EUR	
23/10/2018 00:00	47.66	48.175	47.345	47.56	5277244	EUR	
24/10/2018 00:00	47.56	47.565	46.295	46.46	5811160	EUR	
25/10/2018 00:00	46.365	47.55	46.28	47.155	5330443	EUR	
26/10/2018 00:00	46.815	47.145	46.27	46.88	5378223	EUR	
29/10/2018 00:00	47.1	47.8	47	47.475	3302491	EUR	
30/10/2018 00:00	46.7	46.705	45.3	46.145	7633887	EUR	
31/10/2018 00:00	46.1	46.9	45.94	46.13	7321176	EUR	
01/11/2018 00:00	45.6	46.695	45.6	46.255	5037962	EUR	
02/11/2018 00:00	46.91	47.395	46.525	46.605	4950331	EUR	
05/11/2018 00:00	46.615	46.88	46.335	46.47	2665589	EUR	
06/11/2018 00:00	46.48	46.655	46.075	46.43	2952380	EUR	
07/11/2018 00:00	46.565	47.01	46.565	46.745	3873638	EUR	
08/11/2018 00:00	46.8	47.18	46.36	46.8	4011145	EUR	
09/11/2018 00:00	46.33	46.64	45.685	46.365	3442445	EUR	
12/11/2018 00:00	46.6	46.6	45.52	45.595	3833196	EUR	
13/11/2018 00:00	45.795	46.355	45.575	46.225	3850120	EUR	
14/11/2018 00:00	46.035	46.555	45.46	46.045	3969640	EUR	
15/11/2018 00:00	46.275	46.41	45.13	45.495	4729385	EUR	
16/11/2018 00:00	45.705	46.085	44.875	45.195	5208591	EUR	
19/11/2018 00:00	45.355	45.78	45.235	45.285	3244791	EUR	
20/11/2018 00:00	45.16	45.245	44.285	44.305	4197264	EUR	
21/11/2018 00:00	44.655	45.025	44.39	44.79	3603115	EUR	
22/11/2018 00:00	44.56	44.605	43.725	44.285	3524320	EUR	
23/11/2018 00:00	44.505	44.85	44.11	44.36	2517027	EUR	
26/11/2018 00:00	44.86	45.745	44.855	45.34	5098594	EUR	
27/11/2018 00:00	45.35	45.56	44.725	45.085	3667016	EUR	
28/11/2018 00:00	45.2	45.355	44.59	44.755	3626844	EUR	
29/11/2018 00:00	45.155	45.295	44.605	44.775	3517826	EUR	
30/11/2018 00:00	44.915	44.915	44.02	44.375	3434868	EUR	
03/12/2018 00:00	45.265	45.34	44.62	44.845	3980279	EUR	
04/12/2018 00:00	44.47	44.76	43.86	43.86	3685207	EUR	
05/12/2018 00:00	43.52	43.855	42.715	43.42	3785572	EUR	
06/12/2018 00:00	42.91	43	41.6	41.785	5681412	EUR	
07/12/2018 00:00	42.02	42.9	41.595	41.595	4154885	EUR	
10/12/2018 00:00	41.415	41.765	40.385	40.4	5651231	EUR	
11/12/2018 00:00	40.615	41.265	40.295	40.68	4980366	EUR	
12/12/2018 00:00	40.86	42.16	40.74	41.905	7030808	EUR	
13/12/2018 00:00	42.5	42.91	42.04	42.19	6246238	EUR	
14/12/2018 00:00	42.02	42.045	40.945	41.595	4273220	EUR	
17/12/2018 00:00	41.47	41.51	40.485	40.58	4368951	EUR	
18/12/2018 00:00	40.5	41.215	40.335	40.555	5427091	EUR	
19/12/2018 00:00	40.97	41.18	40.765	40.88	4505844	EUR	
20/12/2018 00:00	40.015	40.3	39.4	39.4	7228027	EUR	
21/12/2018 00:00	39.43	39.58	38.715	39.5	10927515	EUR	
24/12/2018 00:00	39.175	39.215	38.71	38.79	1161447	EUR	
27/12/2018 00:00	39.66	39.8	38.18	38.545	4383112	EUR	
28/12/2018 00:00	38.76	39.575	38.665	39.375	3343656	EUR	
31/12/2018 00:00	39.51	39.85	39.2	39.475	1055466	EUR	
02/01/2019 00:00	38.73	39.105	38.135	39.085	4275030	EUR	
03/01/2019 00:00	38.78	39.565	38.6	38.855	4011198	EUR	
04/01/2019 00:00	39.4	40.83	39.175	40.74	5325079	EUR	
07/01/2019 00:00	41.12	41.12	40.265	40.68	4195675	EUR	
08/01/2019 00:00	40.705	41.35	40.47	40.885	4372775	EUR	
09/01/2019 00:00	41.165	41.365	40.605	40.775	3619123	EUR	
10/01/2019 00:00	40.4	41.35	40.355	41.215	3393318	EUR	
11/01/2019 00:00	41.13	41.505	40.855	41.37	4219405	EUR	
14/01/2019 00:00	41.16	41.915	41.1	41.62	4549021	EUR	
15/01/2019 00:00	42.13	42.385	41.245	41.695	4260039	EUR	
16/01/2019 00:00	42	43.08	41.9	43.08	5752135	EUR	
17/01/2019 00:00	41.76	42.37	41.41	41.42	6948081	EUR	
18/01/2019 00:00	41.89	42.51	41.795	42.47	6133060	EUR	
21/01/2019 00:00	42.44	42.5	42.09	42.3	2545457	EUR	
22/01/2019 00:00	41.875	41.875	41	41.515	5480516	EUR	
23/01/2019 00:00	41.25	42.085	41.25	41.575	3582775	EUR	
24/01/2019 00:00	41.61	42.23	41.165	41.38	4585018	EUR	
25/01/2019 00:00	42.24	43.2	41.875	42.99	6014996	EUR	
28/01/2019 00:00	42.99	42.99	42.235	42.455	3724488	EUR	
29/01/2019 00:00	42.31	42.63	42.045	42.38	3030043	EUR	
30/01/2019 00:00	42.355	42.53	42	42.32	3403567	EUR	
31/01/2019 00:00	42.305	42.74	40.82	40.965	6691369	EUR	
01/02/2019 00:00	41.005	41.165	40.155	40.885	5016903	EUR	
04/02/2019 00:00	40.885	41.085	39.725	40.11	4894321	EUR	
05/02/2019 00:00	40.04	41.205	39.925	41.135	5241665	EUR	
06/02/2019 00:00	39.725	41.99	39.68	41.865	6311587	EUR	
07/02/2019 00:00	41.805	43.44	40.7	40.79	7174371	EUR	
08/02/2019 00:00	40.54	40.855	39.605	39.85	5490179	EUR	
11/02/2019 00:00	40.25	40.725	39.955	40.505	3427547	EUR	
12/02/2019 00:00	41.025	41.385	40.555	40.995	3865468	EUR	
13/02/2019 00:00	41.235	41.865	40.99	41.39	6511949	EUR	
14/02/2019 00:00	41.7	41.72	40.35	40.415	4959220	EUR	
15/02/2019 00:00	40.34	42.34	40.175	42.11	6601640	EUR	
18/02/2019 00:00	42.14	42.63	42.03	42.425	3189041	EUR	
19/02/2019 00:00	42.2	42.5	41.595	42.24	4127008	EUR	
20/02/2019 00:00	42.42	42.68	41.82	42.565	3440229	EUR	
21/02/2019 00:00	42.49	42.54	41.375	41.595	5788642	EUR	
22/02/2019 00:00	41.44	42.3	41.425	41.925	3362525	EUR	
25/02/2019 00:00	42.385	43.065	42.285	42.86	4052117	EUR	
26/02/2019 00:00	42.78	43.31	42.28	43.155	3947542	EUR	
27/02/2019 00:00	43.09	44.54	43.01	44.2	6044690	EUR	
28/02/2019 00:00	44.13	45.465	43.685	45.055	6138130	EUR	
01/03/2019 00:00	45.4	45.535	44.895	44.895	4772152	EUR	
04/03/2019 00:00	45.3	45.485	44.785	44.94	3166569	EUR	
05/03/2019 00:00	44.955	45.31	44.165	44.515	4567642	EUR	
06/03/2019 00:00	44.425	45.045	43.885	44.69	4197388	EUR	
07/03/2019 00:00	44.505	44.86	42.75	43.18	6908751	EUR	
08/03/2019 00:00	42.81	43	41.97	42.345	6079628	EUR	
11/03/2019 00:00	42.51	43.35	42.51	43.33	4426716	EUR	
12/03/2019 00:00	43.74	43.9	42.88	43.045	4613595	EUR	
13/03/2019 00:00	43.1	43.765	42.89	43.555	3391159	EUR	
14/03/2019 00:00	43.55	44.265	43.5	43.84	4424543	EUR	
15/03/2019 00:00	44	44.295	43.715	44.285	13182683	EUR	
18/03/2019 00:00	44.585	45.48	44	45.1	4447520	EUR	
19/03/2019 00:00	45.15	45.525	44.64	45.11	4209756	EUR	
20/03/2019 00:00	45.2	45.235	44.19	44.19	4743619	EUR	
21/03/2019 00:00	43.865	43.985	42.9	43.04	5930463	EUR	
22/03/2019 00:00	43.455	43.455	41.365	41.625	7642535	EUR	
25/03/2019 00:00	41.475	41.965	41.06	41.525	3648529	EUR	
26/03/2019 00:00	41.66	41.79	41.085	41.425	3734534	EUR	
27/03/2019 00:00	41.655	43.06	41.275	42.325	6223200	EUR	
28/03/2019 00:00	42.13	42.35	41.665	41.985	4395584	EUR	
29/03/2019 00:00	42.585	42.84	42.235	42.61	4389447	EUR	
01/04/2019 00:00	43.14	43.835	42.775	43.48	4797946	EUR	
02/04/2019 00:00	43.655	44.315	43.44	43.905	3550029	EUR	
03/04/2019 00:00	44.345	44.85	44.24	44.515	3968292	EUR	
04/04/2019 00:00	44.5	45.04	44.035	44.875	3574062	EUR	
05/04/2019 00:00	44.955	45.13	44.385	44.505	4120347	EUR	
08/04/2019 00:00	44.64	44.845	44.375	44.45	3121894	EUR	
09/04/2019 00:00	44.32	45.25	44.295	44.58	4612086	EUR	
10/04/2019 00:00	44.8	44.89	43.975	44.2	3923649	EUR	
11/04/2019 00:00	44.44	45.14	43.93	44.805	4518538	EUR	
12/04/2019 00:00	44.86	47.11	44.365	46.315	7568906	EUR	
15/04/2019 00:00	47.29	47.64	46.74	46.85	5243601	EUR	
16/04/2019 00:00	46.875	47.88	46.8	47.66	6014531	EUR	
17/04/2019 00:00	47.98	48.865	47.805	48.44	6891163	EUR	
18/04/2019 00:00	48.54	49.085	47.855	48.985	6633598	EUR	
