date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	37.05	37.31	36.87	36.9	608606	EUR	
25/09/2018 00:00	36.9	37.09	36.53	36.53	809014	EUR	
26/09/2018 00:00	37.66	37.72	37.29	37.5	973077	EUR	
27/09/2018 00:00	37.34	37.87	36.97	37.5	756926	EUR	
28/09/2018 00:00	37.4	37.4	36.93	37.23	995655	EUR	
01/10/2018 00:00	37.2	37.52	37.04	37.18	603006	EUR	
02/10/2018 00:00	37	37	36.59	36.78	702910	EUR	
03/10/2018 00:00	36.83	37.6	36.83	37.02	657342	EUR	
04/10/2018 00:00	36.9	37.14	36.69	36.93	742768	EUR	
05/10/2018 00:00	36.89	37.03	36.67	36.7	521446	EUR	
08/10/2018 00:00	36.52	36.77	36.5	36.57	499758	EUR	
09/10/2018 00:00	36.61	36.75	36.1	36.28	597799	EUR	
10/10/2018 00:00	36.49	36.67	35.97	36.22	919359	EUR	
11/10/2018 00:00	35.76	36.33	35.51	36.01	948059	EUR	
12/10/2018 00:00	36.41	36.42	35.52	35.52	659049	EUR	
15/10/2018 00:00	35.38	35.73	35.3	35.61	638627	EUR	
16/10/2018 00:00	35.67	36.76	35.53	36.76	954021	EUR	
17/10/2018 00:00	36.84	37.15	36.42	36.65	697425	EUR	
18/10/2018 00:00	36.5	36.91	36.34	36.43	646203	EUR	
19/10/2018 00:00	34.25	34.25	32.11	32.11	4445046	EUR	
22/10/2018 00:00	32.6	32.72	31.13	31.19	1699886	EUR	
23/10/2018 00:00	30.82	31.92	30.3	31.22	1776289	EUR	
24/10/2018 00:00	31.13	31.68	30.85	30.85	1182055	EUR	
25/10/2018 00:00	30.8	32.04	30.59	31.93	1648404	EUR	
26/10/2018 00:00	31.59	32	31.02	31.58	1370439	EUR	
29/10/2018 00:00	31.66	32.63	31.65	32.38	1088623	EUR	
30/10/2018 00:00	32.64	32.67	31.93	32.09	1150291	EUR	
31/10/2018 00:00	32.46	32.99	31.97	32.24	1757259	EUR	
01/11/2018 00:00	32.14	32.98	32.09	32.71	748061	EUR	
02/11/2018 00:00	33	33.29	32.9	33.03	993373	EUR	
05/11/2018 00:00	33.21	33.3	32.96	33.13	714663	EUR	
06/11/2018 00:00	33.26	33.33	32.46	32.46	964075	EUR	
07/11/2018 00:00	32.63	33.37	32.6	33.27	760638	EUR	
08/11/2018 00:00	33.38	33.49	32.93	33.02	771041	EUR	
09/11/2018 00:00	32.93	33.1	32.5	33.06	895741	EUR	
12/11/2018 00:00	33.17	33.42	32	32	1088090	EUR	
13/11/2018 00:00	32.08	32.8	32.06	32.38	1171957	EUR	
14/11/2018 00:00	32.25	32.98	32.21	32.55	985079	EUR	
15/11/2018 00:00	33	33.91	32.38	32.48	2583493	EUR	
16/11/2018 00:00	32.58	33.04	31.87	32.5	1249230	EUR	
19/11/2018 00:00	32.78	33.38	32.7	32.73	1024359	EUR	
20/11/2018 00:00	32.64	32.68	31.95	32.21	845507	EUR	
21/11/2018 00:00	32.5	32.86	32.37	32.83	804806	EUR	
22/11/2018 00:00	32.7	32.87	32.28	32.34	691486	EUR	
23/11/2018 00:00	32.4	33.29	32.31	32.93	677560	EUR	
26/11/2018 00:00	33.25	34	33.16	33.96	1518269	EUR	
27/11/2018 00:00	33.85	34.55	33.72	34.15	1343577	EUR	
28/11/2018 00:00	34.39	34.74	34.19	34.5	860224	EUR	
29/11/2018 00:00	34.87	35.33	34.61	34.74	1106642	EUR	
30/11/2018 00:00	35	35	33.96	33.96	1421200	EUR	
03/12/2018 00:00	34.7	34.7	33.58	33.76	1355854	EUR	
04/12/2018 00:00	33.68	34.01	33.27	33.5	1096319	EUR	
05/12/2018 00:00	33.21	33.83	32.91	33.36	846893	EUR	
06/12/2018 00:00	33.25	33.27	31.77	31.77	1765569	EUR	
07/12/2018 00:00	32.12	33.26	32.09	32.99	1289140	EUR	
10/12/2018 00:00	32.84	32.94	32.08	32.08	985851	EUR	
11/12/2018 00:00	32.45	33.28	32.44	33.04	1006851	EUR	
12/12/2018 00:00	33.29	34	33.02	33.75	1162743	EUR	
13/12/2018 00:00	33.74	34.05	33.07	33.17	964051	EUR	
14/12/2018 00:00	32.87	33.2	32.63	33.1	760788	EUR	
17/12/2018 00:00	33.27	33.3	32.5	32.5	944656	EUR	
18/12/2018 00:00	32.5	32.61	31.85	31.85	1023409	EUR	
19/12/2018 00:00	31.8	32.11	31.71	31.9	1252080	EUR	
20/12/2018 00:00	31.48	31.48	30.39	30.39	1848433	EUR	
21/12/2018 00:00	30.21	30.94	30.04	30.84	2014464	EUR	
24/12/2018 00:00	30.8	30.99	30.62	30.91	425940	EUR	
27/12/2018 00:00	31.31	31.45	30.06	30.26	767731	EUR	
28/12/2018 00:00	30.11	31.03	30.1	30.99	631761	EUR	
31/12/2018 00:00	31.09	31.42	30.85	31.34	300635	EUR	
02/01/2019 00:00	31	31	30.27	30.44	785148	EUR	
03/01/2019 00:00	30.16	30.58	29.81	30.16	905674	EUR	
04/01/2019 00:00	30.3	31.06	30.28	30.82	1016549	EUR	
07/01/2019 00:00	31.06	31.21	30.65	30.9	607086	EUR	
08/01/2019 00:00	30.05	30.91	30	30.3	1606127	EUR	
09/01/2019 00:00	30.42	30.5	29.77	30.09	1302108	EUR	
10/01/2019 00:00	30.01	30.51	29.76	30.43	835731	EUR	
11/01/2019 00:00	30.66	30.79	29.83	30.05	758731	EUR	
14/01/2019 00:00	29.92	29.92	29.37	29.5	1024178	EUR	
15/01/2019 00:00	29.69	29.91	29.26	29.69	1256120	EUR	
16/01/2019 00:00	29.87	29.97	29.62	29.88	929948	EUR	
17/01/2019 00:00	29.72	29.79	29.33	29.79	791902	EUR	
18/01/2019 00:00	30.19	30.29	29.96	30.12	784743	EUR	
21/01/2019 00:00	30	30.06	29.51	29.69	675517	EUR	
22/01/2019 00:00	29.7	29.97	29.66	29.7	929961	EUR	
23/01/2019 00:00	29.62	29.92	29.02	29.68	931013	EUR	
24/01/2019 00:00	29.74	30.63	29.67	30.55	1072629	EUR	
25/01/2019 00:00	30.62	30.94	30.61	30.93	790526	EUR	
28/01/2019 00:00	30.83	31.14	30.77	30.85	852321	EUR	
29/01/2019 00:00	30.9	31.05	30.44	30.83	714591	EUR	
30/01/2019 00:00	30.8	31.04	30.59	30.98	765614	EUR	
31/01/2019 00:00	31	31.4	30.52	30.92	1607072	EUR	
01/02/2019 00:00	31.05	31.09	30.56	31.03	932510	EUR	
04/02/2019 00:00	30.99	31.1	30.58	30.66	593929	EUR	
05/02/2019 00:00	30.77	31.25	30.56	31.15	738320	EUR	
06/02/2019 00:00	31.2	31.32	30.98	31.13	618421	EUR	
07/02/2019 00:00	31.09	31.29	30.6	30.6	807515	EUR	
08/02/2019 00:00	30.54	30.61	29.64	29.64	1051490	EUR	
11/02/2019 00:00	29.91	30.11	29.68	29.97	546969	EUR	
12/02/2019 00:00	30.24	30.26	29.8	29.98	726749	EUR	
13/02/2019 00:00	30	30.26	29.89	30.16	723495	EUR	
14/02/2019 00:00	30.3	30.39	29.8	30.09	734044	EUR	
15/02/2019 00:00	30.13	31.07	29.95	31	1107079	EUR	
18/02/2019 00:00	31.01	31.29	30.84	31.25	618987	EUR	
19/02/2019 00:00	31.25	31.44	30.53	30.82	945499	EUR	
20/02/2019 00:00	31.04	32.08	30.99	31.57	1376778	EUR	
21/02/2019 00:00	32.8	33.3	32.16	32.71	2515718	EUR	
22/02/2019 00:00	32.9	33	32.06	32.8	1109099	EUR	
25/02/2019 00:00	32.85	33	32.79	32.87	1027002	EUR	
26/02/2019 00:00	32.76	32.99	32.46	32.85	901049	EUR	
27/02/2019 00:00	32.6	33.15	32.55	32.99	912040	EUR	
28/02/2019 00:00	32.77	33.26	32.77	33.25	1186030	EUR	
01/03/2019 00:00	33.25	33.51	33.08	33.18	974544	EUR	
04/03/2019 00:00	33.25	33.25	32.84	32.84	910498	EUR	
05/03/2019 00:00	32.6	32.79	32.44	32.54	946663	EUR	
06/03/2019 00:00	32.39	32.89	32.36	32.6	783361	EUR	
07/03/2019 00:00	32.64	32.72	32.03	32.2	778946	EUR	
08/03/2019 00:00	32	32.03	31.72	31.84	688252	EUR	
11/03/2019 00:00	31.92	32.08	31.61	32.01	463615	EUR	
12/03/2019 00:00	32.15	32.28	31.61	31.74	626802	EUR	
13/03/2019 00:00	31.69	31.75	31.46	31.66	887080	EUR	
14/03/2019 00:00	31.67	32.23	31.67	31.8	963260	EUR	
15/03/2019 00:00	31.83	32.68	31.79	32.68	2113673	EUR	
18/03/2019 00:00	32.7	32.83	32.59	32.78	578782	EUR	
19/03/2019 00:00	32.81	32.88	32.33	32.33	999256	EUR	
20/03/2019 00:00	32.3	32.54	31.96	31.96	923336	EUR	
21/03/2019 00:00	32.3	32.85	32.14	32.44	1067195	EUR	
22/03/2019 00:00	32.65	32.73	31.7	31.7	1017093	EUR	
25/03/2019 00:00	31.65	31.91	31.22	31.47	740388	EUR	
26/03/2019 00:00	31.6	31.78	31.25	31.57	654095	EUR	
27/03/2019 00:00	31.79	32.03	31.46	31.62	894616	EUR	
28/03/2019 00:00	31.67	31.76	31.21	31.27	1129016	EUR	
29/03/2019 00:00	31.72	31.85	31.37	31.85	882721	EUR	
01/04/2019 00:00	31.95	32.65	31.95	32.63	832029	EUR	
02/04/2019 00:00	32.71	32.88	32.59	32.72	598392	EUR	
03/04/2019 00:00	32.91	33.38	32.85	33.16	1102344	EUR	
04/04/2019 00:00	33.09	33.23	32.92	33.16	743770	EUR	
05/04/2019 00:00	33.02	33.35	33.02	33.24	853032	EUR	
08/04/2019 00:00	33.25	33.52	33.19	33.28	755156	EUR	
09/04/2019 00:00	33.37	33.68	33.1	33.1	888043	EUR	
10/04/2019 00:00	33.2	33.77	33.14	33.71	1124458	EUR	
11/04/2019 00:00	33.8	33.97	33.38	33.9	841972	EUR	
12/04/2019 00:00	33.89	34.07	33.72	34	905974	EUR	
15/04/2019 00:00	34.1	34.54	34	34.49	1289770	EUR	
16/04/2019 00:00	34.6	34.83	34.52	34.82	967135	EUR	
17/04/2019 00:00	34.88	35.14	34.68	34.99	1012723	EUR	
18/04/2019 00:00	34.96	35.17	34.71	35	856172	EUR	
23/04/2019 00:00	35	35.03	34.42	34.42	1283354	EUR	
24/04/2019 00:00	34.5	34.91	34.47	34.84	893625	EUR	
25/04/2019 00:00	34.86	35	34.32	34.7	982469	EUR	
26/04/2019 00:00	34.8	35	34.41	34.87	752481	EUR	
29/04/2019 00:00	35.53	35.59	34.91	35.12	1363682	EUR	
30/04/2019 00:00	33.6	33.6	32.96	33.54	1479285	EUR	
02/05/2019 00:00	33.49	33.81	33.35	33.67	958893	EUR	
03/05/2019 00:00	33.68	33.69	33.16	33.33	858932	EUR	
06/05/2019 00:00	32.68	32.91	32.34	32.9	716231	EUR	
07/05/2019 00:00	32.91	33.13	32.73	32.78	1179802	EUR	
