date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	5480.64	5488.18	5463.44	5476.17	1072	Pts	
25/09/2018 00:00	5468.91	5497.15	5468.78	5479.1	1135	Pts	
26/09/2018 00:00	5482.99	5512.75	5471.57	5512.73	1152	Pts	
27/09/2018 00:00	5500.25	5546.8	5485.83	5540.41	1126	Pts	
28/09/2018 00:00	5514.55	5527.24	5458.21	5493.49	1515	Pts	
01/10/2018 00:00	5494.93	5519.94	5491.17	5506.82	1085	Pts	
02/10/2018 00:00	5473.79	5480.24	5440.78	5467.89	1233	Pts	
03/10/2018 00:00	5485.02	5509.08	5468.47	5491.4	1030	Pts	
04/10/2018 00:00	5471.88	5477.92	5404.84	5410.85	1513	Pts	
05/10/2018 00:00	5407.58	5412.31	5354.79	5359.36	1334	Pts	
08/10/2018 00:00	5339.49	5349.31	5291.74	5300.25	1167	Pts	
09/10/2018 00:00	5304.11	5328.37	5260.53	5318.55	1248	Pts	
10/10/2018 00:00	5319.27	5319.88	5200.11	5206.22	1950	Pts	
11/10/2018 00:00	5128.22	5175.36	5101.9	5106.37	2162	Pts	
12/10/2018 00:00	5160.23	5164.03	5095.74	5095.98	1553	Pts	
15/10/2018 00:00	5095.12	5105.93	5058.05	5095.07	1344	Pts	
16/10/2018 00:00	5094.44	5176.8	5082.41	5173.05	1617	Pts	
17/10/2018 00:00	5187.11	5205.38	5117.23	5144.95	1536	Pts	
18/10/2018 00:00	5150.23	5175.59	5115.31	5116.79	1707	Pts	
19/10/2018 00:00	5119.64	5133.59	5057.45	5084.66	2288	Pts	
22/10/2018 00:00	5130.29	5135.69	5052.24	5053.31	1203	Pts	
23/10/2018 00:00	4991.91	5009.43	4955.67	4967.69	2017	Pts	
24/10/2018 00:00	4995.77	5043.37	4951.16	4953.09	2048	Pts	
25/10/2018 00:00	4933.95	5033.52	4925.56	5032.3	2130	Pts	
26/10/2018 00:00	4978.39	4978.39	4896.8	4967.37	2084	Pts	
29/10/2018 00:00	4958.51	5030.02	4958.51	4989.35	1184	Pts	
30/10/2018 00:00	4996.92	5010.44	4929.94	4978.53	1772	Pts	
31/10/2018 00:00	5049.74	5106.76	5047.35	5093.44	1930	Pts	
01/11/2018 00:00	5076.55	5119.68	5060.76	5085.78	2564	Pts	
02/11/2018 00:00	5147.02	5162.18	5101.28	5102.13	2001	Pts	
05/11/2018 00:00	5101.87	5124.19	5092.36	5101.39	1035	Pts	
06/11/2018 00:00	5110.8	5110.8	5066.39	5075.19	1054	Pts	
07/11/2018 00:00	5100.08	5150.64	5098.9	5137.94	1273	Pts	
08/11/2018 00:00	5147.19	5168.11	5120.14	5131.45	1297	Pts	
09/11/2018 00:00	5103.43	5112.57	5072.21	5106.75	3078	Pts	
12/11/2018 00:00	5130.38	5140.45	5058.49	5059.09	3101	Pts	
13/11/2018 00:00	5077.57	5106.77	5054.9	5101.85	3384	Pts	
14/11/2018 00:00	5062.44	5131.04	5026.22	5068.85	3647	Pts	
15/11/2018 00:00	5097.09	5106.56	4993.48	5033.62	3867	Pts	
16/11/2018 00:00	5068.64	5081	4986.19	5025.2	3956	Pts	
19/11/2018 00:00	5040.68	5062.75	4979.98	4985.45	3338	Pts	
20/11/2018 00:00	4962.85	4967.98	4894.3	4924.89	3978	Pts	
21/11/2018 00:00	4949.72	4978.92	4930.25	4975.5	3403	Pts	
22/11/2018 00:00	4958.89	4961.35	4923.8	4938.14	2359	Pts	
23/11/2018 00:00	4939.79	4968.5	4913.72	4946.95	2483	Pts	
26/11/2018 00:00	4982.54	5023.78	4973.71	4994.98	3531	Pts	
27/11/2018 00:00	4992.53	5013.69	4958.71	4983.15	3297	Pts	
28/11/2018 00:00	4998.14	5007.47	4977.93	4983.24	3336	Pts	
29/11/2018 00:00	5026.66	5036.81	4995.95	5006.25	3494	Pts	
30/11/2018 00:00	5016.45	5016.86	4974.99	5003.92	5063	Pts	
03/12/2018 00:00	5112.58	5115.13	5043.2	5053.98	4453	Pts	
04/12/2018 00:00	5036.95	5043.26	5012.48	5012.66	3513	Pts	
05/12/2018 00:00	4963.18	4976.63	4941.45	4944.37	2988	Pts	
06/12/2018 00:00	4898.35	4898.35	4760.98	4780.46	5777	Pts	
07/12/2018 00:00	4813.62	4877.13	4812.38	4813.13	3746	Pts	
10/12/2018 00:00	4797.92	4809.98	4732.02	4742.38	4024	Pts	
11/12/2018 00:00	4781.94	4853.92	4770.07	4806.2	3890	Pts	
12/12/2018 00:00	4834.24	4924.66	4829.12	4909.45	4225	Pts	
13/12/2018 00:00	4926.86	4935.48	4890.44	4896.92	3741	Pts	
14/12/2018 00:00	4853.12	4873.16	4822.89	4853.7	3721	Pts	
17/12/2018 00:00	4840.12	4847.5	4788.88	4799.87	3230	Pts	
18/12/2018 00:00	4773.19	4804.98	4754.08	4754.08	4174	Pts	
19/12/2018 00:00	4766.73	4794.01	4761.63	4777.45	3721	Pts	
20/12/2018 00:00	4709.75	4719.61	4685.61	4692.46	4558	Pts	
21/12/2018 00:00	4672.77	4696.18	4628.24	4694.38	7268	Pts	
24/12/2018 00:00	4650.42	4664.2	4622.03	4626.39	964	Pts	
27/12/2018 00:00	4689.2	4692.43	4555.99	4598.61	3385	Pts	
28/12/2018 00:00	4641.05	4700.49	4623.97	4678.74	2583	Pts	
31/12/2018 00:00	4708.74	4731.49	4696.12	4730.69	1064	Pts	
02/01/2019 00:00	4642.18	4699.98	4606.2	4689.39	2877	Pts	
03/01/2019 00:00	4641.8	4671.28	4607.68	4611.48	3035	Pts	
04/01/2019 00:00	4649.63	4750.51	4636.79	4737.12	3606	Pts	
