date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	16.054	16.263	15.986	16.015	3042297	EUR	
25/09/2018 00:00	15.884	16.064	15.864	15.908	2298657	EUR	
26/09/2018 00:00	15.854	15.996	15.835	15.996	2669862	EUR	
27/09/2018 00:00	15.932	16.146	15.888	16.083	2108100	EUR	
28/09/2018 00:00	16.034	16.064	15.898	16.059	3298077	EUR	
01/10/2018 00:00	16.059	16.283	16	16.117	2576067	EUR	
02/10/2018 00:00	16.059	16.127	15.859	16.034	2698167	EUR	
03/10/2018 00:00	16.034	16.224	16.03	16.127	2668965	EUR	
04/10/2018 00:00	16.083	16.156	15.742	15.786	3700181	EUR	
05/10/2018 00:00	15.772	15.854	15.163	15.266	6097914	EUR	
08/10/2018 00:00	15.183	15.232	15.042	15.217	2730815	EUR	
09/10/2018 00:00	15.222	15.236	14.905	14.92	4001472	EUR	
10/10/2018 00:00	15.086	15.353	14.993	15.212	5859188	EUR	
11/10/2018 00:00	15.086	15.47	14.974	15.256	4789499	EUR	
12/10/2018 00:00	15.343	15.742	15.227	15.567	4703695	EUR	
15/10/2018 00:00	15.553	15.777	15.397	15.465	3684930	EUR	
16/10/2018 00:00	15.494	15.494	15.013	15.129	4198648	EUR	
17/10/2018 00:00	15.12	15.309	15.051	15.159	3575302	EUR	
18/10/2018 00:00	16.025	16.638	16.025	16.575	12616033	EUR	
19/10/2018 00:00	16.487	16.725	16.361	16.662	5502927	EUR	
22/10/2018 00:00	16.682	16.891	16.385	16.424	3133609	EUR	
23/10/2018 00:00	16.234	16.657	16.132	16.511	4247531	EUR	
24/10/2018 00:00	16.536	16.73	16.434	16.448	3876328	EUR	
25/10/2018 00:00	16.351	16.609	16.224	16.409	3848071	EUR	
26/10/2018 00:00	16.292	16.399	16.01	16.2	4020628	EUR	
29/10/2018 00:00	16.39	16.691	16.205	16.643	3808699	EUR	
30/10/2018 00:00	16.643	16.784	16.506	16.701	3170088	EUR	
31/10/2018 00:00	16.74	16.808	16.516	16.691	3277434	EUR	
01/11/2018 00:00	16.594	17.027	16.594	16.813	2718735	EUR	
02/11/2018 00:00	16.871	17.003	16.837	16.959	2749105	EUR	
05/11/2018 00:00	16.983	17.217	16.964	16.969	2734395	EUR	
06/11/2018 00:00	17.037	17.037	16.657	16.784	2405345	EUR	
07/11/2018 00:00	16.837	17.047	16.74	17.047	2785619	EUR	
08/11/2018 00:00	17.086	17.368	17.076	17.348	4408133	EUR	
09/11/2018 00:00	17.363	17.373	16.979	17.105	3525696	EUR	
12/11/2018 00:00	17.159	17.285	16.964	16.969	2732628	EUR	
13/11/2018 00:00	16.954	17.09	16.837	17.061	2282851	EUR	
14/11/2018 00:00	17.086	17.149	16.857	16.935	3542749	EUR	
15/11/2018 00:00	17.09	17.09	16.716	17.037	2904428	EUR	
16/11/2018 00:00	17.061	17.295	16.847	17.027	2189292	EUR	
19/11/2018 00:00	16.983	17.11	16.823	16.891	2400506	EUR	
20/11/2018 00:00	16.803	16.891	16.623	16.755	3125840	EUR	
21/11/2018 00:00	16.857	16.896	16.677	16.798	2602133	EUR	
22/11/2018 00:00	16.755	16.798	16.419	16.477	2813127	EUR	
23/11/2018 00:00	16.472	16.652	16.185	16.21	3373740	EUR	
26/11/2018 00:00	16.142	16.346	15.932	16.034	4202285	EUR	
27/11/2018 00:00	16	16.263	16	16.176	2831372	EUR	
28/11/2018 00:00	16.219	16.453	16.137	16.302	2870216	EUR	
29/11/2018 00:00	16.438	16.497	15.961	15.976	2923727	EUR	
30/11/2018 00:00	15.947	15.952	15.441	15.475	5659729	EUR	
03/12/2018 00:00	15.611	15.669	14.579	14.579	8798002	EUR	
04/12/2018 00:00	14.784	15.188	14.75	14.891	5785278	EUR	
05/12/2018 00:00	14.74	14.852	14.511	14.511	4541250	EUR	
06/12/2018 00:00	14.502	14.545	13.869	14.01	6851048	EUR	
07/12/2018 00:00	14.083	14.468	14.01	14.19	3819364	EUR	
10/12/2018 00:00	14.19	14.404	14.034	14.278	5106856	EUR	
11/12/2018 00:00	14.404	14.852	14.399	14.458	5309098	EUR	
12/12/2018 00:00	14.589	14.798	14.448	14.74	3600384	EUR	
13/12/2018 00:00	14.818	14.891	14.609	14.823	3066891	EUR	
14/12/2018 00:00	14.648	14.725	14.463	14.526	3355766	EUR	
17/12/2018 00:00	14.453	14.609	14.219	14.219	3636797	EUR	
18/12/2018 00:00	14.21	14.424	14.015	14.253	4310746	EUR	
19/12/2018 00:00	14.21	14.628	14.21	14.511	4215770	EUR	
20/12/2018 00:00	14.395	14.536	14.346	14.453	3836020	EUR	
21/12/2018 00:00	14.453	14.502	13.995	14.433	6179887	EUR	
24/12/2018 00:00	14.2	14.336	14.098	14.122	1276430	EUR	
27/12/2018 00:00	14.336	14.477	13.976	14.117	2104701	EUR	
28/12/2018 00:00	14.117	14.599	14.112	14.429	2541478	EUR	
31/12/2018 00:00	14.502	14.589	14.385	14.511	832435	EUR	
02/01/2019 00:00	14.443	14.443	14.098	14.287	2119520	EUR	
03/01/2019 00:00	14.268	14.628	14.249	14.565	2417444	EUR	
04/01/2019 00:00	14.599	14.769	14.448	14.725	2486224	EUR	
07/01/2019 00:00	14.823	14.886	14.667	14.876	2196296	EUR	
08/01/2019 00:00	15.28	15.441	14.959	15.28	5494518	EUR	
09/01/2019 00:00	15.412	15.567	15.382	15.426	3120252	EUR	
10/01/2019 00:00	15.358	15.407	15.076	15.387	2698797	EUR	
11/01/2019 00:00	15.353	15.519	15.227	15.3	2127339	EUR	
14/01/2019 00:00	15.202	15.669	15.202	15.596	3520055	EUR	
15/01/2019 00:00	15.64	15.83	15.305	15.485	2525984	EUR	
16/01/2019 00:00	15.47	15.616	15.334	15.592	2624357	EUR	
17/01/2019 00:00	15.582	15.645	15.397	15.592	1929876	EUR	
18/01/2019 00:00	15.976	16.37	15.811	16.171	4578784	EUR	
21/01/2019 00:00	16.122	16.156	15.923	15.966	2022856	EUR	
22/01/2019 00:00	16.005	16.146	15.811	15.898	2338297	EUR	
23/01/2019 00:00	16.448	17.11	16.404	17.003	8111816	EUR	
24/01/2019 00:00	16.94	16.944	16.662	16.76	3118908	EUR	
25/01/2019 00:00	16.798	17.042	16.784	16.988	2900814	EUR	
28/01/2019 00:00	16.881	16.935	16.75	16.818	1725699	EUR	
29/01/2019 00:00	16.847	17.071	16.687	16.925	2371883	EUR	
30/01/2019 00:00	16.803	16.867	16.701	16.803	1648103	EUR	
31/01/2019 00:00	16.769	16.983	16.691	16.823	2476444	EUR	
01/02/2019 00:00	16.91	16.983	16.716	16.91	1763656	EUR	
04/02/2019 00:00	16.93	16.944	16.599	16.769	1878242	EUR	
05/02/2019 00:00	16.837	17.188	16.75	17.188	2264321	EUR	
06/02/2019 00:00	17.324	17.689	17.324	17.592	4487676	EUR	
07/02/2019 00:00	17.519	17.558	17.022	17.022	2424872	EUR	
08/02/2019 00:00	17.008	17.266	16.988	17.017	2145969	EUR	
11/02/2019 00:00	17.125	17.149	16.959	17.037	1359931	EUR	
12/02/2019 00:00	17.193	17.363	17.027	17.314	2732104	EUR	
13/02/2019 00:00	17.309	17.582	17.241	17.446	3007021	EUR	
14/02/2019 00:00	17.48	17.548	17.139	17.28	1821759	EUR	
15/02/2019 00:00	17.183	17.65	17.159	17.65	2471210	EUR	
18/02/2019 00:00	17.606	17.635	17.382	17.504	1410748	EUR	
19/02/2019 00:00	17.519	17.611	17.241	17.587	3074392	EUR	
20/02/2019 00:00	17.47	17.611	17.373	17.421	2580755	EUR	
21/02/2019 00:00	17.47	17.572	17.173	17.295	2512361	EUR	
22/02/2019 00:00	17.28	17.509	17.251	17.47	1903751	EUR	
25/02/2019 00:00	17.499	17.597	17.222	17.319	2244832	EUR	
26/02/2019 00:00	17.324	17.494	17.232	17.28	2493133	EUR	
27/02/2019 00:00	17.309	17.378	17.066	17.086	3517025	EUR	
28/02/2019 00:00	17.324	17.611	17.1	17.519	4557813	EUR	
01/03/2019 00:00	17.227	17.66	17.017	17.236	4424458	EUR	
04/03/2019 00:00	17.178	17.353	16.818	16.906	3847505	EUR	
05/03/2019 00:00	16.935	16.983	16.682	16.886	2396462	EUR	
06/03/2019 00:00	16.891	17.027	16.857	16.983	1734338	EUR	
07/03/2019 00:00	16.964	17.037	16.901	17.013	2186333	EUR	
08/03/2019 00:00	16.891	16.993	16.623	16.657	2591303	EUR	
11/03/2019 00:00	16.672	16.862	16.662	16.833	1860461	EUR	
12/03/2019 00:00	16.949	17.125	16.789	16.789	2950716	EUR	
13/03/2019 00:00	16.745	16.789	16.584	16.677	2589830	EUR	
14/03/2019 00:00	16.725	16.876	16.638	16.687	2160268	EUR	
15/03/2019 00:00	16.74	16.74	16.472	16.472	6153366	EUR	
18/03/2019 00:00	16.463	16.633	16.453	16.516	2654626	EUR	
19/03/2019 00:00	16.502	16.691	16.443	16.589	1601560	EUR	
20/03/2019 00:00	16.648	16.847	16.584	16.584	1723567	EUR	
21/03/2019 00:00	16.555	16.594	16.429	16.55	1632483	EUR	
22/03/2019 00:00	16.672	16.867	16.448	16.448	2806450	EUR	
25/03/2019 00:00	16.322	16.438	15.923	16.015	3306120	EUR	
26/03/2019 00:00	16.034	16.122	15.927	16.083	2025425	EUR	
27/03/2019 00:00	16.044	16.273	15.996	16.268	2443444	EUR	
28/03/2019 00:00	16.195	16.317	15.713	15.84	2646673	EUR	
29/03/2019 00:00	15.864	16.205	15.864	16.205	3584731	EUR	
01/04/2019 00:00	16.297	16.385	16.229	16.322	1884769	EUR	
02/04/2019 00:00	16.253	16.317	16.166	16.195	1643636	EUR	
03/04/2019 00:00	16.292	16.429	16.185	16.297	1785592	EUR	
04/04/2019 00:00	16.336	16.429	16.219	16.404	1592996	EUR	
05/04/2019 00:00	16.404	16.458	16.263	16.288	2114198	EUR	
