date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	12.93	12.954	12.734	12.798	7480132	EUR	
25/09/2018 00:00	12.838	12.956	12.822	12.886	4233600	EUR	
26/09/2018 00:00	12.91	13.048	12.848	12.946	5781648	EUR	
27/09/2018 00:00	12.886	12.992	12.78	12.948	5569143	EUR	
28/09/2018 00:00	12.832	12.864	12.122	12.386	15956336	EUR	
01/10/2018 00:00	12.36	12.418	12.026	12.138	10859359	EUR	
02/10/2018 00:00	12.238	12.288	11.962	12.214	8851267	EUR	
03/10/2018 00:00	12.36	12.474	12.332	12.398	7999320	EUR	
04/10/2018 00:00	12.43	12.746	12.43	12.67	10784786	EUR	
05/10/2018 00:00	12.65	12.656	12.488	12.602	5733491	EUR	
08/10/2018 00:00	12.546	12.562	12.3	12.376	5781187	EUR	
09/10/2018 00:00	12.43	12.538	12.306	12.47	6045167	EUR	
10/10/2018 00:00	12.432	12.706	12.406	12.508	6455160	EUR	
11/10/2018 00:00	12.35	12.392	12.138	12.244	9923352	EUR	
12/10/2018 00:00	12.41	12.418	12.122	12.156	7185240	EUR	
15/10/2018 00:00	12.16	12.216	12.026	12.112	5814666	EUR	
16/10/2018 00:00	12.166	12.258	12.006	12.132	6752860	EUR	
17/10/2018 00:00	12.2	12.29	12.128	12.16	6837509	EUR	
18/10/2018 00:00	12.12	12.274	12.082	12.116	6656774	EUR	
19/10/2018 00:00	12.09	12.09	11.68	11.892	10576214	EUR	
22/10/2018 00:00	12.024	12.156	11.714	11.76	6465864	EUR	
23/10/2018 00:00	11.65	11.71	11.486	11.546	8674941	EUR	
24/10/2018 00:00	11.542	11.542	11.266	11.3	8388096	EUR	
25/10/2018 00:00	11.25	11.462	11.12	11.362	9248116	EUR	
26/10/2018 00:00	11.226	11.25	10.966	11.172	9224845	EUR	
29/10/2018 00:00	11.11	11.398	11.1	11.32	5765234	EUR	
30/10/2018 00:00	11.282	11.326	11.114	11.138	7441153	EUR	
31/10/2018 00:00	11.28	11.426	11.254	11.328	9114529	EUR	
01/11/2018 00:00	11.308	11.51	11.286	11.468	5468682	EUR	
02/11/2018 00:00	11.562	11.728	11.55	11.588	7009984	EUR	
05/11/2018 00:00	11.574	11.668	11.54	11.556	3635010	EUR	
06/11/2018 00:00	11.576	11.608	11.448	11.508	4922000	EUR	
