date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	66.26	66.4	65.37	65.78	1582794	EUR	
25/09/2018 00:00	65.58	66.31	65.48	66.25	1222261	EUR	
26/09/2018 00:00	66.29	67	66.17	66.92	1784858	EUR	
27/09/2018 00:00	66.87	67.23	66.52	67.13	1285526	EUR	
28/09/2018 00:00	67.01	67.18	66.28	66.7	1796371	EUR	
01/10/2018 00:00	66.73	68.28	66.61	68.11	2218052	EUR	
02/10/2018 00:00	67.83	67.83	66.98	67.63	1692586	EUR	
03/10/2018 00:00	67.7	68.4	67.51	67.72	1294485	EUR	
04/10/2018 00:00	67.3	67.3	66.16	66.25	2203295	EUR	
05/10/2018 00:00	66.31	66.68	65.48	65.48	1708920	EUR	
08/10/2018 00:00	65.28	65.76	65.25	65.45	1084508	EUR	
09/10/2018 00:00	65.78	65.95	65.25	65.64	1358306	EUR	
10/10/2018 00:00	65.83	65.91	65.24	65.33	1421370	EUR	
11/10/2018 00:00	64.88	65.04	63.92	63.93	2637952	EUR	
12/10/2018 00:00	64.25	64.48	63.87	63.87	1775907	EUR	
15/10/2018 00:00	63.72	64.48	63.49	64.38	1489293	EUR	
16/10/2018 00:00	64.5	65.04	64.17	65.04	1593084	EUR	
17/10/2018 00:00	63.78	64	61.16	62.22	4418650	EUR	
18/10/2018 00:00	61.9	63.33	61.87	62.82	2226251	EUR	
19/10/2018 00:00	62.9	64.18	62.73	63.8	2942890	EUR	
22/10/2018 00:00	64.23	64.23	62.8	63.14	1715181	EUR	
23/10/2018 00:00	62.3	63.55	62.23	62.87	1796210	EUR	
24/10/2018 00:00	62.75	63.82	62.52	63.11	1695087	EUR	
25/10/2018 00:00	63.01	63.49	62.74	63.34	1840932	EUR	
26/10/2018 00:00	62.99	63.07	61.81	62.6	2394003	EUR	
29/10/2018 00:00	62.42	62.9	61.72	61.74	1741185	EUR	
30/10/2018 00:00	61.93	62.5	61.78	62.28	2160356	EUR	
31/10/2018 00:00	62.56	63.08	62.15	62.58	2110320	EUR	
01/11/2018 00:00	62.33	63.56	62.33	62.78	1342129	EUR	
02/11/2018 00:00	63.29	63.52	62.58	62.94	1406577	EUR	
05/11/2018 00:00	63	63.58	62.95	63.33	901065	EUR	
06/11/2018 00:00	63.34	63.35	62.63	62.92	1145078	EUR	
07/11/2018 00:00	62.99	63.63	62.74	63.02	1057102	EUR	
08/11/2018 00:00	63.04	63.62	62.91	63.35	1005274	EUR	
09/11/2018 00:00	64.27	65.61	63.6	65.61	2901646	EUR	
12/11/2018 00:00	66	66.4	65.45	65.98	2228227	EUR	
13/11/2018 00:00	66.44	66.73	66.04	66.53	2144453	EUR	
