date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	127	128.75	126.9	127.7	327265	EUR	
25/09/2018 00:00	127.55	128.85	127.45	128.85	276816	EUR	
26/09/2018 00:00	129	129.4	128	128.8	268668	EUR	
27/09/2018 00:00	128.6	129	127.6	128.45	236142	EUR	
28/09/2018 00:00	128.3	129.25	127.8	128.75	410025	EUR	
01/10/2018 00:00	128.65	129.5	128.5	129.45	234570	EUR	
02/10/2018 00:00	129.2	129.45	127.9	129.4	278561	EUR	
03/10/2018 00:00	129.9	129.9	128.6	128.85	226392	EUR	
04/10/2018 00:00	129.35	129.35	126.8	127.65	325425	EUR	
05/10/2018 00:00	127.4	127.7	123	123	421585	EUR	
08/10/2018 00:00	122.85	122.85	119.3	119.45	432209	EUR	
09/10/2018 00:00	120.1	120.45	117.95	119.8	448976	EUR	
10/10/2018 00:00	119.8	120	114	114	460150	EUR	
11/10/2018 00:00	111.15	115.35	109.7	113.2	849701	EUR	
12/10/2018 00:00	114.9	115.75	112.95	113.95	507262	EUR	
15/10/2018 00:00	114.35	114.35	111.1	111.75	390153	EUR	
16/10/2018 00:00	112.1	116.6	111.45	116.25	487589	EUR	
17/10/2018 00:00	117.5	118.9	115.15	116.25	473305	EUR	
18/10/2018 00:00	116.4	118.15	115.5	115.65	481434	EUR	
19/10/2018 00:00	116	116.9	114.5	115.7	381281	EUR	
22/10/2018 00:00	116.35	116.7	114.7	115	327992	EUR	
23/10/2018 00:00	112.15	113.15	108.6	108.6	833350	EUR	
24/10/2018 00:00	110.5	113.95	107.65	110.35	622288	EUR	
25/10/2018 00:00	109.05	113.3	108.4	113.3	595118	EUR	
26/10/2018 00:00	111.9	112.3	108.2	109.5	808468	EUR	
29/10/2018 00:00	109.5	111	106.15	106.15	454574	EUR	
30/10/2018 00:00	106.1	107.15	104.45	106.1	787760	EUR	
31/10/2018 00:00	107.05	111.75	106.8	110.85	637868	EUR	
01/11/2018 00:00	110.55	110.9	107.1	109.45	414890	EUR	
02/11/2018 00:00	110.85	111.85	108.15	109.05	360381	EUR	
05/11/2018 00:00	108.25	108.8	106.7	107	385707	EUR	
06/11/2018 00:00	107.95	108.05	105.75	107.15	365981	EUR	
07/11/2018 00:00	107.75	110.75	107.45	110.75	443119	EUR	
08/11/2018 00:00	111.35	112.55	110.55	111.05	360487	EUR	
09/11/2018 00:00	110.5	112.5	110.35	111.8	367351	EUR	
12/11/2018 00:00	112.25	112.5	108.85	108.85	382566	EUR	
13/11/2018 00:00	109.2	110.3	107.75	109	269189	EUR	
14/11/2018 00:00	108	109.1	106.15	106.9	463335	EUR	
15/11/2018 00:00	107.3	108.95	106.55	107.5	418565	EUR	
16/11/2018 00:00	107.8	109.25	106.8	108.9	429429	EUR	
19/11/2018 00:00	108.75	109.75	105.05	105.35	279810	EUR	
20/11/2018 00:00	104.1	104.1	100.6	103.2	637781	EUR	
21/11/2018 00:00	103.9	104	101.85	103.05	464854	EUR	
22/11/2018 00:00	102.85	103.15	101.7	101.75	248359	EUR	
23/11/2018 00:00	101.7	102.05	100.3	101.4	450209	EUR	
26/11/2018 00:00	101.95	104	101.6	102.8	320350	EUR	
27/11/2018 00:00	102.8	103.1	100.9	102.6	277911	EUR	
28/11/2018 00:00	103.1	106.4	103	106.1	476592	EUR	
29/11/2018 00:00	107.55	109.1	106.95	107.4	509723	EUR	
30/11/2018 00:00	107.8	107.8	105.55	106	1670870	EUR	
03/12/2018 00:00	108.1	111.65	108.1	111.65	570613	EUR	
04/12/2018 00:00	110.85	111.15	107.4	107.4	360788	EUR	
05/12/2018 00:00	106	106.85	105.5	106.05	260591	EUR	
06/12/2018 00:00	105	106.3	103.15	104.7	590216	EUR	
07/12/2018 00:00	105.65	107.25	104.7	104.75	405094	EUR	
10/12/2018 00:00	103.6	105.2	103.1	103.45	282619	EUR	
11/12/2018 00:00	105.6	109.35	104.6	108.6	490705	EUR	
12/12/2018 00:00	109.1	111.35	108.5	111.1	391223	EUR	
13/12/2018 00:00	111.45	112.1	108.9	109.6	416892	EUR	
14/12/2018 00:00	108.5	108.75	104.7	105.1	506559	EUR	
17/12/2018 00:00	105	105.25	102.65	102.7	419856	EUR	
18/12/2018 00:00	102.7	103.25	101.45	101.8	406751	EUR	
19/12/2018 00:00	102.15	104.4	101.65	104.3	372311	EUR	
20/12/2018 00:00	102.4	103.05	100.75	100.8	419232	EUR	
21/12/2018 00:00	100.5	102.25	99.76	100.15	741496	EUR	
24/12/2018 00:00	99.16	100.3	98.3	99.7	94654	EUR	
27/12/2018 00:00	101.05	102.1	99.38	100.6	417373	EUR	
28/12/2018 00:00	101.45	103.1	100.85	101.85	265317	EUR	
31/12/2018 00:00	103.25	104.25	101.95	103.7	103719	EUR	
02/01/2019 00:00	102.8	103.5	100.7	102.85	479666	EUR	
03/01/2019 00:00	102.15	102.3	96.02	96.28	610492	EUR	
04/01/2019 00:00	96.84	100.15	96.84	100.05	430886	EUR	
07/01/2019 00:00	101.45	102.5	99.94	102	360974	EUR	
08/01/2019 00:00	102.5	104.75	101.85	103.5	422239	EUR	
09/01/2019 00:00	104.55	107.25	104.45	106.15	340768	EUR	
10/01/2019 00:00	105.8	107.45	105.4	107.45	361054	EUR	
11/01/2019 00:00	107.3	107.8	106.4	106.95	331069	EUR	
14/01/2019 00:00	106.2	106.6	104.6	106.05	541455	EUR	
15/01/2019 00:00	106.95	108.45	106.05	107	379503	EUR	
16/01/2019 00:00	107.3	108.35	107.25	107.65	303103	EUR	
17/01/2019 00:00	107.4	109.1	107.4	108.6	251521	EUR	
18/01/2019 00:00	110	111.85	109.1	111.7	407697	EUR	
21/01/2019 00:00	111.45	111.95	110.85	111.6	165314	EUR	
22/01/2019 00:00	111.65	112.15	109.6	110.2	230382	EUR	
23/01/2019 00:00	110	111.9	109.1	110.5	267633	EUR	
24/01/2019 00:00	111.3	112.15	110.25	110.65	350433	EUR	
25/01/2019 00:00	111.5	112	110.75	111.55	287268	EUR	
28/01/2019 00:00	111	111	108.2	108.65	322570	EUR	
29/01/2019 00:00	108.4	110.2	107.05	109.65	330355	EUR	
30/01/2019 00:00	109.4	110.65	108.9	109.95	275326	EUR	
31/01/2019 00:00	110.6	110.75	107.75	109.55	379080	EUR	
01/02/2019 00:00	109.95	111.4	108.75	109.7	238063	EUR	
04/02/2019 00:00	109.55	112	109.55	112	263886	EUR	
05/02/2019 00:00	112.35	116.8	111.75	116.7	497750	EUR	
06/02/2019 00:00	121.1	128.65	120.9	128.5	751868	EUR	
07/02/2019 00:00	128.25	129.95	126.85	128.1	564424	EUR	
08/02/2019 00:00	128	128	125.7	126.95	357343	EUR	
11/02/2019 00:00	127.85	128.95	127	127.85	321113	EUR	
12/02/2019 00:00	129	129.3	125.2	125.9	348583	EUR	
13/02/2019 00:00	126.2	128.45	126.1	127.65	278136	EUR	
14/02/2019 00:00	129.4	129.8	126.75	126.8	345417	EUR	
15/02/2019 00:00	127.5	128.75	126.2	128.35	303634	EUR	
18/02/2019 00:00	128.9	129.25	127.9	128.45	186288	EUR	
19/02/2019 00:00	128.65	129.3	127.35	127.35	272873	EUR	
20/02/2019 00:00	127.85	129.5	127.65	128.6	211095	EUR	
21/02/2019 00:00	128.3	128.75	126.8	127.45	238901	EUR	
22/02/2019 00:00	127.7	129.75	127.6	129.2	240030	EUR	
25/02/2019 00:00	129.2	129.65	127.45	128	220271	EUR	
26/02/2019 00:00	127.8	129.3	127.4	128.9	244681	EUR	
27/02/2019 00:00	128.6	128.9	126.95	127.6	195679	EUR	
28/02/2019 00:00	126.9	129.35	126.7	128.65	340216	EUR	
01/03/2019 00:00	128.75	130.4	128.55	129.95	267998	EUR	
04/03/2019 00:00	131	131.9	128.7	128.7	223959	EUR	
05/03/2019 00:00	128.9	131.6	128.2	131.55	299472	EUR	
06/03/2019 00:00	131.25	131.45	128	128	324095	EUR	
07/03/2019 00:00	127.85	130.05	127.15	129	253677	EUR	
08/03/2019 00:00	127.5	129.8	127.5	129.45	271940	EUR	
11/03/2019 00:00	129.7	129.8	128.25	129.5	152055	EUR	
12/03/2019 00:00	129.25	129.5	128.35	129.4	199699	EUR	
13/03/2019 00:00	129.65	131.9	129.45	131.75	255590	EUR	
14/03/2019 00:00	131.5	132.25	129.55	130.8	221362	EUR	
15/03/2019 00:00	130.55	133.3	130	132.55	775763	EUR	
18/03/2019 00:00	132.35	132.35	129.3	129.95	257147	EUR	
19/03/2019 00:00	130.15	131.85	129.8	131	271988	EUR	
20/03/2019 00:00	130.75	132.35	130.4	130.65	296866	EUR	
21/03/2019 00:00	130.9	131.65	130.2	130.95	203966	EUR	
22/03/2019 00:00	131.4	132.25	129.85	129.9	238628	EUR	
25/03/2019 00:00	128.6	129.7	127.6	129.2	216912	EUR	
26/03/2019 00:00	129.3	132.45	128.9	132.45	215559	EUR	
27/03/2019 00:00	132.75	133.15	127.85	128.55	343910	EUR	
28/03/2019 00:00	128.9	131.9	128.65	130.7	200691	EUR	
29/03/2019 00:00	131.65	132.9	131.1	132.75	260854	EUR	
01/04/2019 00:00	132.45	134.35	132.3	133.4	246595	EUR	
02/04/2019 00:00	133.65	134.1	132.75	133.3	189003	EUR	
03/04/2019 00:00	133.9	135.45	133.7	135.3	208298	EUR	
04/04/2019 00:00	135.05	135.85	133.25	133.3	246591	EUR	
05/04/2019 00:00	133.05	133.7	132.6	133.15	273082	EUR	
08/04/2019 00:00	132.6	135.25	132.3	134.5	280803	EUR	
09/04/2019 00:00	134	135	132.85	133.7	225351	EUR	
10/04/2019 00:00	134	134.35	132.95	132.95	249795	EUR	
11/04/2019 00:00	132.75	134.1	131.7	132.9	209014	EUR	
12/04/2019 00:00	132.65	134.55	132.65	134.05	229344	EUR	
15/04/2019 00:00	133.85	134.5	133.4	134.4	178706	EUR	
16/04/2019 00:00	134.5	135.25	133.5	134.1	162068	EUR	
17/04/2019 00:00	134	135.45	133.1	134.15	248791	EUR	
18/04/2019 00:00	134.3	135.45	133.55	135.45	239919	EUR	
23/04/2019 00:00	135	136.95	133.5	136.5	270728	EUR	
24/04/2019 00:00	137.8	142.9	136.85	142.25	513513	EUR	
25/04/2019 00:00	141.95	142.45	140.75	142.4	332184	EUR	
26/04/2019 00:00	142.15	143.05	138.95	139.8	301368	EUR	
29/04/2019 00:00	138.4	138.7	137.25	138.6	286418	EUR	
30/04/2019 00:00	138.3	141.05	137.9	141.05	307628	EUR	
02/05/2019 00:00	140	140.2	134.55	136.7	414606	EUR	
03/05/2019 00:00	137.05	137.05	135.1	135.4	280773	EUR	
06/05/2019 00:00	133.55	136.2	132.05	136.2	218513	EUR	
07/05/2019 00:00	136.65	138.25	133.7	134.25	397176	EUR	
08/05/2019 00:00	134.35	136.2	134.25	136.15	236219	EUR	
09/05/2019 00:00	135.9	136.8	133.9	135.15	277389	EUR	
10/05/2019 00:00	136	137.3	135.45	135.8	304634	EUR	
