date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	123	123.3	122.4	122.95	621707	EUR	
25/09/2018 00:00	122.9	124.25	122.55	124.25	517979	EUR	
26/09/2018 00:00	124.1	126.5	123.95	126.5	657135	EUR	
27/09/2018 00:00	126.5	129	126.25	129	703832	EUR	
28/09/2018 00:00	129	129.05	126.95	127.45	986448	EUR	
01/10/2018 00:00	127.7	129.55	127.5	128.75	713327	EUR	
02/10/2018 00:00	128.5	129.5	127.45	128	542709	EUR	
03/10/2018 00:00	128	128.35	126.45	126.85	715934	EUR	
04/10/2018 00:00	126.8	127.05	124.35	124.55	719478	EUR	
05/10/2018 00:00	124.6	125	123	123.1	550913	EUR	
08/10/2018 00:00	122.75	123.35	122.1	122.2	590279	EUR	
09/10/2018 00:00	122.4	122.6	120.5	122.3	686993	EUR	
10/10/2018 00:00	122.65	122.7	117.7	117.95	1039599	EUR	
11/10/2018 00:00	116.95	117.45	114.55	115.25	1099326	EUR	
12/10/2018 00:00	116.55	116.7	114.4	115.05	796437	EUR	
15/10/2018 00:00	115	115.25	113.3	114.45	584892	EUR	
16/10/2018 00:00	114.5	116.65	113.9	116.65	740803	EUR	
17/10/2018 00:00	116.55	117.2	115.15	115.65	682292	EUR	
18/10/2018 00:00	116.2	117.55	115.75	115.9	634049	EUR	
19/10/2018 00:00	116.7	118.2	115.55	117.2	912405	EUR	
22/10/2018 00:00	118.05	118.2	116.25	116.25	709815	EUR	
23/10/2018 00:00	114.5	120.2	114.5	119.5	1224110	EUR	
24/10/2018 00:00	120.1	123.2	119.8	120.75	1447340	EUR	
25/10/2018 00:00	120.6	122.2	119.3	120.75	1072831	EUR	
26/10/2018 00:00	120.5	121.05	118.5	120.45	1039108	EUR	
29/10/2018 00:00	121.05	122.1	119.65	120.05	633387	EUR	
30/10/2018 00:00	120.5	121	118.6	119.65	762392	EUR	
31/10/2018 00:00	120.35	121.75	120.15	120.75	989933	EUR	
01/11/2018 00:00	120.8	122.6	120.75	122	760818	EUR	
02/11/2018 00:00	122.9	123.2	120.3	120.55	657444	EUR	
05/11/2018 00:00	120.95	121.3	119.55	120.8	468120	EUR	
06/11/2018 00:00	121.15	121.25	118.8	120	464248	EUR	
07/11/2018 00:00	120.45	121.45	120.1	120.85	518653	EUR	
08/11/2018 00:00	120.9	121.45	119.65	120.05	543208	EUR	
09/11/2018 00:00	119.85	120.6	119.45	120.2	785156	EUR	
12/11/2018 00:00	120.7	121	118.55	118.65	500183	EUR	
13/11/2018 00:00	119.15	120.35	118.15	119.25	461805	EUR	
