date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	559.2	562.2	556.4	560.2	61504	EUR	
25/09/2018 00:00	561	561.4	555.8	559	63994	EUR	
26/09/2018 00:00	560	564	556.4	560.2	68855	EUR	
27/09/2018 00:00	560.2	566	558.6	565.8	54872	EUR	
28/09/2018 00:00	565.6	576.8	565.4	570.6	95606	EUR	
01/10/2018 00:00	570	574.2	564.8	571	56005	EUR	
02/10/2018 00:00	568.4	570.2	560.6	564.2	54896	EUR	
03/10/2018 00:00	566.2	566.2	555.2	557.4	42536	EUR	
04/10/2018 00:00	557.4	557.8	536.4	540	112207	EUR	
05/10/2018 00:00	542.4	551.8	531.6	535	125773	EUR	
08/10/2018 00:00	533.6	534	526.4	529	97624	EUR	
09/10/2018 00:00	530	533.2	521.8	532.4	85503	EUR	
10/10/2018 00:00	534.2	534.4	499.8	505.4	170130	EUR	
11/10/2018 00:00	495.6	502.6	491.9	498.4	144953	EUR	
12/10/2018 00:00	503.6	511.4	491.5	492	122708	EUR	
15/10/2018 00:00	491	491.5	482.2	487.5	76594	EUR	
16/10/2018 00:00	486	499.2	482.2	499.2	99099	EUR	
17/10/2018 00:00	507.4	508.4	496.9	499.3	92860	EUR	
18/10/2018 00:00	500.8	501.4	491.4	492.9	76707	EUR	
19/10/2018 00:00	493	496.3	488.7	490.8	77859	EUR	
22/10/2018 00:00	495.1	499.1	489.7	491.1	56529	EUR	
23/10/2018 00:00	488	489.7	482.6	485.6	95334	EUR	
24/10/2018 00:00	492.9	502.8	489.8	489.8	95880	EUR	
25/10/2018 00:00	485.9	504.6	484	503.2	87176	EUR	
26/10/2018 00:00	499.9	504.2	494.1	499.9	93552	EUR	
29/10/2018 00:00	499.9	505.2	496.7	498	46108	EUR	
30/10/2018 00:00	499.3	500.6	489.3	499.5	68416	EUR	
31/10/2018 00:00	505	510.4	502.4	505	90234	EUR	
01/11/2018 00:00	505	507	494.6	504	70606	EUR	
02/11/2018 00:00	511.6	515.8	505.2	507.4	78586	EUR	
05/11/2018 00:00	508.2	508.2	501.6	502	55063	EUR	
06/11/2018 00:00	503.2	505	496.9	502.8	56512	EUR	
07/11/2018 00:00	505	508.6	497.9	501	80440	EUR	
08/11/2018 00:00	501	503	493.6	496.4	61231	EUR	
09/11/2018 00:00	492	495.7	486.9	495.2	69350	EUR	
12/11/2018 00:00	495.9	499.1	488.7	489.2	49047	EUR	
13/11/2018 00:00	490.8	501.6	490.6	501.6	60662	EUR	
14/11/2018 00:00	498.8	502.8	494.2	497.5	68231	EUR	
15/11/2018 00:00	499.9	499.9	487.1	490	73545	EUR	
16/11/2018 00:00	493	497.3	485.1	491	53695	EUR	
19/11/2018 00:00	493	494.2	481	482.8	52334	EUR	
20/11/2018 00:00	480	483.7	475.7	482.6	99192	EUR	
21/11/2018 00:00	486.1	491.2	481	491.1	74427	EUR	
22/11/2018 00:00	489	496.8	486.5	491.9	56835	EUR	
23/11/2018 00:00	492.1	494.9	487.3	493.6	44755	EUR	
26/11/2018 00:00	496	497.9	485.4	485.4	65121	EUR	
27/11/2018 00:00	485.2	487.2	475.4	476.6	88042	EUR	
28/11/2018 00:00	478.1	486.6	475.7	484.7	76727	EUR	
29/11/2018 00:00	487.3	490.2	481.9	485.1	61515	EUR	
30/11/2018 00:00	486.5	486.5	476.6	477.7	167194	EUR	
03/12/2018 00:00	487.1	496.6	486	493.7	81256	EUR	
04/12/2018 00:00	489.9	498.6	489.9	495.8	67099	EUR	
05/12/2018 00:00	490.3	495.1	487.3	487.5	53249	EUR	
06/12/2018 00:00	485.1	486.2	476.4	478.1	98897	EUR	
07/12/2018 00:00	480	488.7	479.4	482.1	75281	EUR	
10/12/2018 00:00	480.2	480.2	470.6	472.3	82126	EUR	
11/12/2018 00:00	473	481.7	472.2	479	69701	EUR	
12/12/2018 00:00	481.6	483	474.8	481.3	77298	EUR	
13/12/2018 00:00	484.3	492.7	483.8	490.5	87357	EUR	
14/12/2018 00:00	485.5	488.3	480.7	485.8	81382	EUR	
17/12/2018 00:00	483.2	485.2	475	476.8	95477	EUR	
18/12/2018 00:00	474.2	479.5	472.9	474.1	68573	EUR	
19/12/2018 00:00	474.1	482.4	473.2	477.3	58802	EUR	
20/12/2018 00:00	472.5	477.8	471.7	473.3	58617	EUR	
21/12/2018 00:00	471.3	478.9	470.1	475.4	105066	EUR	
24/12/2018 00:00	473.5	473.7	463.5	463.5	26785	EUR	
27/12/2018 00:00	468	475	464	469.3	73592	EUR	
28/12/2018 00:00	470.4	477.7	469.6	476.8	56824	EUR	
31/12/2018 00:00	478.3	484.8	478.3	484.8	24095	EUR	
02/01/2019 00:00	480	480.3	471.7	477.6	63153	EUR	
03/01/2019 00:00	472	475.4	462.4	464	62051	EUR	
04/01/2019 00:00	467.8	477.8	466.2	477.8	60823	EUR	
07/01/2019 00:00	480.3	481.3	470.6	472.2	49203	EUR	
08/01/2019 00:00	474.4	485.2	468	479.9	87020	EUR	
09/01/2019 00:00	484.5	498	484.5	491.2	87659	EUR	
10/01/2019 00:00	489	490.6	484.1	489.9	66099	EUR	
11/01/2019 00:00	499.2	501	493.2	496.4	67953	EUR	
14/01/2019 00:00	491	491.5	485.6	488.7	53667	EUR	
15/01/2019 00:00	491	495.2	490.1	494	57317	EUR	
16/01/2019 00:00	495	496.4	487.6	488.9	51390	EUR	
17/01/2019 00:00	487.7	495.7	486.5	495.7	70663	EUR	
18/01/2019 00:00	497.1	500.4	495.4	500.4	56376	EUR	
21/01/2019 00:00	500	503.2	497.9	501.4	33131	EUR	
22/01/2019 00:00	500.8	503.6	496.8	498.8	40573	EUR	
23/01/2019 00:00	496.8	502.8	496.2	499.8	36090	EUR	
24/01/2019 00:00	501	504.8	499.3	500.6	44492	EUR	
25/01/2019 00:00	505.2	505.4	500	504.4	35243	EUR	
28/01/2019 00:00	501	504	499.8	504	47299	EUR	
29/01/2019 00:00	502	506	492.9	503	61089	EUR	
30/01/2019 00:00	509	519.2	509	518.4	70858	EUR	
31/01/2019 00:00	519	524.4	514.2	524.4	82587	EUR	
01/02/2019 00:00	524	527.8	523.2	525	48643	EUR	
04/02/2019 00:00	525	525	519.2	520	44697	EUR	
05/02/2019 00:00	522	534	520	534	46416	EUR	
06/02/2019 00:00	531.8	533.8	528	529.6	35851	EUR	
07/02/2019 00:00	530.8	532.8	520.4	520.4	52328	EUR	
08/02/2019 00:00	527.2	529.8	523.2	528	58699	EUR	
11/02/2019 00:00	530.8	536	528	533.8	47820	EUR	
12/02/2019 00:00	536.2	542.4	535	541	42987	EUR	
13/02/2019 00:00	545	549	543	546	69096	EUR	
14/02/2019 00:00	549.4	552	541.4	541.4	47172	EUR	
15/02/2019 00:00	541	544.4	538.2	540.8	55411	EUR	
18/02/2019 00:00	541.6	544.8	540.2	544	27228	EUR	
19/02/2019 00:00	545	547.4	542.8	545.4	38398	EUR	
20/02/2019 00:00	546.8	551.6	545.2	549	51754	EUR	
21/02/2019 00:00	551.6	557.2	548.8	551.4	58885	EUR	
22/02/2019 00:00	552.2	554.2	549.2	553.8	37578	EUR	
25/02/2019 00:00	554.2	562.4	553.4	556.6	54242	EUR	
26/02/2019 00:00	556.6	559	553.2	556.2	44277	EUR	
27/02/2019 00:00	554.4	558.6	553.2	558.2	52265	EUR	
28/02/2019 00:00	555.2	560.8	552.6	556.8	71068	EUR	
01/03/2019 00:00	563.8	567.4	561	562.4	54793	EUR	
04/03/2019 00:00	567	569	564.2	565.6	46964	EUR	
05/03/2019 00:00	565	567.4	562.2	567.2	55805	EUR	
06/03/2019 00:00	567	569	560.6	562.8	57576	EUR	
07/03/2019 00:00	565	567.8	559.6	564.6	57473	EUR	
08/03/2019 00:00	559.4	567.2	558.2	566.2	56590	EUR	
11/03/2019 00:00	568	569.4	564.4	567.8	46154	EUR	
12/03/2019 00:00	570	570	564	569	40942	EUR	
13/03/2019 00:00	568.6	570	566.4	569.2	43535	EUR	
14/03/2019 00:00	568.4	575.2	568.4	575	38055	EUR	
15/03/2019 00:00	576.8	584.2	576.6	584	132208	EUR	
18/03/2019 00:00	584.8	585.4	580.2	582	47211	EUR	
19/03/2019 00:00	584.4	590.8	584.4	590.2	53448	EUR	
20/03/2019 00:00	588.8	598.4	582	596.6	91458	EUR	
21/03/2019 00:00	594.6	596	588.2	592.2	58103	EUR	
22/03/2019 00:00	595.4	597	582.8	583.2	58826	EUR	
25/03/2019 00:00	570.8	588.6	554	588.6	77211	EUR	
26/03/2019 00:00	593	593	588.2	590	51855	EUR	
27/03/2019 00:00	592	593	587.8	590	51628	EUR	
28/03/2019 00:00	588	595.8	588	589.8	59249	EUR	
29/03/2019 00:00	594	595.6	586.6	588.2	70499	EUR	
01/04/2019 00:00	594	597.6	593	597.4	60772	EUR	
02/04/2019 00:00	598.2	600	595	600	48637	EUR	
03/04/2019 00:00	600	606	595.4	600.6	62160	EUR	
04/04/2019 00:00	601	605	597.2	597.6	44502	EUR	
05/04/2019 00:00	599.8	600.4	595.8	597.4	53992	EUR	
08/04/2019 00:00	597	600.2	594.6	597.4	41737	EUR	
09/04/2019 00:00	595.4	596.8	589	589	46290	EUR	
10/04/2019 00:00	588.4	592.2	586.6	588.6	44252	EUR	
11/04/2019 00:00	590	596.4	587.2	592	78655	EUR	
12/04/2019 00:00	590.8	599.4	590.8	599.4	51540	EUR	
15/04/2019 00:00	599	601	597	600	46477	EUR	
16/04/2019 00:00	600	605	598.6	604.6	42684	EUR	
17/04/2019 00:00	603.6	607.6	602.4	606.8	47086	EUR	
18/04/2019 00:00	604.6	610	601.4	610	72754	EUR	
23/04/2019 00:00	610	615.8	605.4	613	65952	EUR	
24/04/2019 00:00	611	619.4	610.8	619	62226	EUR	
25/04/2019 00:00	620.6	622	612	617.8	75799	EUR	
26/04/2019 00:00	615.8	620.2	614.2	620	51788	EUR	
29/04/2019 00:00	618.4	622.4	616.4	621.2	31166	EUR	
30/04/2019 00:00	621.4	627.2	620.4	627.2	62552	EUR	
02/05/2019 00:00	624.8	625.2	616.2	618	63064	EUR	
03/05/2019 00:00	618.4	623.8	618.4	621.4	61401	EUR	
06/05/2019 00:00	608	618	606	618	45970	EUR	
07/05/2019 00:00	617.4	620.8	608	611.6	65155	EUR	
08/05/2019 00:00	608	618.8	607.8	618.8	52298	EUR	
09/05/2019 00:00	614.8	614.8	605.4	607.8	51526	EUR	
10/05/2019 00:00	610	615	607.2	608.6	44140	EUR	
13/05/2019 00:00	607.8	609.6	596.6	598.6	60082	EUR	
14/05/2019 00:00	598.2	607.8	596.2	607	59786	EUR	
15/05/2019 00:00	608	612.6	601.6	612.6	53479	EUR	
16/05/2019 00:00	611.4	615	604.8	615	89221	EUR	
17/05/2019 00:00	610.4	620	610	620	61563	EUR	
20/05/2019 00:00	616.6	621.2	601.2	603.4	68584	EUR	
21/05/2019 00:00	605	615.2	602	615.2	50475	EUR	
22/05/2019 00:00	612.6	619.6	612	617.6	54480	EUR	
23/05/2019 00:00	612	614.6	604.8	605	58528	EUR	
24/05/2019 00:00	606.2	607	602.8	603	48751	EUR	
27/05/2019 00:00	606.2	610.4	603.8	606	23126	EUR	
28/05/2019 00:00	607.6	610.2	601.4	605.2	59729	EUR	
29/05/2019 00:00	601.2	603.8	593.8	595.4	79974	EUR	
30/05/2019 00:00	597.8	600.6	594.2	598.6	38065	EUR	
31/05/2019 00:00	593.4	596.2	587.8	594.8	65116	EUR	
03/06/2019 00:00	593.8	598.6	591.8	597.6	54533	EUR	
04/06/2019 00:00	596.4	600.6	590.6	595.6	72009	EUR	
05/06/2019 00:00	595.4	606	593	606	68289	EUR	
06/06/2019 00:00	605	615.8	604.6	607.2	58731	EUR	
07/06/2019 00:00	602.8	615	602.8	611.4	54001	EUR	
10/06/2019 00:00	612.2	614.6	609	610.6	25342	EUR	
11/06/2019 00:00	613.6	620.4	613.2	618	46705	EUR	
12/06/2019 00:00	616.4	620.2	613	613.8	52156	EUR	
13/06/2019 00:00	612.6	617	609.8	611.2	39995	EUR	
14/06/2019 00:00	609	612.2	606.6	612.2	51995	EUR	
17/06/2019 00:00	612.4	614.2	609.6	611.6	52253	EUR	
18/06/2019 00:00	611.2	632.4	610.4	632.4	80144	EUR	
19/06/2019 00:00	637	638	628.2	628.8	72606	EUR	
20/06/2019 00:00	631.4	638.4	631.4	634	45883	EUR	
21/06/2019 00:00	635.6	637.8	630	630	124573	EUR	
24/06/2019 00:00	630	633.6	629	630	42334	EUR	
25/06/2019 00:00	628.8	632.4	628	628	41096	EUR	
26/06/2019 00:00	626.6	634.6	625.8	626	45091	EUR	
27/06/2019 00:00	628.4	630.4	624.6	627.4	40090	EUR	
28/06/2019 00:00	627.8	634.2	626.8	634.2	54257	EUR	
01/07/2019 00:00	638.4	641.6	634.6	634.8	51498	EUR	
02/07/2019 00:00	638.8	640.2	636.6	640	50097	EUR	
03/07/2019 00:00	640.6	646.4	640.4	644.8	34850	EUR	
04/07/2019 00:00	645.2	645.6	638.8	640.6	23091	EUR	
05/07/2019 00:00	640.6	642	633.4	637.2	34968	EUR	
08/07/2019 00:00	633.6	640.4	633	640.4	29742	EUR	
09/07/2019 00:00	640.4	643.2	638.6	642.8	45185	EUR	
10/07/2019 00:00	641.6	643.6	636.8	641	38109	EUR	
11/07/2019 00:00	639.8	644.6	639.4	642.8	42098	EUR	
12/07/2019 00:00	642.8	649	642.6	645.4	44397	EUR	
15/07/2019 00:00	645.6	649.6	629.4	632.2	61962	EUR	
16/07/2019 00:00	632.2	637.4	632.2	634	58904	EUR	
17/07/2019 00:00	636	649.2	633.6	645	53024	EUR	
18/07/2019 00:00	640	646.4	637.2	639.8	43602	EUR	
19/07/2019 00:00	643.4	644.4	637.2	641.6	39825	EUR	
22/07/2019 00:00	639.8	645.4	639.2	644.2	40311	EUR	
23/07/2019 00:00	644.8	651	639.8	643	65638	EUR	
24/07/2019 00:00	643.4	644.6	640.8	643.8	38294	EUR	
25/07/2019 00:00	650	652	637.8	641.2	68812	EUR	
26/07/2019 00:00	637	646	631.8	645.6	38822	EUR	
29/07/2019 00:00	643	643.4	638.6	642.6	45997	EUR	
30/07/2019 00:00	641.2	647	626.2	632.2	59163	EUR	
31/07/2019 00:00	630	636.8	626.4	636.6	49595	EUR	
01/08/2019 00:00	634.4	645.4	633.8	644.6	43374	EUR	
02/08/2019 00:00	633.6	637.4	621.8	622	91559	EUR	
05/08/2019 00:00	615	616.2	602.2	603.2	100294	EUR	
06/08/2019 00:00	602.6	608.6	600	600.8	78312	EUR	
07/08/2019 00:00	606	615.6	602	611.2	59981	EUR	
08/08/2019 00:00	619.4	623.8	613.6	623.8	56227	EUR	
09/08/2019 00:00	621.6	627.6	618.2	618.2	53292	EUR	
12/08/2019 00:00	622.2	627.8	611.6	615.4	45445	EUR	
13/08/2019 00:00	612.2	621.2	605.6	615.8	83853	EUR	
14/08/2019 00:00	618	618.4	600	602.8	54582	EUR	
15/08/2019 00:00	608	611.4	597.8	605.6	83882	EUR	
16/08/2019 00:00	604.6	609.4	603.4	605.8	53079	EUR	
19/08/2019 00:00	612.8	613.8	607.6	613.2	59184	EUR	
20/08/2019 00:00	612.8	618.6	609.2	610.6	50820	EUR	
21/08/2019 00:00	614.2	628.4	613.2	628.4	35557	EUR	
22/08/2019 00:00	627.8	627.8	617.2	618	47131	EUR	
23/08/2019 00:00	622	622	612.4	613.8	33360	EUR	
26/08/2019 00:00	610	613.8	600.8	609	30139	EUR	
27/08/2019 00:00	609.4	618	606.4	618	52533	EUR	
28/08/2019 00:00	615	616	607	614.4	30445	EUR	
29/08/2019 00:00	612.8	617.4	610	613.2	52706	EUR	
30/08/2019 00:00	614.2	623.2	613.4	621	43724	EUR	
02/09/2019 00:00	622.6	624.6	620.6	624.2	21546	EUR	
03/09/2019 00:00	624.2	624.2	616.8	622.8	40803	EUR	
04/09/2019 00:00	633.2	638.8	632	635.4	41188	EUR	
05/09/2019 00:00	640	647	637.6	646	54442	EUR	
06/09/2019 00:00	648.6	656.6	647.8	655.2	59300	EUR	
09/09/2019 00:00	654	656	645	645	43942	EUR	
10/09/2019 00:00	645	645.4	630.2	640	79062	EUR	
11/09/2019 00:00	636	641.8	626.2	636.2	70511	EUR	
12/09/2019 00:00	640	647.6	636.2	645	65775	EUR	
13/09/2019 00:00	643	645.2	639.6	643	53206	EUR	
16/09/2019 00:00	637	638.6	624	625	79347	EUR	
17/09/2019 00:00	625.4	630.6	619.2	630.6	46400	EUR	
18/09/2019 00:00	631	631.2	617.4	621.4	67997	EUR	
19/09/2019 00:00	623	632	622.8	629.4	49883	EUR	
20/09/2019 00:00	629.4	629.4	624.6	627.4	166768	EUR	
23/09/2019 00:00	627.4	627.4	620.6	626	48252	EUR	
24/09/2019 00:00	627.8	631.6	625.4	625.6	13946	EUR	
