date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	205.3	205.5	202.3	203.7	433002	EUR	
25/09/2018 00:00	203.6	204.2	201.4	203.8	421954	EUR	
26/09/2018 00:00	204	205.8	203.4	205.5	433306	EUR	
27/09/2018 00:00	205	208.3	204.3	208	368845	EUR	
28/09/2018 00:00	209.5	209.5	206.6	207.7	577461	EUR	
01/10/2018 00:00	207	208.6	206.6	208.3	320291	EUR	
02/10/2018 00:00	207.3	207.6	205.1	207.5	386620	EUR	
03/10/2018 00:00	208	208.1	206.3	208	286439	EUR	
04/10/2018 00:00	206.3	206.7	199.65	200.6	726702	EUR	
05/10/2018 00:00	201.3	202.4	200	201.4	521012	EUR	
08/10/2018 00:00	200.8	201.8	198.75	199.2	380637	EUR	
09/10/2018 00:00	199.35	200	196.7	199.6	444559	EUR	
10/10/2018 00:00	199	200.1	189.9	191.3	996454	EUR	
11/10/2018 00:00	190.1	190.95	187.15	187.6	766058	EUR	
12/10/2018 00:00	189.1	189.45	184	184	749333	EUR	
15/10/2018 00:00	183.5	184.35	182	184	562080	EUR	
16/10/2018 00:00	184	187	182.15	186.3	771557	EUR	
17/10/2018 00:00	186.9	189.2	186.6	187.75	592297	EUR	
18/10/2018 00:00	188.4	188.8	186.4	186.7	481622	EUR	
19/10/2018 00:00	187.15	193.15	186.35	191.3	920180	EUR	
22/10/2018 00:00	193.3	193.9	191	191	486131	EUR	
23/10/2018 00:00	189	192.2	188.55	189.75	626271	EUR	
24/10/2018 00:00	190.35	193.1	189.65	189.8	445161	EUR	
25/10/2018 00:00	189.4	192.75	188.55	192.5	608680	EUR	
26/10/2018 00:00	190.05	190.9	186.65	189.1	727319	EUR	
29/10/2018 00:00	189.1	189.9	187.1	188.1	441293	EUR	
30/10/2018 00:00	187	187.85	184.05	186.4	661072	EUR	
31/10/2018 00:00	197.5	200.1	194.95	198.9	1437389	EUR	
01/11/2018 00:00	199.35	200.5	197.9	199.8	610929	EUR	
02/11/2018 00:00	201.8	201.9	199.65	201.1	552153	EUR	
05/11/2018 00:00	200.9	203.2	200.4	201.7	420590	EUR	
06/11/2018 00:00	202.6	204.5	201.5	202.6	508884	EUR	
07/11/2018 00:00	202.8	206.6	202.8	203.7	507681	EUR	
08/11/2018 00:00	204	206.1	203.3	204.2	499913	EUR	
09/11/2018 00:00	204.1	205.9	203.4	205.6	440790	EUR	
12/11/2018 00:00	205.9	206.9	204.6	205.3	493232	EUR	
13/11/2018 00:00	205.7	208.9	205.4	208.9	524367	EUR	
14/11/2018 00:00	208.6	210.3	206.7	207.4	575077	EUR	
15/11/2018 00:00	208.5	209.2	205.1	207.4	591999	EUR	
16/11/2018 00:00	207.1	209.8	205.3	207.6	588215	EUR	
19/11/2018 00:00	208	209.2	205.1	205.4	439778	EUR	
20/11/2018 00:00	204.1	206.2	201.7	204.8	644059	EUR	
21/11/2018 00:00	205.9	207.2	203.9	206.4	495652	EUR	
22/11/2018 00:00	205	206.6	204.5	205.1	373691	EUR	
23/11/2018 00:00	205.5	207	204	206.4	340676	EUR	
26/11/2018 00:00	206.3	207.9	204.8	205	475378	EUR	
27/11/2018 00:00	204.9	208.2	204.9	208	503832	EUR	
28/11/2018 00:00	208.4	210.3	207.2	207.4	540284	EUR	
29/11/2018 00:00	209	210.5	207.1	208.4	464662	EUR	
30/11/2018 00:00	208	209	207.2	207.9	647882	EUR	
