date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	303.45	305.8	302.65	305.7	516445	EUR	
25/09/2018 00:00	305.5	306.75	303.3	303.9	495409	EUR	
26/09/2018 00:00	303.25	306.2	302.95	305.95	588718	EUR	
27/09/2018 00:00	305.15	307.65	303.65	307.65	430022	EUR	
28/09/2018 00:00	306.25	310.25	303.8	304.6	613750	EUR	
01/10/2018 00:00	304.55	307.95	303.6	306.9	401092	EUR	
02/10/2018 00:00	306	306.35	300.15	300.35	725827	EUR	
03/10/2018 00:00	301.55	303.35	299.25	302.75	417196	EUR	
04/10/2018 00:00	300.1	300.4	286.2	287.95	1240441	EUR	
05/10/2018 00:00	289.7	289.9	283.4	286.2	729652	EUR	
08/10/2018 00:00	284	284.8	281.15	281.85	789970	EUR	
09/10/2018 00:00	282.25	287.3	280.25	285.7	663004	EUR	
10/10/2018 00:00	284.4	286.4	261.65	265.3	2375403	EUR	
11/10/2018 00:00	260.05	266.7	257.3	261.95	1589684	EUR	
12/10/2018 00:00	267.9	270	262.5	262.5	878041	EUR	
15/10/2018 00:00	262.9	263.5	257.05	260.45	870263	EUR	
16/10/2018 00:00	260.5	266.35	257.15	264.25	893880	EUR	
17/10/2018 00:00	267	269.55	261.8	264.15	699809	EUR	
18/10/2018 00:00	264.3	265.35	260.55	260.9	715182	EUR	
19/10/2018 00:00	260.95	266.15	259.15	263.25	992332	EUR	
22/10/2018 00:00	265.3	268.6	263.25	263.25	497799	EUR	
23/10/2018 00:00	260	261.55	257.55	258.05	802109	EUR	
24/10/2018 00:00	265	267	259.05	259.65	907678	EUR	
25/10/2018 00:00	257.5	266.4	257	265.45	911601	EUR	
26/10/2018 00:00	262.8	264.55	257.95	262.45	932587	EUR	
29/10/2018 00:00	263.9	265.95	260.85	261.95	528884	EUR	
30/10/2018 00:00	262.15	264.05	256.15	259.95	740199	EUR	
31/10/2018 00:00	263.5	270.2	262.1	268.8	1148471	EUR	
01/11/2018 00:00	268.8	270.15	264.95	269.8	624593	EUR	
02/11/2018 00:00	280	280.7	276.2	279.05	1161486	EUR	
05/11/2018 00:00	277.2	278.6	275.95	277.7	494009	EUR	
06/11/2018 00:00	277.7	277.7	273	273	569103	EUR	
07/11/2018 00:00	274.8	278.8	274.05	276.25	671832	EUR	
08/11/2018 00:00	276.5	276.5	269.6	271	622981	EUR	
09/11/2018 00:00	268	268	262.8	266	768709	EUR	
12/11/2018 00:00	266.75	267	263.05	263.45	518351	EUR	
13/11/2018 00:00	265	270	263.6	269.7	734584	EUR	
14/11/2018 00:00	267.65	271.5	264.3	268.1	568127	EUR	
15/11/2018 00:00	270.55	270.8	262.6	265.4	577762	EUR	
16/11/2018 00:00	266	268.7	262.35	264.25	658945	EUR	
19/11/2018 00:00	265.9	266.55	258.8	259.25	665625	EUR	
20/11/2018 00:00	257.4	257.8	251.95	253.85	879353	EUR	
21/11/2018 00:00	256.6	261.1	254.75	260.65	744474	EUR	
22/11/2018 00:00	259.3	261.15	257.5	258.5	384126	EUR	
23/11/2018 00:00	258.8	260.1	255.6	258.45	506587	EUR	
26/11/2018 00:00	261.1	263.7	256.6	256.6	714275	EUR	
27/11/2018 00:00	257.5	258.35	252.75	254.2	639670	EUR	
28/11/2018 00:00	256	258.95	253.75	256.55	784546	EUR	
29/11/2018 00:00	259.05	260.7	255.65	256.5	663043	EUR	
30/11/2018 00:00	257.65	257.65	249.75	252.55	1194021	EUR	
03/12/2018 00:00	260.5	269.05	260.1	265.25	1373047	EUR	
04/12/2018 00:00	261.15	264.45	258.8	261.85	797446	EUR	
05/12/2018 00:00	257.5	262.05	256.9	259.5	445436	EUR	
06/12/2018 00:00	256	256	246.55	247.9	1196304	EUR	
07/12/2018 00:00	249.95	254.7	249.5	249.5	648880	EUR	
10/12/2018 00:00	246.85	248.25	242.3	243.25	846742	EUR	
11/12/2018 00:00	248.35	254.2	245.55	249.25	906181	EUR	
12/12/2018 00:00	250.75	256.15	248.4	254.35	622217	EUR	
13/12/2018 00:00	256.2	256.85	252.35	255.85	632507	EUR	
14/12/2018 00:00	248.9	253.85	248	251.95	836436	EUR	
17/12/2018 00:00	250	250.9	247.5	250.1	647287	EUR	
18/12/2018 00:00	248	256.05	247.8	252	954683	EUR	
19/12/2018 00:00	253.6	256.3	251.85	252.4	734756	EUR	
20/12/2018 00:00	248.9	253.85	248.45	250.1	823637	EUR	
21/12/2018 00:00	249.35	254.7	246.85	253.45	1487377	EUR	
