date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	107.05	107.1	105.65	105.65	490078	EUR	
25/09/2018 00:00	105.9	106.2	103.6	103.9	690427	EUR	
26/09/2018 00:00	104	104	101.45	103.25	773970	EUR	
27/09/2018 00:00	103.05	103.55	102.05	103.1	477782	EUR	
28/09/2018 00:00	102.8	103.7	102.2	102.95	670255	EUR	
01/10/2018 00:00	103.3	104.55	102.35	103.55	668333	EUR	
02/10/2018 00:00	103	103.6	101.95	102.2	632827	EUR	
03/10/2018 00:00	104.9	105.6	103.95	104.7	574133	EUR	
04/10/2018 00:00	104.1	104.55	102.05	102.6	731113	EUR	
05/10/2018 00:00	102.65	104	101.6	103.8	663352	EUR	
08/10/2018 00:00	103.35	104.2	102.7	103.35	610712	EUR	
09/10/2018 00:00	103.35	104.3	102.85	103.55	524277	EUR	
10/10/2018 00:00	103.4	103.4	98.56	99.26	1060128	EUR	
11/10/2018 00:00	98	100.65	97.1	98.94	1015158	EUR	
12/10/2018 00:00	100.25	100.45	98.04	98.22	585792	EUR	
15/10/2018 00:00	97.94	99.12	97.32	98.52	613239	EUR	
16/10/2018 00:00	98.64	101.15	97.62	100.95	584467	EUR	
17/10/2018 00:00	100	100.4	97.24	98.28	836923	EUR	
18/10/2018 00:00	99.22	101	98.5	98.9	796132	EUR	
19/10/2018 00:00	94	94.5	87.62	87.74	2947192	EUR	
22/10/2018 00:00	88.64	89.88	88.2	88.44	908551	EUR	
23/10/2018 00:00	86.78	88.26	85.5	87.24	1170656	EUR	
24/10/2018 00:00	87.26	87.52	85.5	85.5	1058309	EUR	
25/10/2018 00:00	85	88.04	84.96	87.14	1367869	EUR	
26/10/2018 00:00	85.72	87.46	84.06	87.46	1069792	EUR	
29/10/2018 00:00	88	92.4	87.38	91.6	1225087	EUR	
30/10/2018 00:00	91.62	91.94	89.16	91.1	917642	EUR	
31/10/2018 00:00	91.4	92.78	90.28	90.74	1122150	EUR	
01/11/2018 00:00	89.74	92.12	88.96	90.58	716709	EUR	
02/11/2018 00:00	92.96	94.7	91.66	91.68	800343	EUR	
05/11/2018 00:00	91.7	91.78	89.42	89.6	653521	EUR	
06/11/2018 00:00	89.86	90.36	88.72	89.7	508251	EUR	
07/11/2018 00:00	89.84	92.32	89.72	91	691474	EUR	
08/11/2018 00:00	91.8	91.92	90.56	91	671087	EUR	
09/11/2018 00:00	90.88	90.92	88.88	89.66	661470	EUR	
12/11/2018 00:00	90.02	90.28	87.1	87.38	642878	EUR	
13/11/2018 00:00	87.34	88.8	87.14	88.66	851236	EUR	
14/11/2018 00:00	88.52	92.46	88.28	90.24	945132	EUR	
15/11/2018 00:00	90.54	90.6	87.88	89.7	764668	EUR	
16/11/2018 00:00	89.98	90.96	89.06	89.06	690537	EUR	
19/11/2018 00:00	89.24	90.72	88.76	88.94	675749	EUR	
20/11/2018 00:00	88.82	89.68	87.36	89	645234	EUR	
