date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	136.5	136.95	135.9	136.1	332274	EUR	
25/09/2018 00:00	135.95	137.4	135.85	137	356490	EUR	
26/09/2018 00:00	137.4	139.7	137.35	138.45	808914	EUR	
27/09/2018 00:00	138.1	140.95	137.95	140.85	761295	EUR	
28/09/2018 00:00	140.65	142.15	140.35	141.3	620558	EUR	
01/10/2018 00:00	141.9	142.2	140.75	141.3	448082	EUR	
02/10/2018 00:00	141.05	141.05	139.35	140.25	487305	EUR	
03/10/2018 00:00	140.5	142.25	139.9	141.8	312060	EUR	
04/10/2018 00:00	141.45	141.55	137.9	138.05	520755	EUR	
05/10/2018 00:00	138	138.4	136.9	137.75	428497	EUR	
08/10/2018 00:00	137.6	137.85	135.6	135.95	384501	EUR	
09/10/2018 00:00	136.15	138.4	135.5	137.8	646139	EUR	
10/10/2018 00:00	138.15	138.55	132.15	132.2	822373	EUR	
11/10/2018 00:00	131.25	132.05	129.8	130.1	708127	EUR	
12/10/2018 00:00	131.15	131.5	130	130.7	578709	EUR	
15/10/2018 00:00	130.95	131	128.8	129.35	402144	EUR	
16/10/2018 00:00	129.7	131.15	129.35	130.65	577996	EUR	
17/10/2018 00:00	130.8	131.15	128.35	129.9	641667	EUR	
18/10/2018 00:00	130.7	132.15	129.75	130.8	754182	EUR	
19/10/2018 00:00	131.7	132.9	130.45	132.2	790936	EUR	
22/10/2018 00:00	133.95	134.3	132.45	132.65	413017	EUR	
23/10/2018 00:00	128.05	130.9	127.05	129.5	865115	EUR	
24/10/2018 00:00	129.8	131.45	129.15	130.4	481530	EUR	
25/10/2018 00:00	129.6	133.15	129.6	132.6	571218	EUR	
26/10/2018 00:00	131.7	133.4	130.3	133.4	718350	EUR	
29/10/2018 00:00	132.5	132.5	128.3	131.4	423442	EUR	
30/10/2018 00:00	131.55	132.8	131.1	132.7	474792	EUR	
31/10/2018 00:00	133.55	134.8	133	134.8	611167	EUR	
01/11/2018 00:00	134.45	136.2	133.65	136.2	652747	EUR	
02/11/2018 00:00	136.85	137.3	136.25	136.95	556219	EUR	
05/11/2018 00:00	137	138.35	136.55	137.95	429878	EUR	
06/11/2018 00:00	138.6	138.65	137.65	138.3	364964	EUR	
07/11/2018 00:00	138.4	140.85	138.3	140.85	526220	EUR	
08/11/2018 00:00	140.8	141.8	140.15	141.2	485074	EUR	
09/11/2018 00:00	140.75	142.4	140.2	142.4	499026	EUR	
12/11/2018 00:00	142.85	143.9	142.35	143.05	589585	EUR	
13/11/2018 00:00	143.7	145.55	143.45	145	675017	EUR	
14/11/2018 00:00	143.3	143.75	139.2	139.2	993571	EUR	
15/11/2018 00:00	140.45	140.85	137.6	138.95	513586	EUR	
16/11/2018 00:00	138.75	140.65	138.45	140.4	407800	EUR	
19/11/2018 00:00	140.45	141.4	139.7	139.85	266516	EUR	
20/11/2018 00:00	139.5	140.7	139.05	140.05	449234	EUR	
21/11/2018 00:00	140.45	140.7	138.35	140.5	889399	EUR	
22/11/2018 00:00	140.6	141.65	139.85	140.05	351454	EUR	
23/11/2018 00:00	140.4	141.1	139.3	141	244997	EUR	
26/11/2018 00:00	141.3	141.8	139.75	140.5	405607	EUR	
27/11/2018 00:00	140.35	142.4	140.3	141.75	430158	EUR	
28/11/2018 00:00	141.4	141.6	139.95	140.5	367304	EUR	
29/11/2018 00:00	141.5	142.8	139.95	140.35	445409	EUR	
30/11/2018 00:00	140.35	141.95	139.9	141.2	574911	EUR	
03/12/2018 00:00	143.55	143.9	140.45	141	353079	EUR	
04/12/2018 00:00	140.7	142.75	140.65	142.3	433013	EUR	
05/12/2018 00:00	141.7	143.6	141.3	142	315736	EUR	
06/12/2018 00:00	141.2	141.4	137.35	137.95	654839	EUR	
07/12/2018 00:00	138.15	140.05	137.95	138	446991	EUR	
10/12/2018 00:00	137.75	138.85	137.4	137.45	460061	EUR	
11/12/2018 00:00	137.65	141.3	137.2	140.5	565198	EUR	
12/12/2018 00:00	145.15	148.8	144.3	148.8	1182117	EUR	
13/12/2018 00:00	149.95	150.4	147.6	148.2	608543	EUR	
14/12/2018 00:00	147.4	149.7	146.5	148.4	512300	EUR	
17/12/2018 00:00	147.85	149	146.65	146.65	513248	EUR	
18/12/2018 00:00	146.7	147.9	144.85	144.85	757225	EUR	
19/12/2018 00:00	145.5	146.25	144.95	145.6	594363	EUR	
20/12/2018 00:00	145.3	145.9	143.75	144	797346	EUR	
21/12/2018 00:00	143.95	144.1	141.8	142.3	1351340	EUR	
24/12/2018 00:00	140.8	142.85	139.55	141.65	176448	EUR	
27/12/2018 00:00	142.2	143.35	138.85	139.85	588753	EUR	
28/12/2018 00:00	139.9	142.5	139.9	141.4	415694	EUR	
31/12/2018 00:00	141.5	143.3	141.5	143.3	113277	EUR	
02/01/2019 00:00	142.3	142.3	139.85	141.2	343068	EUR	
03/01/2019 00:00	140.4	140.95	137.95	138.95	445202	EUR	
04/01/2019 00:00	137.6	141.15	137.6	141.1	466131	EUR	
07/01/2019 00:00	140	141.2	137.85	138.65	494930	EUR	
08/01/2019 00:00	138.5	139.7	138.35	138.7	529353	EUR	
09/01/2019 00:00	139.55	139.95	137.4	138.25	552345	EUR	
10/01/2019 00:00	137.45	138.5	136.6	138.5	469305	EUR	
11/01/2019 00:00	138.4	139.55	138	138.45	341036	EUR	
14/01/2019 00:00	137.4	138.15	136	136.55	343228	EUR	
15/01/2019 00:00	137.5	138.3	136.05	138.3	410821	EUR	
16/01/2019 00:00	138.05	138.8	136.75	137.2	378366	EUR	
17/01/2019 00:00	137.45	138.45	136.95	138.25	310320	EUR	
18/01/2019 00:00	139.05	140.3	138.2	139.6	368299	EUR	
21/01/2019 00:00	139.95	139.95	137.9	138.7	272448	EUR	
22/01/2019 00:00	139.1	140.45	138.85	140	473141	EUR	
23/01/2019 00:00	140.35	142.9	139.75	142	526683	EUR	
24/01/2019 00:00	143	143	141.35	142.2	490881	EUR	
25/01/2019 00:00	142.95	143.25	141.4	141.5	398601	EUR	
28/01/2019 00:00	140.85	141.1	140.3	141	248046	EUR	
29/01/2019 00:00	141.6	143.55	141.45	142.85	329569	EUR	
30/01/2019 00:00	143.6	143.75	141.9	142.9	274157	EUR	
31/01/2019 00:00	145	145.1	143.45	145	484458	EUR	
01/02/2019 00:00	145.75	147.15	144.65	146.35	276217	EUR	
04/02/2019 00:00	145.7	146.45	145.15	145.5	320551	EUR	
05/02/2019 00:00	146.1	148.8	145.15	148.8	392040	EUR	
06/02/2019 00:00	148	149	147	147.65	370607	EUR	
07/02/2019 00:00	151.2	151.9	148.75	149.45	604269	EUR	
08/02/2019 00:00	150	150.95	146.9	150.55	531076	EUR	
11/02/2019 00:00	150	150.5	148.95	149.8	348810	EUR	
12/02/2019 00:00	150.2	150.35	147.05	147.9	507312	EUR	
13/02/2019 00:00	148.15	148.65	146.45	147.95	497792	EUR	
14/02/2019 00:00	149	150.8	148.8	149	340516	EUR	
15/02/2019 00:00	149.85	151.45	148.95	150.55	364360	EUR	
18/02/2019 00:00	151	151.4	149.05	150	361763	EUR	
19/02/2019 00:00	150	150.15	148.7	149.45	323501	EUR	
20/02/2019 00:00	149.9	151.1	149.3	151	314682	EUR	
21/02/2019 00:00	151.7	153.45	151.25	152.95	405014	EUR	
22/02/2019 00:00	152.6	153.05	151.85	151.9	244081	EUR	
25/02/2019 00:00	151.95	152.25	150.65	150.7	268832	EUR	
26/02/2019 00:00	150.3	151.95	149.4	151.2	282620	EUR	
27/02/2019 00:00	151.25	151.25	149.35	150	335360	EUR	
28/02/2019 00:00	149.7	152	149.5	151.4	382860	EUR	
01/03/2019 00:00	152	153.4	151.3	153.15	375356	EUR	
04/03/2019 00:00	153.5	154.7	153.4	154	273992	EUR	
05/03/2019 00:00	154.55	155.1	152.8	153.85	297788	EUR	
06/03/2019 00:00	154.5	154.75	153.4	154	253212	EUR	
07/03/2019 00:00	154.15	156.2	154.05	156.05	316343	EUR	
08/03/2019 00:00	155.95	156.5	155.45	155.55	334869	EUR	
11/03/2019 00:00	155.7	155.8	153.9	155.2	267752	EUR	
12/03/2019 00:00	155.4	155.4	154.15	154.95	210635	EUR	
13/03/2019 00:00	155.35	159.5	154.25	155.35	497646	EUR	
14/03/2019 00:00	155.35	157.8	155.3	157.5	345553	EUR	
15/03/2019 00:00	157.3	159.05	157.15	158.8	765414	EUR	
18/03/2019 00:00	158.4	158.9	157.55	157.9	287917	EUR	
19/03/2019 00:00	157.15	159.05	156.8	157.05	299980	EUR	
20/03/2019 00:00	157	159.4	156.9	157.9	333750	EUR	
21/03/2019 00:00	158.7	160.1	158.05	160.1	292210	EUR	
22/03/2019 00:00	160.45	160.55	157.1	157.5	488841	EUR	
25/03/2019 00:00	157.3	158.6	156	158.6	354499	EUR	
26/03/2019 00:00	159	160.1	158.1	159.9	285525	EUR	
27/03/2019 00:00	160	160.15	158.3	159.35	425731	EUR	
28/03/2019 00:00	159.5	160.45	159.1	160	358112	EUR	
29/03/2019 00:00	160.65	161.45	158.6	160	436724	EUR	
01/04/2019 00:00	160	160.7	158.5	158.5	322575	EUR	
02/04/2019 00:00	159.55	161.5	159.35	160.8	343309	EUR	
03/04/2019 00:00	161.55	161.55	158.85	160.4	333872	EUR	
04/04/2019 00:00	160	161.4	159.6	160	350669	EUR	
