date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	24.35	24.49	24.17	24.37	2474652	EUR	
25/09/2018 00:00	24.34	24.54	23.16	23.38	3764642	EUR	
26/09/2018 00:00	23.4	23.77	23.02	23.77	2710503	EUR	
27/09/2018 00:00	23.85	23.99	23.47	23.63	2352008	EUR	
28/09/2018 00:00	23.57	23.61	22.94	23.23	2963458	EUR	
01/10/2018 00:00	23.2	23.23	22.64	22.81	3236777	EUR	
02/10/2018 00:00	22.69	22.73	22.18	22.26	4416608	EUR	
03/10/2018 00:00	22.43	22.51	22.2	22.31	1805213	EUR	
04/10/2018 00:00	22.28	22.48	22.05	22.05	2722867	EUR	
05/10/2018 00:00	22.06	22.1	21.83	21.91	1938479	EUR	
08/10/2018 00:00	21.77	21.85	21.53	21.7	1761155	EUR	
09/10/2018 00:00	21.71	22.04	21.45	21.65	2663632	EUR	
10/10/2018 00:00	21.68	21.68	20.61	20.62	4484651	EUR	
11/10/2018 00:00	20.21	21.16	20.03	20.75	5627661	EUR	
12/10/2018 00:00	21.07	21.38	20.78	21.15	3905179	EUR	
15/10/2018 00:00	21.11	21.32	20.9	21.2	2935315	EUR	
16/10/2018 00:00	21.2	21.84	20.96	21.65	3768647	EUR	
17/10/2018 00:00	21.76	21.82	20.41	20.65	5217111	EUR	
18/10/2018 00:00	20.65	21.09	20.6	20.68	2721052	EUR	
19/10/2018 00:00	20.69	20.69	19.305	20.16	5880226	EUR	
22/10/2018 00:00	20.36	20.63	19.535	19.75	2932595	EUR	
23/10/2018 00:00	19.25	20.1	19.055	20.03	6235014	EUR	
24/10/2018 00:00	20.11	20.18	19.02	19.055	4352848	EUR	
25/10/2018 00:00	19.03	20.75	18.7	20.33	6576372	EUR	
26/10/2018 00:00	20.17	20.64	19.705	20.57	4410398	EUR	
29/10/2018 00:00	20.7	21.77	20.39	20.86	3695579	EUR	
30/10/2018 00:00	20.82	21	20.35	20.7	2874388	EUR	
31/10/2018 00:00	20.85	21.08	20.61	21.03	3320714	EUR	
01/11/2018 00:00	21	21.4	20.7	20.81	2249823	EUR	
02/11/2018 00:00	21.39	21.98	21.06	21.06	2198302	EUR	
05/11/2018 00:00	21.01	21.3	20.83	20.83	1648033	EUR	
06/11/2018 00:00	20.98	21.15	20.81	20.83	1624120	EUR	
07/11/2018 00:00	20.85	21.46	20.85	21.21	2090492	EUR	
08/11/2018 00:00	21.35	21.52	21.02	21.11	2212389	EUR	
09/11/2018 00:00	21	21.22	20.52	20.68	2481705	EUR	
12/11/2018 00:00	20.72	20.9	20.5	20.57	1500371	EUR	
13/11/2018 00:00	20.61	20.92	20.38	20.64	3013344	EUR	
14/11/2018 00:00	20.57	21.37	20.52	20.88	2900954	EUR	
15/11/2018 00:00	20.96	20.96	19.58	19.785	4358352	EUR	
16/11/2018 00:00	20	20.28	19.72	19.82	3284851	EUR	
19/11/2018 00:00	19.815	20.08	19.52	19.755	2749536	EUR	
20/11/2018 00:00	19.515	19.57	19.005	19.365	3006118	EUR	
21/11/2018 00:00	19.52	19.74	19.185	19.51	1898102	EUR	
22/11/2018 00:00	19.45	19.55	19.175	19.3	1468941	EUR	
23/11/2018 00:00	19.21	19.41	19.01	19.3	1827531	EUR	
26/11/2018 00:00	19.39	19.695	19.22	19.28	2239094	EUR	
27/11/2018 00:00	19.27	19.395	18.91	19.235	3299230	EUR	
28/11/2018 00:00	19.4	19.475	19.105	19.325	3406768	EUR	
29/11/2018 00:00	19.46	19.73	19.37	19.47	2164365	EUR	
30/11/2018 00:00	19.51	19.51	19.09	19.4	3577268	EUR	
03/12/2018 00:00	19.95	20.06	19.025	19.22	3346304	EUR	
04/12/2018 00:00	19.03	19.465	19.03	19.33	2512812	EUR	
05/12/2018 00:00	19.205	19.205	18.53	18.665	3403144	EUR	
06/12/2018 00:00	18.38	18.515	17.94	18.11	4390838	EUR	
07/12/2018 00:00	18.185	18.195	17.825	17.915	3359534	EUR	
10/12/2018 00:00	17.795	17.875	17.17	17.2	3796337	EUR	
11/12/2018 00:00	17.375	17.7	17.17	17.425	3492524	EUR	
