date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	49.175	49.634	49.022	49.213	374188	EUR	
25/09/2018 00:00	49.08	49.538	48.793	48.927	538109	EUR	
26/09/2018 00:00	48.736	49.022	48.411	48.87	593687	EUR	
27/09/2018 00:00	48.774	50.035	48.449	49.519	778786	EUR	
28/09/2018 00:00	48.698	49.462	48.048	49.175	1073902	EUR	
01/10/2018 00:00	49.194	50.283	48.927	49.997	681553	EUR	
02/10/2018 00:00	49.653	50.226	49.462	49.92	628865	EUR	
03/10/2018 00:00	49.844	50.188	49.576	49.825	375271	EUR	
04/10/2018 00:00	49.672	50.169	49.596	50.169	687421	EUR	
05/10/2018 00:00	50.245	51.009	49.959	50.761	838359	EUR	
08/10/2018 00:00	50.608	50.99	49.691	50.111	771056	EUR	
09/10/2018 00:00	50.322	50.685	49.863	50.455	669813	EUR	
10/10/2018 00:00	50.379	50.856	48.64	48.755	1180721	EUR	
11/10/2018 00:00	48.239	49.366	47.991	48.87	1130017	EUR	
12/10/2018 00:00	49.443	49.997	49.099	49.29	698321	EUR	
15/10/2018 00:00	49.175	49.576	48.774	49.5	579704	EUR	
16/10/2018 00:00	49.481	51.41	49.233	50.876	1120665	EUR	
17/10/2018 00:00	51.067	51.43	49.691	49.901	923801	EUR	
18/10/2018 00:00	50.627	53.97	50.627	51.773	2015929	EUR	
19/10/2018 00:00	51.831	52.175	50.685	51.773	1010024	EUR	
22/10/2018 00:00	51.506	51.697	51.296	51.563	584906	EUR	
23/10/2018 00:00	51.296	52.175	51.296	51.449	852253	EUR	
24/10/2018 00:00	51.563	51.945	51.258	51.315	824884	EUR	
25/10/2018 00:00	50.436	50.589	48.392	48.755	1808396	EUR	
26/10/2018 00:00	48.717	48.831	47.379	47.972	1078097	EUR	
29/10/2018 00:00	48.373	49.194	47.991	48.373	713764	EUR	
30/10/2018 00:00	48.335	49.233	48.335	48.717	755836	EUR	
31/10/2018 00:00	48.965	49.672	48.889	48.946	1075763	EUR	
01/11/2018 00:00	48.965	49.882	48.908	49.462	500019	EUR	
02/11/2018 00:00	49.939	50.245	49.71	49.92	822557	EUR	
05/11/2018 00:00	49.691	50.016	49.596	49.653	500588	EUR	
06/11/2018 00:00	49.901	50.799	49.634	50.57	801005	EUR	
07/11/2018 00:00	50.876	51.315	50.15	50.493	390611	EUR	
08/11/2018 00:00	50.532	51.105	49.863	49.997	571306	EUR	
09/11/2018 00:00	50.073	50.341	49.5	49.997	467941	EUR	
12/11/2018 00:00	50.245	50.837	49.596	50.264	653943	EUR	
13/11/2018 00:00	50.589	50.723	49.863	50.13	697566	EUR	
14/11/2018 00:00	49.863	50.57	49.481	49.939	669998	EUR	
15/11/2018 00:00	50.188	50.398	49.08	49.863	733239	EUR	
16/11/2018 00:00	49.863	50.78	49.863	50.608	838658	EUR	
19/11/2018 00:00	50.608	51.086	50.417	50.455	615377	EUR	
20/11/2018 00:00	50.092	50.551	49.806	50.073	567549	EUR	
21/11/2018 00:00	50.302	50.589	49.997	50.15	811192	EUR	
22/11/2018 00:00	50.073	50.073	49.366	49.385	471472	EUR	
23/11/2018 00:00	49.443	49.92	49.309	49.481	494474	EUR	
26/11/2018 00:00	49.825	50.226	49.634	50.111	975919	EUR	
27/11/2018 00:00	49.959	50.704	49.959	50.608	483320	EUR	
28/11/2018 00:00	50.589	50.799	50.302	50.627	412355	EUR	
29/11/2018 00:00	50.971	51.468	50.283	50.341	407742	EUR	
30/11/2018 00:00	50.532	50.589	49.882	50.016	914124	EUR	
03/12/2018 00:00	50.322	50.78	49.863	49.997	630543	EUR	
04/12/2018 00:00	49.557	50.035	48.507	48.526	767187	EUR	
05/12/2018 00:00	48.335	48.354	46.95	47.055	946757	EUR	
06/12/2018 00:00	46.921	46.969	45.65	46.462	1031603	EUR	
07/12/2018 00:00	46.825	47.16	46.281	46.281	825364	EUR	
10/12/2018 00:00	46.176	46.396	45.049	46.099	1407161	EUR	
11/12/2018 00:00	47.026	47.599	46.501	46.701	911215	EUR	
12/12/2018 00:00	47.122	47.628	46.31	47.475	1134251	EUR	
13/12/2018 00:00	47.437	47.819	47.016	47.437	648811	EUR	
14/12/2018 00:00	47.379	47.914	46.94	47.742	697693	EUR	
17/12/2018 00:00	47.561	48.163	47.293	47.857	683022	EUR	
18/12/2018 00:00	47.762	47.781	46.978	47.255	1409753	EUR	
19/12/2018 00:00	47.379	48.449	47.341	48.316	770128	EUR	
20/12/2018 00:00	48.468	48.468	47.293	47.484	983701	EUR	
21/12/2018 00:00	47.446	47.819	46.711	47.723	1555835	EUR	
24/12/2018 00:00	46.988	46.988	46.013	46.462	355368	EUR	
27/12/2018 00:00	47.016	47.313	45.631	45.927	809879	EUR	
28/12/2018 00:00	46.052	47.484	46.052	47.045	527186	EUR	
31/12/2018 00:00	46.959	47.838	46.825	47.838	286934	EUR	
02/01/2019 00:00	47.217	47.504	46.539	47.322	705756	EUR	
03/01/2019 00:00	47.16	47.37	46.52	46.52	710392	EUR	
04/01/2019 00:00	46.749	47.58	46.567	47.446	644456	EUR	
07/01/2019 00:00	48.411	48.812	48.124	48.621	731336	EUR	
08/01/2019 00:00	48.831	49.729	48.717	49.309	614267	EUR	
09/01/2019 00:00	49.939	51.334	49.767	50.646	1028729	EUR	
10/01/2019 00:00	50.455	50.57	49.863	50.417	562552	EUR	
11/01/2019 00:00	50.245	50.818	50.207	50.532	578648	EUR	
14/01/2019 00:00	50.379	50.436	49.462	50.226	659287	EUR	
15/01/2019 00:00	50.493	50.818	49.825	50.073	451144	EUR	
16/01/2019 00:00	50.322	50.665	49.978	50.207	651210	EUR	
17/01/2019 00:00	49.863	50.111	49.252	50.035	547520	EUR	
18/01/2019 00:00	50.207	50.99	50.15	50.665	571324	EUR	
21/01/2019 00:00	50.36	51.028	50.264	50.513	460176	EUR	
22/01/2019 00:00	50.513	50.952	50.283	50.856	710729	EUR	
23/01/2019 00:00	50.513	51.544	50.322	50.761	678257	EUR	
24/01/2019 00:00	50.799	51.621	50.78	51.372	755185	EUR	
25/01/2019 00:00	51.697	52.232	51.621	51.926	588236	EUR	
28/01/2019 00:00	51.793	52.022	51.582	51.621	425607	EUR	
29/01/2019 00:00	51.869	51.869	51.028	51.2	726366	EUR	
30/01/2019 00:00	51.219	51.449	50.895	51.105	674603	EUR	
31/01/2019 00:00	51.258	51.468	50.627	50.914	924721	EUR	
01/02/2019 00:00	51.067	51.869	50.99	51.869	573396	EUR	
04/02/2019 00:00	51.716	51.888	51.124	51.678	548536	EUR	
05/02/2019 00:00	51.869	52.996	51.773	52.824	956439	EUR	
06/02/2019 00:00	52.92	53.264	52.194	52.538	868135	EUR	
07/02/2019 00:00	46.615	46.883	44.743	44.743	4934497	EUR	
08/02/2019 00:00	44.896	45.679	44.084	45.163	1672117	EUR	
11/02/2019 00:00	45.354	46.673	45.116	46.596	1280628	EUR	
12/02/2019 00:00	46.73	47.016	45.87	45.975	1088875	EUR	
13/02/2019 00:00	45.994	46.166	45.689	45.765	787049	EUR	
14/02/2019 00:00	45.45	45.861	45.373	45.67	720195	EUR	
15/02/2019 00:00	45.488	46.099	45.431	45.536	705790	EUR	
18/02/2019 00:00	45.545	46.806	45.402	46.644	521865	EUR	
19/02/2019 00:00	46.329	46.816	46.262	46.462	434790	EUR	
20/02/2019 00:00	46.042	46.921	46.042	46.787	713073	EUR	
21/02/2019 00:00	46.797	46.797	45.622	45.975	869010	EUR	
22/02/2019 00:00	46.109	46.243	45.803	45.975	457373	EUR	
25/02/2019 00:00	46.09	46.214	45.66	46.128	382748	EUR	
26/02/2019 00:00	46.119	46.185	45.65	45.822	551330	EUR	
27/02/2019 00:00	45.756	46.023	45.393	45.803	681352	EUR	
28/02/2019 00:00	45.564	46.749	45.564	46.548	957266	EUR	
01/03/2019 00:00	46.682	47.819	46.625	47.532	1174384	EUR	
04/03/2019 00:00	47.666	48.487	47.666	47.953	715634	EUR	
05/03/2019 00:00	48.048	48.144	47.532	47.628	456496	EUR	
06/03/2019 00:00	47.58	48.277	47.57	48.105	517583	EUR	
07/03/2019 00:00	48.239	48.507	47.857	47.991	598395	EUR	
08/03/2019 00:00	47.676	47.838	47.246	47.58	523767	EUR	
11/03/2019 00:00	48.048	48.583	47.914	47.972	523039	EUR	
12/03/2019 00:00	48.239	48.487	47.637	47.637	688971	EUR	
13/03/2019 00:00	47.542	48.22	47.456	48.124	589780	EUR	
14/03/2019 00:00	48.201	48.507	48.048	48.239	510377	EUR	
15/03/2019 00:00	48.468	48.468	47.637	48.105	1398799	EUR	
18/03/2019 00:00	48.067	48.602	47.972	48.201	511612	EUR	
19/03/2019 00:00	48.239	49.099	48.239	48.545	528925	EUR	
20/03/2019 00:00	48.545	49.252	47.991	47.991	531373	EUR	
21/03/2019 00:00	47.991	47.991	47.341	47.618	662922	EUR	
22/03/2019 00:00	48.048	48.048	46.481	46.52	880979	EUR	
25/03/2019 00:00	46.357	46.816	45.603	45.689	669862	EUR	
26/03/2019 00:00	45.889	46.166	45.526	45.526	558231	EUR	
27/03/2019 00:00	45.526	46.147	45.354	45.765	804027	EUR	
28/03/2019 00:00	45.717	45.851	45.039	45.402	658842	EUR	
29/03/2019 00:00	45.584	46.033	45.421	45.593	663115	EUR	
01/04/2019 00:00	46.224	46.224	43.1	43.95	2348510	EUR	
02/04/2019 00:00	43.988	44.772	43.988	44.762	1130627	EUR	
03/04/2019 00:00	44.915	45.163	44.647	44.991	728949	EUR	
04/04/2019 00:00	44.896	45.116	44.638	44.839	738829	EUR	
05/04/2019 00:00	44.972	45.182	44.447	44.447	1150189	EUR	
08/04/2019 00:00	44.399	44.6	43.664	43.778	847410	EUR	
09/04/2019 00:00	43.558	44.351	43.558	44.132	844689	EUR	
10/04/2019 00:00	44.198	44.724	44.103	44.447	753414	EUR	
11/04/2019 00:00	44.38	44.81	43.96	44.695	602735	EUR	
12/04/2019 00:00	44.724	45.354	44.552	45.077	749080	EUR	
15/04/2019 00:00	46.042	47.169	45.373	45.612	1779764	EUR	
16/04/2019 00:00	45.803	47.666	45.803	47.303	1668612	EUR	
17/04/2019 00:00	47.274	48.793	47.207	48.526	1428042	EUR	
18/04/2019 00:00	48.507	49.538	48.029	49.271	1080873	EUR	
23/04/2019 00:00	48.717	49.557	48.717	49.443	1164219	EUR	
24/04/2019 00:00	49.538	49.672	49.213	49.672	875101	EUR	
25/04/2019 00:00	49.939	50.073	48.87	49.042	1027913	EUR	
26/04/2019 00:00	49.271	50.856	49.271	50.856	1402471	EUR	
29/04/2019 00:00	50.742	51.277	50.627	51.143	723484	EUR	
30/04/2019 00:00	51.2	51.372	50.302	50.513	968342	EUR	
02/05/2019 00:00	50.341	51.468	50.207	50.99	962533	EUR	
03/05/2019 00:00	51.124	51.124	50.417	50.493	571279	EUR	
06/05/2019 00:00	49.729	50.379	48.946	50.188	616343	EUR	
07/05/2019 00:00	50.455	50.723	50.111	50.398	754606	EUR	
08/05/2019 00:00	50.169	50.761	49.92	49.939	832749	EUR	
09/05/2019 00:00	49.576	49.729	48.64	48.927	1303207	EUR	
10/05/2019 00:00	49.271	49.939	48.717	48.717	1010316	EUR	
13/05/2019 00:00	48.717	48.812	47.427	47.437	922899	EUR	
14/05/2019 00:00	47.781	48.239	47.532	47.876	537706	EUR	
15/05/2019 00:00	47.819	48.468	47.599	48.449	835919	EUR	
16/05/2019 00:00	48.316	48.545	48.029	48.449	586039	EUR	
17/05/2019 00:00	48.048	48.373	47.781	48.239	530019	EUR	
20/05/2019 00:00	48.067	48.545	47.762	48.067	664884	EUR	
21/05/2019 00:00	48.105	48.526	47.914	48.277	551892	EUR	
22/05/2019 00:00	48.105	48.679	48.105	48.564	461912	EUR	
23/05/2019 00:00	48.201	48.239	47.179	47.427	754323	EUR	
24/05/2019 00:00	47.427	47.781	46.921	47.179	605951	EUR	
27/05/2019 00:00	47.141	47.561	47.093	47.351	239133	EUR	
28/05/2019 00:00	47.437	47.876	46.806	47.876	911884	EUR	
29/05/2019 00:00	47.542	47.542	46.759	46.806	805593	EUR	
30/05/2019 00:00	46.95	47.303	46.93	47.303	428815	EUR	
31/05/2019 00:00	46.806	47.026	46.51	46.711	781679	EUR	
03/06/2019 00:00	46.567	47.141	46.31	46.978	641398	EUR	
