date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	76.3	76.38	75.45	75.57	831066	EUR	
25/09/2018 00:00	75.56	76.34	73.8	74.07	1433807	EUR	
26/09/2018 00:00	74.01	74.41	73.1	74.37	938445	EUR	
27/09/2018 00:00	74.41	74.71	73.47	74.63	730774	EUR	
28/09/2018 00:00	74.28	74.97	73.83	74.5	1129859	EUR	
01/10/2018 00:00	74.63	75.04	73.59	74.32	750604	EUR	
02/10/2018 00:00	73.81	74.71	73.34	74.19	1031471	EUR	
03/10/2018 00:00	74.38	74.69	73.74	73.74	720700	EUR	
04/10/2018 00:00	73.54	73.64	72.28	72.96	1386288	EUR	
05/10/2018 00:00	72.87	73.49	72.02	72.31	1142626	EUR	
08/10/2018 00:00	72.01	72.11	70.96	71.87	724286	EUR	
09/10/2018 00:00	71.84	72.37	71.3	71.59	775623	EUR	
10/10/2018 00:00	71.88	71.88	70.65	71.12	913834	EUR	
11/10/2018 00:00	70.01	71.51	69	70.65	1218592	EUR	
12/10/2018 00:00	71.65	72.27	71.08	71.12	1092743	EUR	
15/10/2018 00:00	70.71	71.69	70.25	71.13	904806	EUR	
16/10/2018 00:00	71.01	72	70.35	71.36	838114	EUR	
17/10/2018 00:00	71.63	71.71	67.94	69.11	2343657	EUR	
18/10/2018 00:00	68.93	70.27	68.83	68.9	1246264	EUR	
19/10/2018 00:00	68.94	69.12	65.45	66.77	2408066	EUR	
22/10/2018 00:00	67.4	68.44	65.44	65.76	1552037	EUR	
23/10/2018 00:00	63.13	65.38	62.27	65.1	2371408	EUR	
24/10/2018 00:00	65.1	65.1	62.83	63.06	1958816	EUR	
25/10/2018 00:00	62.4	64.92	62.2	64.47	1827411	EUR	
26/10/2018 00:00	63.87	64.54	62.85	64.5	1227407	EUR	
29/10/2018 00:00	65.5	68.42	64.1	65.65	1257319	EUR	
30/10/2018 00:00	65.97	66.94	65.27	65.87	1163100	EUR	
31/10/2018 00:00	66.52	67.29	66.07	66.07	1257992	EUR	
