date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	119.95	120.4	119.2	119.5	770486	EUR	
25/09/2018 00:00	119.5	120.85	119.1	120.5	553069	EUR	
26/09/2018 00:00	120.85	121.95	120.3	120.95	850942	EUR	
27/09/2018 00:00	120.8	121.55	120.25	121.5	625242	EUR	
28/09/2018 00:00	121.25	122.25	120.2	120.7	871057	EUR	
01/10/2018 00:00	121	121.15	119.9	120.4	496020	EUR	
02/10/2018 00:00	118	119	117	118.5	1338555	EUR	
03/10/2018 00:00	118.55	119.4	118.5	119	631742	EUR	
04/10/2018 00:00	118.55	119.55	116.05	116.05	1198461	EUR	
05/10/2018 00:00	116.75	117.4	115.95	116.3	992739	EUR	
08/10/2018 00:00	116.25	116.65	113.95	114	938260	EUR	
09/10/2018 00:00	113.95	114.25	111.45	111.95	1203547	EUR	
10/10/2018 00:00	112.55	112.65	109.35	109.35	1495416	EUR	
11/10/2018 00:00	107.15	108.45	105.4	106.5	2060505	EUR	
12/10/2018 00:00	107.25	109.35	107.1	108.8	1579903	EUR	
15/10/2018 00:00	108.25	108.35	106.85	107.5	1201723	EUR	
16/10/2018 00:00	107.6	111.95	107.6	111.95	1303000	EUR	
17/10/2018 00:00	111.5	112.3	109.7	109.95	1154851	EUR	
18/10/2018 00:00	110.25	110.95	108.7	108.75	904388	EUR	
19/10/2018 00:00	109.15	110.05	106.95	107.5	1502155	EUR	
22/10/2018 00:00	107.8	108.8	107.45	108.15	1005406	EUR	
23/10/2018 00:00	106.85	107.2	104.75	105.2	1521772	EUR	
24/10/2018 00:00	109.6	112.05	108.4	109.4	2517841	EUR	
25/10/2018 00:00	108.8	112.1	108.6	110.95	1692498	EUR	
26/10/2018 00:00	110.25	110.25	107.65	109.7	1702621	EUR	
29/10/2018 00:00	109	110.3	107.8	107.85	1099259	EUR	
30/10/2018 00:00	109	110.9	107.6	108.65	1974637	EUR	
31/10/2018 00:00	109.7	114.8	109.4	114.05	2201661	EUR	
01/11/2018 00:00	114.4	115.55	112.85	113.1	1286623	EUR	
02/11/2018 00:00	115.65	117.05	112.55	112.8	1291104	EUR	
05/11/2018 00:00	113.25	113.25	111.1	111.1	678183	EUR	
06/11/2018 00:00	111.6	112	110.5	110.5	786489	EUR	
07/11/2018 00:00	111.9	113.55	111.65	113.4	1244304	EUR	
08/11/2018 00:00	114.3	115.1	113.05	114.35	851501	EUR	
09/11/2018 00:00	114.25	114.5	112	112.45	777207	EUR	
12/11/2018 00:00	113.05	113.3	111.45	111.6	586967	EUR	
13/11/2018 00:00	111.75	113.25	111.6	112.9	625211	EUR	
14/11/2018 00:00	112.4	113.45	110.65	111.2	963916	EUR	
15/11/2018 00:00	111.95	111.95	108.35	109.25	1028726	EUR	
16/11/2018 00:00	110	110.35	108	108.7	1017216	EUR	
19/11/2018 00:00	109.05	109.65	107.65	107.95	860474	EUR	
20/11/2018 00:00	106.9	107.7	105.5	106.9	925438	EUR	
21/11/2018 00:00	107.75	108	106.35	107.55	771371	EUR	
22/11/2018 00:00	107.3	107.45	106.35	106.45	474041	EUR	
23/11/2018 00:00	106.65	109	106.4	108.85	554290	EUR	
26/11/2018 00:00	109.35	110.05	108.1	108.2	611859	EUR	
27/11/2018 00:00	108	109.25	107.6	108.25	689197	EUR	
28/11/2018 00:00	108.8	109.4	106.15	106.15	1093920	EUR	
29/11/2018 00:00	106.15	112.15	104.6	111.5	1704434	EUR	
30/11/2018 00:00	111.65	111.9	109.5	110.35	1513425	EUR	
03/12/2018 00:00	112.55	112.55	110.45	112.15	790972	EUR	
04/12/2018 00:00	112.05	112.7	111.45	111.75	953192	EUR	
05/12/2018 00:00	110.75	110.95	109.05	109.1	669097	EUR	
06/12/2018 00:00	108	108.3	105.85	106	1121908	EUR	
07/12/2018 00:00	106.75	107.75	105.65	105.65	863398	EUR	
10/12/2018 00:00	105.5	105.85	102.55	102.55	1039897	EUR	
11/12/2018 00:00	103.05	105.65	102.45	105.3	1141061	EUR	
12/12/2018 00:00	106.1	109.1	105.6	108.65	1061078	EUR	
13/12/2018 00:00	108.75	109.6	108.1	108.6	709373	EUR	
14/12/2018 00:00	107.6	108.9	107	108.2	706648	EUR	
17/12/2018 00:00	108.2	108.6	106.75	107.6	795058	EUR	
