date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	38.35	38.66	37.645	37.81	2426492	EUR	
25/09/2018 00:00	37.81	37.95	37.285	37.295	2043712	EUR	
26/09/2018 00:00	37.3	37.325	36.695	37.3	1882230	EUR	
27/09/2018 00:00	37.105	37.28	36.9	37.105	1516105	EUR	
28/09/2018 00:00	37.055	37.335	36.85	37.145	1890411	EUR	
01/10/2018 00:00	37.135	37.135	36.33	36.475	2294429	EUR	
02/10/2018 00:00	36.22	36.495	35.975	36.265	1642731	EUR	
03/10/2018 00:00	36.385	36.83	36.33	36.57	1616007	EUR	
04/10/2018 00:00	36.49	36.655	36.07	36.095	2080045	EUR	
05/10/2018 00:00	36.12	36.175	35.18	35.42	2656083	EUR	
08/10/2018 00:00	35.325	35.375	35.095	35.195	1537445	EUR	
09/10/2018 00:00	35.255	35.35	34.06	34.42	4055536	EUR	
10/10/2018 00:00	34.58	34.715	33.895	34.015	2131790	EUR	
11/10/2018 00:00	33.625	33.86	33.29	33.305	2449322	EUR	
12/10/2018 00:00	33.745	33.87	33.325	33.35	1481647	EUR	
15/10/2018 00:00	33.32	33.36	32.955	33.295	1529101	EUR	
16/10/2018 00:00	33.395	34.125	33.29	33.86	2010525	EUR	
17/10/2018 00:00	34.01	34.015	33.27	33.555	1707210	EUR	
18/10/2018 00:00	33.455	33.5	32.255	32.36	3189221	EUR	
19/10/2018 00:00	32.36	32.52	31.745	32.115	2488877	EUR	
22/10/2018 00:00	32.32	32.725	32.145	32.145	1655041	EUR	
23/10/2018 00:00	31.72	31.995	31.5	31.76	2100704	EUR	
24/10/2018 00:00	31.895	31.9	31.025	31.025	2656025	EUR	
25/10/2018 00:00	30.77	31.62	30.525	31.55	2983725	EUR	
26/10/2018 00:00	33.11	33.11	31.625	32.01	3530377	EUR	
29/10/2018 00:00	32.6	33.235	31.925	32.915	2385291	EUR	
30/10/2018 00:00	32.93	33.015	32.365	32.83	2125682	EUR	
31/10/2018 00:00	33.2	33.85	33.1	33.24	2428560	EUR	
01/11/2018 00:00	33.17	33.675	32.875	33.355	1533793	EUR	
02/11/2018 00:00	33.72	33.95	32.84	32.905	2395169	EUR	
05/11/2018 00:00	32.995	33.045	32.36	32.47	2075117	EUR	
06/11/2018 00:00	32.655	32.68	32.13	32.25	1568137	EUR	
07/11/2018 00:00	32.455	33.015	32.43	32.65	2773909	EUR	
08/11/2018 00:00	32.825	33.235	32.18	32.31	2890217	EUR	
09/11/2018 00:00	32.155	32.22	31.64	31.89	1854185	EUR	
12/11/2018 00:00	32	32.11	31.04	31.1	2216458	EUR	
13/11/2018 00:00	31.16	31.815	31.145	31.585	1889096	EUR	
14/11/2018 00:00	31.445	32.245	31.185	31.705	1698981	EUR	
15/11/2018 00:00	32.1	32.14	31.27	31.6	1660492	EUR	
16/11/2018 00:00	31.695	32.125	31.22	31.445	1837393	EUR	
19/11/2018 00:00	31.45	31.955	31.155	31.255	1617515	EUR	
20/11/2018 00:00	31.105	31.175	30.66	30.93	1758171	EUR	
21/11/2018 00:00	31.16	31.315	30.78	31.155	1619824	EUR	
22/11/2018 00:00	31.005	31.365	30.74	31.145	1069094	EUR	
23/11/2018 00:00	31.15	31.955	31.135	31.77	2094141	EUR	
26/11/2018 00:00	32.75	33.61	32.505	33.06	3293737	EUR	
27/11/2018 00:00	33.05	33.215	32.695	33.195	2112903	EUR	
28/11/2018 00:00	33.31	33.335	32.81	32.935	1721894	EUR	
29/11/2018 00:00	33.235	33.39	32.755	32.88	1384889	EUR	
30/11/2018 00:00	32.98	32.98	32.43	32.735	2226668	EUR	
03/12/2018 00:00	33.455	33.575	32.245	32.32	2318901	EUR	
04/12/2018 00:00	32.135	32.29	31.905	32.005	1607964	EUR	
05/12/2018 00:00	31.375	31.45	30.635	31.05	2459976	EUR	
06/12/2018 00:00	30.715	30.72	29.5	29.805	2778046	EUR	
07/12/2018 00:00	30.01	30.33	29.58	29.94	1660510	EUR	
10/12/2018 00:00	29.715	29.76	29.375	29.55	2198100	EUR	
11/12/2018 00:00	29.735	30.595	29.685	30.325	2241032	EUR	
12/12/2018 00:00	30.33	30.755	30.01	30.605	1786526	EUR	
13/12/2018 00:00	30.735	30.99	30.145	30.325	2022343	EUR	
14/12/2018 00:00	30.02	30.02	29.42	29.595	1790942	EUR	
17/12/2018 00:00	29.585	29.755	28.82	29	1912656	EUR	
18/12/2018 00:00	28.775	29.21	28.75	28.785	1790941	EUR	
19/12/2018 00:00	28.8	29.02	28.78	28.885	1697914	EUR	
20/12/2018 00:00	28.495	28.87	28.18	28.485	2363707	EUR	
21/12/2018 00:00	28.38	28.645	28.285	28.6	3339845	EUR	
24/12/2018 00:00	28.405	28.515	28.23	28.38	626855	EUR	
27/12/2018 00:00	28.735	28.825	27.985	28.155	1943279	EUR	
28/12/2018 00:00	28.42	29.095	28.38	29	1548418	EUR	
31/12/2018 00:00	29.155	29.315	29.085	29.165	437315	EUR	
02/01/2019 00:00	28.76	28.865	28.275	28.78	1663639	EUR	
03/01/2019 00:00	28.525	28.955	28.4	28.53	1313288	EUR	
04/01/2019 00:00	28.68	29.445	28.68	29.37	1724252	EUR	
07/01/2019 00:00	29.57	29.595	28.875	29.14	1318347	EUR	
08/01/2019 00:00	29.2	29.98	29.06	29.675	1936520	EUR	
09/01/2019 00:00	29.8	30.165	29.535	29.84	2188409	EUR	
10/01/2019 00:00	30.04	30.045	29.355	29.6	1759987	EUR	
11/01/2019 00:00	29.6	29.78	28.575	28.89	2967231	EUR	
14/01/2019 00:00	28.6	28.8	28.35	28.77	1739225	EUR	
15/01/2019 00:00	29.01	29.265	28.68	28.81	1329726	EUR	
16/01/2019 00:00	28.865	29.1	28.725	29	1468716	EUR	
17/01/2019 00:00	28.875	29.44	28.61	29.295	1869056	EUR	
18/01/2019 00:00	29.68	30.04	29.62	29.91	2044535	EUR	
21/01/2019 00:00	29.94	29.96	29.535	29.73	1285083	EUR	
22/01/2019 00:00	29.765	30.12	29.635	30.12	1721638	EUR	
23/01/2019 00:00	29.945	30.11	29.66	29.71	1659622	EUR	
24/01/2019 00:00	29.74	30.225	29.61	30.19	1431588	EUR	
25/01/2019 00:00	30.265	31.07	30.15	30.96	1954608	EUR	
28/01/2019 00:00	30.795	31.2	30.48	30.89	1397026	EUR	
29/01/2019 00:00	30.835	30.955	30.545	30.615	1192613	EUR	
30/01/2019 00:00	30.52	30.57	30.29	30.525	1162056	EUR	
31/01/2019 00:00	30.58	31.17	29.91	30.12	2561593	EUR	
01/02/2019 00:00	30.23	30.385	29.815	30.18	1314823	EUR	
04/02/2019 00:00	30.1	30.15	29.735	29.795	1373336	EUR	
05/02/2019 00:00	30	31.755	29.82	31.68	4011512	EUR	
06/02/2019 00:00	31.69	31.955	31.425	31.925	2089449	EUR	
07/02/2019 00:00	31.825	32.29	31.375	31.38	2485422	EUR	
08/02/2019 00:00	31.305	31.545	30.69	30.88	2024496	EUR	
11/02/2019 00:00	31.155	31.19	30.85	30.995	1224802	EUR	
12/02/2019 00:00	31.385	31.385	30.865	30.865	1506634	EUR	
13/02/2019 00:00	30.885	31.275	30.865	31.095	1335030	EUR	
14/02/2019 00:00	31.3	31.87	31.3	31.595	2052244	EUR	
15/02/2019 00:00	31.66	32.865	31.5	32.67	2729001	EUR	
18/02/2019 00:00	32.67	32.825	32.455	32.735	1221283	EUR	
