date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	70.06	70.4	69.42	69.68	1545866	EUR	
25/09/2018 00:00	69.58	70.1	69.14	69.46	1116740	EUR	
26/09/2018 00:00	69.5	69.66	68.98	69.62	1003111	EUR	
27/09/2018 00:00	69.28	70.26	69	70.16	924547	EUR	
28/09/2018 00:00	69.9	70.06	69	69.3	1458458	EUR	
01/10/2018 00:00	69.42	69.58	68.86	68.98	950651	EUR	
02/10/2018 00:00	68.46	68.54	67.48	67.7	1632855	EUR	
03/10/2018 00:00	67.92	68.34	67.72	67.98	1090528	EUR	
04/10/2018 00:00	67.6	67.92	67.18	67.5	1314214	EUR	
05/10/2018 00:00	67.4	67.4	66.08	66.18	1242720	EUR	
08/10/2018 00:00	66	66.26	65.26	65.44	1077416	EUR	
09/10/2018 00:00	65.6	65.82	64.46	65.44	1148019	EUR	
10/10/2018 00:00	65.4	65.4	62.66	62.7	2239228	EUR	
11/10/2018 00:00	61.96	62.9	61.22	61.82	2779785	EUR	
12/10/2018 00:00	63.04	63.38	61.88	61.88	1795485	EUR	
15/10/2018 00:00	61.74	62.6	61.36	62.34	1804763	EUR	
16/10/2018 00:00	62.3	63.2	61.78	63.04	1349851	EUR	
17/10/2018 00:00	63.24	63.48	62.58	62.96	1428669	EUR	
18/10/2018 00:00	63	63.1	61.64	61.78	1628299	EUR	
19/10/2018 00:00	61.5	61.72	59.48	60.04	3156884	EUR	
22/10/2018 00:00	60.56	61.1	59.78	59.86	1240473	EUR	
23/10/2018 00:00	58.98	59.48	58.58	59.2	2189969	EUR	
24/10/2018 00:00	59.36	59.48	57.66	57.74	2371607	EUR	
25/10/2018 00:00	59.5	62.66	59.26	62.06	4155587	EUR	
26/10/2018 00:00	61.28	61.42	59.94	61.42	3146779	EUR	
29/10/2018 00:00	62	63.1	61.5	62.18	1835049	EUR	
30/10/2018 00:00	62.18	62.74	61.28	62.5	2433679	EUR	
31/10/2018 00:00	63.36	64.92	63.2	63.96	2959804	EUR	
01/11/2018 00:00	63.88	64.82	63.12	63.86	1478511	EUR	
02/11/2018 00:00	64.8	66.06	64.36	64.84	2265307	EUR	
05/11/2018 00:00	64.78	64.78	63.82	64.04	1491776	EUR	
06/11/2018 00:00	64.26	64.58	63.52	63.9	1389423	EUR	
07/11/2018 00:00	64.14	65.02	64.14	64.82	1546600	EUR	
08/11/2018 00:00	64.96	65.04	64.08	64.6	1451817	EUR	
09/11/2018 00:00	64.3	64.42	63.26	63.88	1759791	EUR	
12/11/2018 00:00	64.32	64.68	62.36	62.78	1634369	EUR	
13/11/2018 00:00	63.1	64.06	62.96	63.76	1509486	EUR	
14/11/2018 00:00	63.36	64.28	62.56	63.54	1618391	EUR	
15/11/2018 00:00	64.18	64.8	63.92	64.36	2637722	EUR	
16/11/2018 00:00	64.56	65.02	63.52	63.96	2083029	EUR	
19/11/2018 00:00	63.9	64.9	63.4	63.4	1578125	EUR	
