date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	34.486	34.787	34.113	34.473	3459745	EUR	
25/09/2018 00:00	34.55	34.942	34.509	34.673	3616815	EUR	
26/09/2018 00:00	34.696	35.01	34.45	34.755	3147446	EUR	
27/09/2018 00:00	34.605	34.646	34.067	34.646	4337174	EUR	
28/09/2018 00:00	34.163	34.263	32.933	33.671	7821638	EUR	
01/10/2018 00:00	33.612	33.799	33.129	33.33	3895895	EUR	
02/10/2018 00:00	33.102	33.562	32.724	33.28	3196227	EUR	
03/10/2018 00:00	33.53	33.739	33.307	33.475	3771283	EUR	
04/10/2018 00:00	33.516	34.113	33.475	33.698	5848724	EUR	
05/10/2018 00:00	33.721	33.721	33.284	33.525	3956606	EUR	
08/10/2018 00:00	33.348	33.389	32.66	33.056	4142119	EUR	
09/10/2018 00:00	33.202	33.352	32.747	33.015	3775537	EUR	
10/10/2018 00:00	33.006	33.844	32.888	33.38	5061645	EUR	
11/10/2018 00:00	33.043	33.33	32.674	32.851	6467706	EUR	
12/10/2018 00:00	33.266	33.33	32.3	32.478	4938108	EUR	
15/10/2018 00:00	32.246	32.337	31.927	32.187	4517632	EUR	
16/10/2018 00:00	32.2	32.46	31.927	32.25	3626851	EUR	
17/10/2018 00:00	32.287	32.46	31.781	32.009	5293178	EUR	
18/10/2018 00:00	31.909	32.314	31.718	31.781	5173705	EUR	
19/10/2018 00:00	31.759	31.8	30.884	31.376	7121145	EUR	
22/10/2018 00:00	31.649	31.854	30.939	31.048	4116517	EUR	
23/10/2018 00:00	30.702	30.88	30.383	30.602	5366442	EUR	
24/10/2018 00:00	30.593	30.593	29.696	29.787	5942128	EUR	
25/10/2018 00:00	29.709	30.219	29.468	29.951	5598659	EUR	
26/10/2018 00:00	29.741	29.8	29.008	29.482	5259754	EUR	
29/10/2018 00:00	29.682	29.964	29.609	29.718	3444462	EUR	
30/10/2018 00:00	29.687	29.714	29.099	29.245	5294406	EUR	
31/10/2018 00:00	29.527	29.819	29.422	29.582	6243173	EUR	
01/11/2018 00:00	29.595	29.955	29.482	29.764	4009454	EUR	
02/11/2018 00:00	30.142	30.57	30.096	30.174	6168430	EUR	
05/11/2018 00:00	30.178	30.397	30.065	30.251	2945705	EUR	
06/11/2018 00:00	30.251	30.32	29.937	30.115	2855571	EUR	
