date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	16.16	16.35	15.97	16.165	2389809	EUR	
25/09/2018 00:00	16.255	16.635	16.195	16.44	3794329	EUR	
26/09/2018 00:00	16.6	16.7	16.075	16.185	3747489	EUR	
27/09/2018 00:00	16.14	16.14	15.715	15.895	3330293	EUR	
28/09/2018 00:00	15.9	16.035	15.55	15.67	2656022	EUR	
01/10/2018 00:00	15.72	16.14	15.72	16.02	2182177	EUR	
02/10/2018 00:00	15.785	16.465	15.42	16.31	3634725	EUR	
03/10/2018 00:00	16.33	16.61	16.305	16.395	2514898	EUR	
04/10/2018 00:00	16.35	16.455	15.89	15.98	2756039	EUR	
05/10/2018 00:00	15.74	15.77	15.08	15.195	4836273	EUR	
08/10/2018 00:00	15.135	15.15	14.69	14.97	2824891	EUR	
09/10/2018 00:00	14.975	15.045	14.35	15	3424561	EUR	
10/10/2018 00:00	14.82	14.835	14.01	14.13	5807291	EUR	
11/10/2018 00:00	13.805	14.905	13.47	14.405	6804699	EUR	
12/10/2018 00:00	14.8	14.85	14.37	14.375	3682071	EUR	
15/10/2018 00:00	14.325	14.415	14.11	14.405	2222909	EUR	
16/10/2018 00:00	14.435	14.835	14.27	14.81	2807118	EUR	
17/10/2018 00:00	15.16	15.645	14.9	14.93	4389727	EUR	
18/10/2018 00:00	14.845	14.885	14.17	14.17	4535566	EUR	
19/10/2018 00:00	14.21	14.475	13.695	13.94	4670493	EUR	
22/10/2018 00:00	14.04	14.16	13.82	13.99	2172137	EUR	
23/10/2018 00:00	13.575	13.61	12.955	13.52	5239547	EUR	
24/10/2018 00:00	12.86	13.63	11.915	12.165	12175237	EUR	
25/10/2018 00:00	11.74	12.655	11.575	12.1	5710868	EUR	
26/10/2018 00:00	12.035	12.22	11.69	12.22	5209764	EUR	
29/10/2018 00:00	12.34	13.04	12.275	12.85	6423451	EUR	
30/10/2018 00:00	12.8	12.985	12.41	12.875	3612142	EUR	
31/10/2018 00:00	13.2	13.63	13.16	13.42	5093074	EUR	
01/11/2018 00:00	13.465	13.83	13.36	13.83	3375183	EUR	
02/11/2018 00:00	13.98	14.395	13.76	13.785	3707740	EUR	
05/11/2018 00:00	13.845	13.89	13.215	13.28	3270461	EUR	
06/11/2018 00:00	13.375	13.575	13.11	13.425	2777183	EUR	
07/11/2018 00:00	13.47	13.58	13.19	13.26	3000272	EUR	
08/11/2018 00:00	13.3	13.425	12.865	13.1	3718733	EUR	
09/11/2018 00:00	12.985	13.19	12.74	12.995	2696299	EUR	
12/11/2018 00:00	13.205	13.3	12.125	12.125	6103690	EUR	
13/11/2018 00:00	12.06	12.61	12.04	12.535	4652075	EUR	
14/11/2018 00:00	12.315	12.66	12.08	12.445	3196608	EUR	
15/11/2018 00:00	12.285	12.43	12.01	12.34	5207260	EUR	
16/11/2018 00:00	12.295	12.39	12	12.195	4140287	EUR	
19/11/2018 00:00	12.26	12.74	12.065	12.21	3681169	EUR	
20/11/2018 00:00	11.925	12.14	11.66	11.975	4792200	EUR	
21/11/2018 00:00	12.13	12.565	12.12	12.545	4171596	EUR	
22/11/2018 00:00	12.415	12.49	12.25	12.375	2105556	EUR	
23/11/2018 00:00	12.425	12.55	12.285	12.43	1828236	EUR	
26/11/2018 00:00	12.595	12.995	12.555	12.775	3033201	EUR	
27/11/2018 00:00	12.725	12.885	12.495	12.745	2676250	EUR	
28/11/2018 00:00	12.735	12.915	12.64	12.675	2260835	EUR	
29/11/2018 00:00	13.005	13.2	12.91	12.97	3317565	EUR	
30/11/2018 00:00	13.005	13.065	12.745	12.93	3569346	EUR	
03/12/2018 00:00	13.63	14.02	13.62	13.71	5663536	EUR	
04/12/2018 00:00	13.42	13.64	13.28	13.325	2663706	EUR	
05/12/2018 00:00	13.045	13.155	12.855	12.88	2877449	EUR	
06/12/2018 00:00	12.55	12.58	12.04	12.11	5585767	EUR	
07/12/2018 00:00	12.29	12.365	11.94	11.965	3825079	EUR	
10/12/2018 00:00	11.7	11.975	11.41	11.645	4294414	EUR	
11/12/2018 00:00	11.845	12.235	11.8	11.995	3976472	EUR	
12/12/2018 00:00	12.11	12.255	11.885	12.24	4491835	EUR	
13/12/2018 00:00	12.32	12.395	12.2	12.235	2616837	EUR	
14/12/2018 00:00	12.08	12.3	11.81	12.23	3279746	EUR	
17/12/2018 00:00	12.175	12.22	11.915	12.095	2695775	EUR	
18/12/2018 00:00	11.84	12.335	11.815	12.11	2924532	EUR	
19/12/2018 00:00	12.02	12.13	11.815	12.03	3972413	EUR	
20/12/2018 00:00	11.68	12	11.6	11.68	3959220	EUR	
21/12/2018 00:00	11.68	12.17	11.62	12.03	5431349	EUR	
24/12/2018 00:00	12.03	12.065	11.805	11.85	507639	EUR	
27/12/2018 00:00	12.12	12.28	11.77	11.87	2928411	EUR	
28/12/2018 00:00	11.97	12.295	11.955	12.235	2221346	EUR	
31/12/2018 00:00	12.32	12.53	12.25	12.485	822584	EUR	
02/01/2019 00:00	12.225	12.225	11.915	12.145	2863004	EUR	
03/01/2019 00:00	11.71	11.775	10.68	10.735	7950656	EUR	
04/01/2019 00:00	10.8	10.965	10.635	10.905	4613105	EUR	
07/01/2019 00:00	11.11	11.375	10.98	11.35	4200577	EUR	
08/01/2019 00:00	11.3	11.795	11.255	11.37	4216346	EUR	
09/01/2019 00:00	11.515	12.105	11.515	12.01	4768308	EUR	
10/01/2019 00:00	11.935	12.23	11.78	12.17	3111928	EUR	
11/01/2019 00:00	12.27	12.305	12.095	12.285	2218439	EUR	
14/01/2019 00:00	12.05	12.3	12.05	12.155	2166565	EUR	
15/01/2019 00:00	12.195	12.54	12.185	12.31	3554103	EUR	
16/01/2019 00:00	12.345	12.55	12.335	12.55	2571425	EUR	
17/01/2019 00:00	12.295	12.345	12.125	12.32	3364808	EUR	
18/01/2019 00:00	12.45	12.875	12.4	12.86	4109079	EUR	
21/01/2019 00:00	12.775	13.02	12.775	12.92	1510350	EUR	
22/01/2019 00:00	12.82	12.94	12.42	12.48	2641236	EUR	
23/01/2019 00:00	12.155	12.55	12.06	12.5	3680133	EUR	
24/01/2019 00:00	12.515	13.89	12.46	13.765	9944412	EUR	
25/01/2019 00:00	13.9	14.38	13.78	14.37	5778408	EUR	
28/01/2019 00:00	14.37	14.42	13.78	14.07	4322305	EUR	
29/01/2019 00:00	13.97	14.05	13.775	13.835	3204108	EUR	
30/01/2019 00:00	14.045	14.28	13.86	13.885	3753856	EUR	
31/01/2019 00:00	14.155	14.16	13.735	13.865	4410044	EUR	
01/02/2019 00:00	13.91	13.965	13.745	13.905	2119468	EUR	
04/02/2019 00:00	13.9	14.07	13.82	13.95	3026643	EUR	
05/02/2019 00:00	13.905	14.025	13.705	13.825	3923494	EUR	
06/02/2019 00:00	13.785	14.565	13.785	14.49	4744220	EUR	
07/02/2019 00:00	14.45	14.535	13.845	13.845	4662433	EUR	
08/02/2019 00:00	13.735	13.835	13.415	13.535	3938941	EUR	
11/02/2019 00:00	13.72	13.965	13.705	13.905	3030062	EUR	
12/02/2019 00:00	14.065	14.76	14.065	14.65	5854084	EUR	
13/02/2019 00:00	14.72	14.875	14.46	14.64	4465992	EUR	
14/02/2019 00:00	14.75	14.75	14.47	14.59	3017914	EUR	
15/02/2019 00:00	14.565	14.785	14.445	14.695	2920971	EUR	
18/02/2019 00:00	14.69	14.74	14.565	14.63	1881393	EUR	
19/02/2019 00:00	14.65	14.78	14.37	14.48	2707642	EUR	
20/02/2019 00:00	14.46	14.7	14.43	14.675	2471877	EUR	
21/02/2019 00:00	14.645	14.79	14.545	14.65	2223959	EUR	
22/02/2019 00:00	14.725	14.925	14.7	14.82	1953906	EUR	
25/02/2019 00:00	14.98	15.415	14.955	15.25	3402749	EUR	
26/02/2019 00:00	15.12	15.27	14.955	15.02	2801826	EUR	
27/02/2019 00:00	14.95	14.965	14.56	14.68	3044772	EUR	
28/02/2019 00:00	14.53	14.57	14.335	14.37	3859539	EUR	
01/03/2019 00:00	14.5	14.81	14.5	14.695	3891389	EUR	
04/03/2019 00:00	14.84	14.96	14.7	14.845	2362248	EUR	
05/03/2019 00:00	14.845	14.865	14.695	14.79	1782910	EUR	
06/03/2019 00:00	14.71	14.73	14.18	14.245	4546062	EUR	
07/03/2019 00:00	14.12	14.22	13.855	13.945	3996061	EUR	
08/03/2019 00:00	13.615	13.98	13.475	13.93	3097077	EUR	
11/03/2019 00:00	14	14.19	13.745	14.15	3062323	EUR	
12/03/2019 00:00	14.295	14.305	13.985	14.085	2374216	EUR	
13/03/2019 00:00	14.005	14.055	13.935	13.97	2071765	EUR	
14/03/2019 00:00	13.92	14.07	13.8	13.925	2727796	EUR	
15/03/2019 00:00	14.03	14.665	14.02	14.62	7392046	EUR	
18/03/2019 00:00	14.635	14.635	14.17	14.25	2824696	EUR	
19/03/2019 00:00	14.28	14.45	14.17	14.4	2045357	EUR	
20/03/2019 00:00	14.385	14.57	14.215	14.225	2813218	EUR	
21/03/2019 00:00	14.355	14.89	14.245	14.85	3790222	EUR	
22/03/2019 00:00	14.985	15.18	14.505	14.53	3086225	EUR	
25/03/2019 00:00	14.385	14.43	13.93	13.97	3474307	EUR	
26/03/2019 00:00	14.05	14.17	13.935	14.13	2903638	EUR	
27/03/2019 00:00	14.185	14.195	13.145	13.195	7438990	EUR	
28/03/2019 00:00	13.19	13.27	12.715	12.73	6261424	EUR	
29/03/2019 00:00	12.89	13.165	12.825	13.165	4099180	EUR	
01/04/2019 00:00	13.36	13.795	13.3	13.73	5078867	EUR	
02/04/2019 00:00	13.785	14.155	13.7	14.105	4744811	EUR	
03/04/2019 00:00	14.295	15.03	14.27	14.905	8562453	EUR	
04/04/2019 00:00	14.815	15.18	14.775	15.135	4035600	EUR	
05/04/2019 00:00	15.18	15.62	15.165	15.56	4723947	EUR	
08/04/2019 00:00	15.5	15.655	15.43	15.645	2489450	EUR	
09/04/2019 00:00	15.565	15.995	15.45	15.505	3883869	EUR	
10/04/2019 00:00	15.51	15.795	15.36	15.6	3994363	EUR	
11/04/2019 00:00	15.54	15.815	15.46	15.7	2894629	EUR	
12/04/2019 00:00	15.62	16.055	15.555	16.055	3661424	EUR	
15/04/2019 00:00	16.1	16.195	15.79	15.865	3022662	EUR	
16/04/2019 00:00	15.91	16.245	15.75	16.205	2824279	EUR	
17/04/2019 00:00	16.28	16.67	16.275	16.485	4315666	EUR	
18/04/2019 00:00	16.485	16.705	16.225	16.605	3853316	EUR	
23/04/2019 00:00	16.565	16.585	15.98	16.02	5178539	EUR	
24/04/2019 00:00	15.96	16.845	15.93	16.84	6240484	EUR	
25/04/2019 00:00	16.81	16.97	16.36	16.56	3902250	EUR	
26/04/2019 00:00	16.38	16.46	16.02	16.215	3543081	EUR	
29/04/2019 00:00	16.28	16.405	16.045	16.155	2841793	EUR	
30/04/2019 00:00	16.16	16.405	16.125	16.375	3326821	EUR	
02/05/2019 00:00	16.46	16.605	16.275	16.395	2337923	EUR	
03/05/2019 00:00	16.385	16.46	16.29	16.425	1617709	EUR	
06/05/2019 00:00	15.89	15.925	15.555	15.615	5281451	EUR	
07/05/2019 00:00	15.7	15.84	15.265	15.335	4041880	EUR	
08/05/2019 00:00	15.285	15.585	15.105	15.56	4323349	EUR	
09/05/2019 00:00	15.255	15.255	14.66	14.78	3903342	EUR	
10/05/2019 00:00	15.025	15.255	14.835	14.915	3591661	EUR	
13/05/2019 00:00	14.8	14.845	13.99	14.17	5716610	EUR	
14/05/2019 00:00	14.23	15.14	14.205	15.09	8050160	EUR	
15/05/2019 00:00	15.505	15.695	14.845	15.635	5627358	EUR	
16/05/2019 00:00	15.49	15.84	15.175	15.765	4385340	EUR	
17/05/2019 00:00	15.68	15.765	15.385	15.585	3541566	EUR	
20/05/2019 00:00	15.34	15.355	13.99	14.17	8129451	EUR	
21/05/2019 00:00	14.27	14.795	14.15	14.76	4987101	EUR	
22/05/2019 00:00	14.8	14.87	14.43	14.555	2678087	EUR	
23/05/2019 00:00	14.27	14.33	13.695	13.73	4990479	EUR	
24/05/2019 00:00	13.88	14.06	13.575	13.66	4185216	EUR	
27/05/2019 00:00	13.795	13.93	13.56	13.705	1886995	EUR	
28/05/2019 00:00	13.705	13.9	13.52	13.54	5031238	EUR	
29/05/2019 00:00	13.4	13.715	13.13	13.495	4065910	EUR	
30/05/2019 00:00	13.645	13.705	13.405	13.585	1887906	EUR	
31/05/2019 00:00	13.39	13.705	13.21	13.695	3665658	EUR	
03/06/2019 00:00	13.49	13.77	13.375	13.745	3326436	EUR	
04/06/2019 00:00	13.52	14.17	13.37	14.13	3462414	EUR	
05/06/2019 00:00	14.205	14.33	13.85	13.995	2573849	EUR	
06/06/2019 00:00	13.995	14.17	13.71	13.805	3566662	EUR	
07/06/2019 00:00	13.92	14.31	13.885	14.125	3115458	EUR	
10/06/2019 00:00	14.46	14.565	14.275	14.475	2478238	EUR	
11/06/2019 00:00	14.475	15.015	14.455	14.795	3462357	EUR	
12/06/2019 00:00	14.655	14.76	14.5	14.545	2346239	EUR	
13/06/2019 00:00	14.445	14.62	14.315	14.61	2337367	EUR	
14/06/2019 00:00	14.285	14.285	13.94	14.14	3584201	EUR	
17/06/2019 00:00	14.15	14.285	14.04	14.065	1531712	EUR	
18/06/2019 00:00	13.95	14.555	13.615	14.495	5072924	EUR	
19/06/2019 00:00	14.635	14.975	14.635	14.815	3699998	EUR	
20/06/2019 00:00	14.935	15.4	14.935	15.17	3397946	EUR	
21/06/2019 00:00	15.13	15.13	14.89	14.98	4534306	EUR	
24/06/2019 00:00	14.95	15.175	14.82	14.985	1878606	EUR	
25/06/2019 00:00	14.895	15.115	14.875	14.875	1969311	EUR	
26/06/2019 00:00	14.9	15.395	14.89	15.15	3393430	EUR	
27/06/2019 00:00	15.3	15.51	15.215	15.39	2586242	EUR	
28/06/2019 00:00	15.475	15.705	15.44	15.6	2754482	EUR	
01/07/2019 00:00	16.405	16.61	16.225	16.24	6218489	EUR	
02/07/2019 00:00	16.315	16.36	16.04	16.11	3236387	EUR	
03/07/2019 00:00	16.015	16.1	15.875	16	2173449	EUR	
04/07/2019 00:00	16.13	16.2	16.075	16.115	1225296	EUR	
05/07/2019 00:00	16.09	16.095	15.685	15.72	2433150	EUR	
08/07/2019 00:00	15.635	15.895	15.525	15.645	2820495	EUR	
09/07/2019 00:00	15.635	15.66	15.33	15.52	2225891	EUR	
10/07/2019 00:00	15.54	15.98	15.51	15.71	2083974	EUR	
11/07/2019 00:00	15.85	15.99	15.645	15.66	2133017	EUR	
12/07/2019 00:00	15.635	15.85	15.545	15.825	1815270	EUR	
15/07/2019 00:00	15.94	16.005	15.735	15.735	2502438	EUR	
16/07/2019 00:00	15.735	15.905	15.64	15.885	2977545	EUR	
17/07/2019 00:00	15.84	16.03	15.765	15.91	2162245	EUR	
18/07/2019 00:00	15.785	16.05	15.61	15.955	2160265	EUR	
19/07/2019 00:00	16.105	16.41	16.035	16.315	3208446	EUR	
22/07/2019 00:00	16.315	16.665	16.315	16.665	3042557	EUR	
23/07/2019 00:00	16.98	17.23	16.935	16.995	3763229	EUR	
24/07/2019 00:00	17.265	17.62	17.265	17.6	5181852	EUR	
25/07/2019 00:00	17.4	17.555	16.895	17.08	5692261	EUR	
26/07/2019 00:00	17.265	17.58	17.175	17.41	3571220	EUR	
29/07/2019 00:00	17.155	17.24	16.92	17.1	1814488	EUR	
30/07/2019 00:00	17.185	17.2	16.615	16.695	2864187	EUR	
31/07/2019 00:00	16.72	17.125	16.665	16.715	2633005	EUR	
01/08/2019 00:00	16.475	16.92	16.195	16.92	2502041	EUR	
02/08/2019 00:00	16.1	16.24	15.735	15.81	5618589	EUR	
05/08/2019 00:00	15.5	15.52	15	15.13	4262799	EUR	
06/08/2019 00:00	15.185	15.35	15.02	15.02	3196540	EUR	
07/08/2019 00:00	15.18	15.42	14.965	15.09	2546326	EUR	
08/08/2019 00:00	15.445	15.705	15.255	15.705	2617971	EUR	
09/08/2019 00:00	15.92	15.98	15.605	15.7	3356467	EUR	
12/08/2019 00:00	15.84	15.955	15.575	15.72	2307038	EUR	
13/08/2019 00:00	15.615	16.325	15.39	16.19	4140742	EUR	
14/08/2019 00:00	16.24	16.26	15.415	15.475	2951131	EUR	
15/08/2019 00:00	15.61	15.74	15.1	15.53	2926461	EUR	
16/08/2019 00:00	15.67	15.83	15.585	15.81	2149208	EUR	
19/08/2019 00:00	16	16.32	15.86	16.285	2274881	EUR	
20/08/2019 00:00	16.21	16.545	16.115	16.285	2407213	EUR	
21/08/2019 00:00	16.365	16.63	16.345	16.47	1560269	EUR	
22/08/2019 00:00	16.35	16.51	16.205	16.36	1545701	EUR	
23/08/2019 00:00	16.495	16.515	15.6	15.6	3529834	EUR	
26/08/2019 00:00	15.45	15.775	15.29	15.77	2360376	EUR	
27/08/2019 00:00	15.745	15.945	15.58	15.78	2127119	EUR	
28/08/2019 00:00	15.71	15.72	15.425	15.62	1979963	EUR	
29/08/2019 00:00	15.575	16.12	15.54	16.12	2682738	EUR	
30/08/2019 00:00	16.05	16.34	16.015	16.125	2328337	EUR	
02/09/2019 00:00	16.115	16.25	15.895	16.055	1018028	EUR	
03/09/2019 00:00	15.915	16.055	15.76	15.835	1994854	EUR	
04/09/2019 00:00	16.025	16.455	15.96	16.31	2362161	EUR	
05/09/2019 00:00	16.5	17.335	16.495	17.325	4068336	EUR	
06/09/2019 00:00	17.3	17.53	17.22	17.42	2231399	EUR	
09/09/2019 00:00	17.455	17.645	17.385	17.645	2383052	EUR	
10/09/2019 00:00	17.57	17.745	17.38	17.425	3204927	EUR	
11/09/2019 00:00	17.595	18.115	17.51	18.08	4070353	EUR	
12/09/2019 00:00	18.27	18.435	17.9	18.185	3827776	EUR	
13/09/2019 00:00	18.17	18.435	18.09	18.26	2174780	EUR	
16/09/2019 00:00	17.95	18.115	17.755	18.025	2541129	EUR	
17/09/2019 00:00	18.015	18.065	17.68	17.8	2549949	EUR	
18/09/2019 00:00	17.88	18.37	17.8	18.095	2526685	EUR	
19/09/2019 00:00	18.015	18.285	17.945	18.155	1473980	EUR	
20/09/2019 00:00	18.095	18.14	17.73	17.73	4327342	EUR	
23/09/2019 00:00	17.67	17.68	17.29	17.635	2524686	EUR	
24/09/2019 00:00	17.69	17.79	17.5	17.55	1545361	EUR	
