date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	26.48	27.25	26.45	26.81	1594076	EUR	
25/09/2018 00:00	26.99	27.98	26.99	27.83	2125866	EUR	
26/09/2018 00:00	27.8	27.84	27.44	27.57	949897	EUR	
27/09/2018 00:00	27.56	27.74	26.82	27.12	1187064	EUR	
28/09/2018 00:00	26.94	27.29	26.62	27.1	1276531	EUR	
01/10/2018 00:00	27.24	27.72	26.73	26.85	1367158	EUR	
02/10/2018 00:00	27	27.2	26.63	26.89	1282834	EUR	
03/10/2018 00:00	27	27	26.59	26.78	905835	EUR	
04/10/2018 00:00	26.96	27.25	26.52	27.05	1485915	EUR	
05/10/2018 00:00	26.6	26.78	25.97	26.31	1652975	EUR	
08/10/2018 00:00	25.96	26.04	25.39	25.71	1643480	EUR	
09/10/2018 00:00	26.2	26.77	26.13	26.69	1383716	EUR	
10/10/2018 00:00	26.79	27.14	26.47	26.54	2092985	EUR	
11/10/2018 00:00	26.05	26.37	25.62	25.85	2274141	EUR	
12/10/2018 00:00	26.27	26.53	25.76	26.16	1702278	EUR	
15/10/2018 00:00	26.08	26.51	25.95	26.03	1367685	EUR	
16/10/2018 00:00	26	26.33	25.9	26.24	1320298	EUR	
17/10/2018 00:00	26.52	26.68	25.76	25.98	1242678	EUR	
18/10/2018 00:00	25.8	26.09	25.55	25.74	1378680	EUR	
19/10/2018 00:00	25.94	26.35	25.49	25.91	1752611	EUR	
22/10/2018 00:00	25.54	25.66	25.01	25.17	1690807	EUR	
23/10/2018 00:00	24.92	24.92	23.95	24.07	2194591	EUR	
24/10/2018 00:00	24.43	25.11	24.24	24.53	1825221	EUR	
25/10/2018 00:00	24.32	25.45	23.94	24.48	2319084	EUR	
26/10/2018 00:00	23.7	23.7	22.04	23.19	3894257	EUR	
29/10/2018 00:00	23.7	23.77	23.01	23.01	1447154	EUR	
30/10/2018 00:00	23.1	23.34	22.3	22.75	1351358	EUR	
31/10/2018 00:00	23.2	23.9	23.18	23.56	2102248	EUR	
01/11/2018 00:00	23.2	23.56	22.92	23.14	1497407	EUR	
02/11/2018 00:00	23.42	23.87	23.06	23.11	1287617	EUR	
05/11/2018 00:00	23.21	23.57	23.02	23.24	799633	EUR	
06/11/2018 00:00	23.38	23.39	23.05	23.09	859818	EUR	
07/11/2018 00:00	23.42	23.91	22.81	22.85	1471425	EUR	
08/11/2018 00:00	23.29	23.34	22.94	23.17	1584427	EUR	
09/11/2018 00:00	22.92	22.92	22.01	22.29	2165320	EUR	
12/11/2018 00:00	22.85	23.19	22.22	22.22	1278738	EUR	
13/11/2018 00:00	22.07	22.15	21.27	21.59	1909964	EUR	
14/11/2018 00:00	21.01	21.56	20.56	21.13	2385970	EUR	
15/11/2018 00:00	21.28	21.48	20.83	21.25	1529330	EUR	
16/11/2018 00:00	21.39	21.98	20.87	21.03	1250143	EUR	
19/11/2018 00:00	20.99	21.14	20.55	21	1605113	EUR	
20/11/2018 00:00	20.9	21.07	20.3	20.52	1904176	EUR	
21/11/2018 00:00	20.77	20.84	20.39	20.7	1215693	EUR	
22/11/2018 00:00	20.71	20.73	20.24	20.42	665389	EUR	
23/11/2018 00:00	20.38	20.61	19.46	19.85	1908952	EUR	
26/11/2018 00:00	20.24	21.05	20.2	20.89	1235880	EUR	
27/11/2018 00:00	20.68	21.06	20.58	20.99	1281511	EUR	
28/11/2018 00:00	20.63	20.86	20.26	20.47	1327528	EUR	
29/11/2018 00:00	20.54	21.12	20.45	20.83	1089546	EUR	
30/11/2018 00:00	20.93	20.97	20.37	20.48	1244762	EUR	
03/12/2018 00:00	21.23	21.97	21.19	21.32	1704080	EUR	
04/12/2018 00:00	21.3	21.64	20.96	21.04	1222055	EUR	
05/12/2018 00:00	20.61	20.61	20.31	20.31	1335723	EUR	
06/12/2018 00:00	20.05	20.07	18.785	19.155	3526464	EUR	
07/12/2018 00:00	18.915	20	18.545	19.135	3111274	EUR	
10/12/2018 00:00	18.6	18.815	18.195	18.26	2115693	EUR	
11/12/2018 00:00	18.3	18.99	18.275	18.67	1504058	EUR	
12/12/2018 00:00	18.29	18.98	18.25	18.905	2313549	EUR	
13/12/2018 00:00	18.55	19.46	18.06	18.605	2551057	EUR	
14/12/2018 00:00	18.865	18.955	18.315	18.385	2041000	EUR	
17/12/2018 00:00	17.92	17.975	17.285	17.57	3343812	EUR	
