date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	121.25	121.75	119.2	119.6	269507	EUR	
25/09/2018 00:00	119.8	120.15	119.5	119.55	239045	EUR	
26/09/2018 00:00	120.6	121.9	120.25	121.75	233247	EUR	
27/09/2018 00:00	121.7	122.95	121.45	122.6	167631	EUR	
28/09/2018 00:00	122.65	123.2	121.9	122.35	328763	EUR	
01/10/2018 00:00	122.5	123.8	122.4	122.4	261107	EUR	
02/10/2018 00:00	122	122.15	120.5	120.5	304023	EUR	
03/10/2018 00:00	121.35	121.5	116.6	120.8	244392	EUR	
04/10/2018 00:00	120.8	121.1	117.85	118.05	363786	EUR	
05/10/2018 00:00	118.2	119.2	117.1	117.55	249352	EUR	
08/10/2018 00:00	117.25	118.25	116.95	117.7	280181	EUR	
09/10/2018 00:00	118.05	119.2	115.5	116.85	462118	EUR	
10/10/2018 00:00	117.15	117.15	111.85	111.85	524021	EUR	
11/10/2018 00:00	110.5	111.9	108	110.15	578081	EUR	
12/10/2018 00:00	111.05	111.3	109.8	109.8	310288	EUR	
15/10/2018 00:00	110.25	110.35	107.85	108	309184	EUR	
16/10/2018 00:00	108.05	112.35	107.95	112.35	412398	EUR	
17/10/2018 00:00	113.35	115.7	113.3	114.7	703279	EUR	
18/10/2018 00:00	115.15	117.95	111	116.45	527256	EUR	
19/10/2018 00:00	116.15	116.75	114.55	116.25	427417	EUR	
22/10/2018 00:00	116.1	117.25	115.1	115.35	305510	EUR	
23/10/2018 00:00	114	114.4	112.4	112.95	326645	EUR	
24/10/2018 00:00	113.5	116.65	113	115.7	399132	EUR	
25/10/2018 00:00	115	118.55	114.5	118.4	387759	EUR	
26/10/2018 00:00	117.5	117.55	112.95	114.9	464933	EUR	
29/10/2018 00:00	110.5	115	110.5	111.05	449135	EUR	
30/10/2018 00:00	110.95	111.15	108.15	109.5	418013	EUR	
31/10/2018 00:00	110.65	114.25	110.65	113	501549	EUR	
01/11/2018 00:00	112.6	113.5	112.35	113	278685	EUR	
02/11/2018 00:00	114.25	115.5	113.95	114.3	286126	EUR	
05/11/2018 00:00	114.4	114.4	112.25	112.8	186265	EUR	
06/11/2018 00:00	113.5	115.25	112.25	114.7	323848	EUR	
07/11/2018 00:00	115.4	116	114.25	114.35	301086	EUR	
08/11/2018 00:00	114.65	116.25	114.2	114.2	293082	EUR	
09/11/2018 00:00	114.05	114.2	111.55	113.6	252590	EUR	
12/11/2018 00:00	114	115.15	112.95	113.6	221464	EUR	
13/11/2018 00:00	113.8	115.2	113.75	114.75	193666	EUR	
