date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	52.985	53.707	52.985	53.505	7152283	EUR	
25/09/2018 00:00	53.856	54.45	53.68	54.187	8508116	EUR	
26/09/2018 00:00	54.158	54.333	53.709	54.031	7590868	EUR	
27/09/2018 00:00	53.992	54.752	53.973	54.606	7022117	EUR	
28/09/2018 00:00	54.372	54.772	53.846	54.431	6955166	EUR	
01/10/2018 00:00	54.694	55.055	54.587	54.947	4921744	EUR	
02/10/2018 00:00	54.957	55.249	54.557	54.782	5343518	EUR	
03/10/2018 00:00	54.84	55.074	54.587	54.879	4893261	EUR	
04/10/2018 00:00	54.772	55.386	54.655	54.655	5525773	EUR	
05/10/2018 00:00	54.45	54.752	53.739	53.739	5887280	EUR	
08/10/2018 00:00	53.534	53.758	52.54	52.686	5321457	EUR	
09/10/2018 00:00	53.076	53.514	52.891	53.446	5954483	EUR	
10/10/2018 00:00	53.817	54.84	53.368	53.709	7272537	EUR	
11/10/2018 00:00	52.549	52.998	51.867	51.867	10347827	EUR	
12/10/2018 00:00	52.549	52.705	51.594	51.594	6526793	EUR	
15/10/2018 00:00	51.662	52.549	51.614	52.198	5977540	EUR	
16/10/2018 00:00	52.237	52.598	51.263	52.462	5476766	EUR	
17/10/2018 00:00	52.637	52.657	51.721	52.111	5275792	EUR	
18/10/2018 00:00	52.15	52.491	51.467	51.467	4970040	EUR	
19/10/2018 00:00	51.809	52.208	51.448	51.497	8268753	EUR	
22/10/2018 00:00	51.887	51.916	50.707	50.766	4011731	EUR	
23/10/2018 00:00	50.571	50.844	49.537	49.771	6430286	EUR	
24/10/2018 00:00	49.518	50.356	49.274	49.362	6429232	EUR	
25/10/2018 00:00	48.758	50.376	47.968	50.112	7803443	EUR	
26/10/2018 00:00	50.317	50.337	47.895	49.352	8815216	EUR	
29/10/2018 00:00	49.957	50.424	49.352	49.693	3792488	EUR	
30/10/2018 00:00	49.771	50.2	49.011	49.459	5955985	EUR	
31/10/2018 00:00	49.918	50.824	49.918	50.649	9783123	EUR	
01/11/2018 00:00	50.2	50.327	49.06	49.362	8021728	EUR	
02/11/2018 00:00	49.752	49.937	48.923	48.982	5469329	EUR	
05/11/2018 00:00	49.069	50.444	48.933	50.103	5548223	EUR	
06/11/2018 00:00	50.122	50.122	49.547	49.596	5667540	EUR	
07/11/2018 00:00	49.791	50.892	49.654	50.424	6820186	EUR	
08/11/2018 00:00	50.688	50.766	49.976	50.132	5199783	EUR	
09/11/2018 00:00	49.528	49.752	48.855	49.216	6844848	EUR	
