date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	172.9	174.02	172.58	173.98	478972	EUR	
25/09/2018 00:00	174.5	174.72	173.3	174.12	298192	EUR	
26/09/2018 00:00	174.76	177.5	174.06	177	372211	EUR	
27/09/2018 00:00	176.2	177.2	175.34	176.2	254602	EUR	
28/09/2018 00:00	175.84	176.04	173.22	173.22	404606	EUR	
01/10/2018 00:00	174	174.26	172.78	172.78	324476	EUR	
02/10/2018 00:00	172.26	172.26	169.46	169.64	455349	EUR	
03/10/2018 00:00	170.14	171.54	169.8	170.62	271924	EUR	
04/10/2018 00:00	169.2	169.28	164.18	164.18	712700	EUR	
05/10/2018 00:00	164.04	165.74	163.18	163.58	547640	EUR	
08/10/2018 00:00	162.96	164.46	162.54	163.1	356228	EUR	
09/10/2018 00:00	163.82	165.54	162.62	165.16	389600	EUR	
10/10/2018 00:00	165.3	165.74	163.4	163.4	399506	EUR	
11/10/2018 00:00	163.76	163.76	160.62	161.22	533847	EUR	
12/10/2018 00:00	161.72	161.76	156.8	156.8	539745	EUR	
15/10/2018 00:00	156.58	157.1	155.26	155.3	356028	EUR	
16/10/2018 00:00	155.74	159.44	155.32	158.64	390360	EUR	
17/10/2018 00:00	158	161.98	157.78	161.96	510137	EUR	
18/10/2018 00:00	161.4	163.36	160.48	160.48	349414	EUR	
19/10/2018 00:00	161.3	162.8	160.5	161.3	505968	EUR	
22/10/2018 00:00	163.5	163.5	159.2	159.72	375422	EUR	
23/10/2018 00:00	158.34	160.06	157.8	158.92	406729	EUR	
24/10/2018 00:00	159.2	160.28	157.58	157.58	375336	EUR	
25/10/2018 00:00	159.8	160.86	158.68	160.46	351770	EUR	
26/10/2018 00:00	157	159.56	155.22	156.84	528296	EUR	
29/10/2018 00:00	158.4	159.28	157.14	158.06	401507	EUR	
30/10/2018 00:00	158.64	161.06	157.84	160.4	411071	EUR	
31/10/2018 00:00	161.3	162	159.08	160.28	604316	EUR	
01/11/2018 00:00	158.8	160.64	157.7	160.46	210490	EUR	
02/11/2018 00:00	159.78	162.18	159.6	159.6	317049	EUR	
05/11/2018 00:00	159	159.5	157.6	158.06	357282	EUR	
06/11/2018 00:00	159.14	159.24	157.38	158.8	291925	EUR	
07/11/2018 00:00	158.9	161.34	158.78	159.9	278189	EUR	
08/11/2018 00:00	159.08	160.56	157.92	159.66	244092	EUR	
09/11/2018 00:00	160.9	161.88	159.52	161.8	342871	EUR	
12/11/2018 00:00	162.48	162.48	159.08	159.5	329030	EUR	
13/11/2018 00:00	160.24	161.68	160.04	161.02	279858	EUR	
14/11/2018 00:00	159.68	162	159.1	159.98	377497	EUR	
15/11/2018 00:00	160.5	162.28	157.8	158.48	340279	EUR	
16/11/2018 00:00	158.76	159.7	155	157.22	579842	EUR	
19/11/2018 00:00	157.5	158.82	155.08	155.66	361268	EUR	
20/11/2018 00:00	155.18	155.4	153.02	153.96	410840	EUR	
21/11/2018 00:00	155	157.02	153.62	156.52	418382	EUR	
22/11/2018 00:00	155.8	156.86	154.58	155.16	296391	EUR	
23/11/2018 00:00	155.9	157.32	154.92	157	279925	EUR	
26/11/2018 00:00	158.82	160.42	157.26	157.5	335281	EUR	
27/11/2018 00:00	158.02	160.48	157.46	158.96	425215	EUR	
28/11/2018 00:00	159.98	160.52	157.2	157.64	364730	EUR	
29/11/2018 00:00	158.82	159.32	153.22	154.66	481419	EUR	
30/11/2018 00:00	154.36	154.36	149.08	151.84	843093	EUR	
03/12/2018 00:00	153.8	154.36	149.18	149.6	620120	EUR	
04/12/2018 00:00	149.22	149.76	147.58	147.74	536602	EUR	
05/12/2018 00:00	147.02	148.84	145.34	146.76	430805	EUR	
06/12/2018 00:00	145.72	146.04	141.68	142.9	839278	EUR	
07/12/2018 00:00	143.76	145.94	143.58	144.74	554947	EUR	
10/12/2018 00:00	144.9	145.48	142.5	143.08	536321	EUR	
11/12/2018 00:00	142.36	144.4	141.54	143.22	567964	EUR	
12/12/2018 00:00	144.8	148.04	144.56	147.32	627753	EUR	
13/12/2018 00:00	147.9	148.04	145.04	146.14	634660	EUR	
14/12/2018 00:00	143.96	145.34	142.7	144.62	517687	EUR	
17/12/2018 00:00	144	144.74	142.56	142.56	445157	EUR	
18/12/2018 00:00	139.98	140.58	139.1	139.4	792460	EUR	
19/12/2018 00:00	139.94	141	138.74	140.4	811200	EUR	
20/12/2018 00:00	138	138.72	136.34	137.54	1018834	EUR	
21/12/2018 00:00	134.98	137.9	131.1	137.9	1786060	EUR	
24/12/2018 00:00	137	137.44	134.54	134.54	223255	EUR	
27/12/2018 00:00	136.56	136.96	131.44	132.4	585255	EUR	
28/12/2018 00:00	133	134.06	131.42	133.26	520989	EUR	
31/12/2018 00:00	133.74	135.82	133.18	135.4	178981	EUR	
02/01/2019 00:00	133.14	133.34	130.18	132.62	531727	EUR	
03/01/2019 00:00	132.7	134.32	131.94	133.3	482099	EUR	
04/01/2019 00:00	135.34	139.14	135.1	138.12	674713	EUR	
07/01/2019 00:00	138.9	139.04	136.44	137.32	482279	EUR	
08/01/2019 00:00	137.92	143.56	137.78	141.66	836377	EUR	
09/01/2019 00:00	141.76	144.1	140.14	143.34	686952	EUR	
10/01/2019 00:00	142.4	144.02	142.4	143.28	518565	EUR	
11/01/2019 00:00	142.78	144.02	142.68	143.8	693493	EUR	
14/01/2019 00:00	142.42	144.66	142.18	143.88	520415	EUR	
15/01/2019 00:00	144.38	145.02	141.8	142.4	461103	EUR	
16/01/2019 00:00	143.98	145.5	143.64	145.46	415633	EUR	
17/01/2019 00:00	144.14	146.86	143.74	146.3	473516	EUR	
18/01/2019 00:00	147.16	151.5	147.1	150.24	668792	EUR	
21/01/2019 00:00	151	151	148.62	149.26	314455	EUR	
22/01/2019 00:00	148.54	150.04	148.18	148.5	414995	EUR	
23/01/2019 00:00	148	149.8	147.86	149.1	409635	EUR	
24/01/2019 00:00	148.66	150.78	147.96	150.24	369858	EUR	
25/01/2019 00:00	148.84	152.74	147.76	152.66	501949	EUR	
28/01/2019 00:00	152	154.46	151.64	154.1	355080	EUR	
29/01/2019 00:00	153.46	157.32	153.12	156.06	555748	EUR	
30/01/2019 00:00	155.64	157.98	155.36	157.98	471551	EUR	
31/01/2019 00:00	155	157.48	151.6	157.16	654845	EUR	
01/02/2019 00:00	157	158.16	155.5	157.02	455553	EUR	
04/02/2019 00:00	157.1	157.64	155.46	155.86	416583	EUR	
05/02/2019 00:00	155.66	156.16	153.68	154.2	686358	EUR	
06/02/2019 00:00	154.12	154.32	152.24	152.48	526388	EUR	
07/02/2019 00:00	152.08	153.46	151.64	152.06	451093	EUR	
08/02/2019 00:00	152.36	153.72	151.16	152.18	636296	EUR	
11/02/2019 00:00	153.3	155.48	153.3	154.36	328228	EUR	
12/02/2019 00:00	155.66	156.06	153.88	153.88	334400	EUR	
13/02/2019 00:00	152.66	153.6	150.58	151.58	546285	EUR	
14/02/2019 00:00	140	148.6	139.98	143.42	1080107	EUR	
15/02/2019 00:00	143	145.42	141.96	145.12	805024	EUR	
18/02/2019 00:00	145.12	145.4	144.66	145.12	304886	EUR	
19/02/2019 00:00	145	145.72	143.3	143.54	589671	EUR	
20/02/2019 00:00	143.8	145.08	142.68	143.82	504131	EUR	
21/02/2019 00:00	144.5	144.92	143.72	143.78	379390	EUR	
22/02/2019 00:00	142.5	143.62	141.76	142.42	384625	EUR	
25/02/2019 00:00	142.4	143.94	142.14	142.84	310981	EUR	
26/02/2019 00:00	143.1	144.22	142.1	143.34	353971	EUR	
27/02/2019 00:00	143.92	144.16	142.58	143.76	456704	EUR	
28/02/2019 00:00	142.8	143.36	141.06	142	659233	EUR	
01/03/2019 00:00	142.22	143.56	141.7	141.8	443603	EUR	
04/03/2019 00:00	142.8	143.74	142.5	143.74	491498	EUR	
05/03/2019 00:00	143.74	144.4	143.02	144.28	356355	EUR	
06/03/2019 00:00	144.3	145	143.4	143.72	301657	EUR	
07/03/2019 00:00	144.5	145.78	143.38	144.32	373227	EUR	
08/03/2019 00:00	144.86	148.02	143.66	146.64	479336	EUR	
11/03/2019 00:00	147.54	147.54	145.38	146	384312	EUR	
12/03/2019 00:00	146.5	147.56	144.62	144.64	453758	EUR	
13/03/2019 00:00	144	145.62	143.7	145.5	461695	EUR	
14/03/2019 00:00	145.4	149	144.92	148.5	448156	EUR	
15/03/2019 00:00	147.6	149.4	146.94	149.34	1590448	EUR	
18/03/2019 00:00	149.5	150.86	148.9	149.9	378008	EUR	
19/03/2019 00:00	150	150.98	149.06	150.04	406628	EUR	
20/03/2019 00:00	150.44	151.72	149.38	149.38	477001	EUR	
