date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	17.515	17.555	17.37	17.385	1329303	EUR	
25/09/2018 00:00	17.35	17.445	17.105	17.115	1703053	EUR	
26/09/2018 00:00	17.11	17.275	17.045	17.21	2125513	EUR	
27/09/2018 00:00	17.145	17.34	17.095	17.34	1953310	EUR	
28/09/2018 00:00	17.24	17.265	17.025	17.19	2430336	EUR	
01/10/2018 00:00	17.2	17.35	17.16	17.245	1870126	EUR	
02/10/2018 00:00	17.22	17.475	17.175	17.445	2466946	EUR	
03/10/2018 00:00	17.445	17.51	17.265	17.285	1669134	EUR	
04/10/2018 00:00	17.165	17.21	16.915	17.115	2417879	EUR	
05/10/2018 00:00	17.38	17.38	17	17.165	1846411	EUR	
08/10/2018 00:00	17.105	17.245	17.01	17.045	1480574	EUR	
09/10/2018 00:00	17.05	17.44	16.995	17.39	2153887	EUR	
10/10/2018 00:00	17.34	17.445	17.235	17.27	2041715	EUR	
11/10/2018 00:00	17.11	17.185	16.7	16.705	3526651	EUR	
12/10/2018 00:00	16.83	16.835	16.575	16.59	2471034	EUR	
15/10/2018 00:00	16.6	16.65	16.42	16.615	2503211	EUR	
16/10/2018 00:00	16.665	16.99	16.665	16.94	2097040	EUR	
17/10/2018 00:00	16.975	17.055	16.8	16.885	2303450	EUR	
18/10/2018 00:00	16.92	17.115	16.77	16.78	1796456	EUR	
19/10/2018 00:00	16.785	16.935	16.66	16.855	2838060	EUR	
22/10/2018 00:00	16.945	17.295	16.9	16.94	1649911	EUR	
23/10/2018 00:00	16.8	17.015	16.73	16.87	1594106	EUR	
24/10/2018 00:00	16.935	17.025	16.68	16.7	1684991	EUR	
25/10/2018 00:00	16.635	17.15	16.63	17.15	2097343	EUR	
26/10/2018 00:00	17.045	17.195	16.845	17.05	1828461	EUR	
29/10/2018 00:00	16.92	17.13	16.92	17.055	1297794	EUR	
30/10/2018 00:00	17.15	17.815	17.15	17.78	3323322	EUR	
31/10/2018 00:00	17.84	17.92	17.485	17.62	2391853	EUR	
01/11/2018 00:00	17.625	17.9	17.54	17.61	1381354	EUR	
02/11/2018 00:00	18.1	18.195	17.55	17.565	2414581	EUR	
05/11/2018 00:00	17.59	17.865	17.585	17.865	1963166	EUR	
06/11/2018 00:00	17.88	17.995	17.665	17.95	2041245	EUR	
07/11/2018 00:00	18.275	18.495	18.12	18.455	3277596	EUR	
08/11/2018 00:00	18.5	18.73	18.435	18.495	1747180	EUR	
09/11/2018 00:00	18.45	18.99	18.385	18.89	2858888	EUR	
12/11/2018 00:00	18.875	18.89	18.425	18.575	2255862	EUR	
13/11/2018 00:00	18.58	18.705	18.42	18.645	1620366	EUR	
14/11/2018 00:00	18.645	18.865	18.41	18.58	2304892	EUR	
15/11/2018 00:00	18.6	18.75	18.185	18.39	3094989	EUR	
16/11/2018 00:00	18.41	18.555	18.305	18.495	2279586	EUR	
19/11/2018 00:00	18.54	18.695	18.47	18.47	1267785	EUR	
20/11/2018 00:00	18.475	18.68	18.38	18.545	2159283	EUR	
21/11/2018 00:00	18.665	18.805	18.435	18.785	2096961	EUR	
22/11/2018 00:00	18.665	18.675	18.41	18.41	1284694	EUR	
23/11/2018 00:00	18.425	18.67	18.385	18.61	1242758	EUR	
26/11/2018 00:00	18.665	18.995	18.61	18.77	1477641	EUR	
27/11/2018 00:00	18.72	18.96	18.67	18.96	1506374	EUR	
28/11/2018 00:00	18.895	19.12	18.895	18.995	1411478	EUR	
29/11/2018 00:00	19.045	19.055	18.69	18.74	1440134	EUR	
30/11/2018 00:00	18.76	18.835	18.555	18.775	1715402	EUR	
03/12/2018 00:00	18.9	19.17	18.745	18.79	1787716	EUR	
04/12/2018 00:00	18.82	18.91	18.71	18.76	1562287	EUR	
05/12/2018 00:00	18.63	18.685	18.365	18.54	2059834	EUR	
06/12/2018 00:00	18.425	18.485	17.915	18.01	2948843	EUR	
07/12/2018 00:00	18.065	18.255	18	18.005	2034366	EUR	
10/12/2018 00:00	17.905	18.01	17.565	17.595	2102991	EUR	
11/12/2018 00:00	17.775	18.29	17.665	18.045	2800835	EUR	
12/12/2018 00:00	18.145	18.455	18.105	18.4	1934080	EUR	
13/12/2018 00:00	18.29	18.64	18.2	18.6	1663781	EUR	
14/12/2018 00:00	18.555	18.57	18.32	18.515	1919615	EUR	
17/12/2018 00:00	18.37	18.81	18.36	18.56	2054602	EUR	
18/12/2018 00:00	18.55	18.55	18.18	18.195	2300478	EUR	
19/12/2018 00:00	18.165	18.595	18.15	18.39	2112921	EUR	
20/12/2018 00:00	18.155	18.425	18.035	18.27	2461992	EUR	
21/12/2018 00:00	18.27	18.32	18.04	18.095	6290811	EUR	
24/12/2018 00:00	18.115	18.23	17.99	17.99	648053	EUR	
27/12/2018 00:00	17.99	18.115	17.4	17.495	2360691	EUR	
28/12/2018 00:00	17.605	17.875	17.525	17.77	1124696	EUR	
31/12/2018 00:00	17.845	17.955	17.79	17.955	429970	EUR	
02/01/2019 00:00	17.805	17.83	17.51	17.8	1950308	EUR	
03/01/2019 00:00	17.725	17.97	17.675	17.675	1403293	EUR	
04/01/2019 00:00	17.715	17.96	17.64	17.875	1422245	EUR	
07/01/2019 00:00	17.97	17.98	17.695	17.77	1626392	EUR	
08/01/2019 00:00	17.755	18.17	17.665	17.965	2756798	EUR	
09/01/2019 00:00	18.08	18.165	17.94	18.1	1519737	EUR	
10/01/2019 00:00	17.975	18.27	17.975	18.25	1464645	EUR	
11/01/2019 00:00	17.99	18.07	17.67	17.72	2078409	EUR	
14/01/2019 00:00	17.56	17.72	17.5	17.715	1299919	EUR	
15/01/2019 00:00	17.85	17.96	17.7	17.805	1427628	EUR	
16/01/2019 00:00	17.805	18.025	17.755	17.985	1469166	EUR	
17/01/2019 00:00	17.955	18.015	17.835	17.99	914088	EUR	
18/01/2019 00:00	18.09	18.4	17.96	18.335	2007427	EUR	
21/01/2019 00:00	18.305	18.35	18.055	18.17	1528309	EUR	
22/01/2019 00:00	18.145	18.27	18.03	18.085	964453	EUR	
23/01/2019 00:00	18.025	18.235	18	18.1	1418813	EUR	
24/01/2019 00:00	18.075	18.215	18.04	18.175	1900267	EUR	
25/01/2019 00:00	18.27	18.43	18.055	18.065	1359193	EUR	
28/01/2019 00:00	17.9	18.055	17.87	18.01	993025	EUR	
29/01/2019 00:00	18.04	18.28	18.04	18.235	1172819	EUR	
30/01/2019 00:00	18.175	18.275	18.11	18.155	1390140	EUR	
31/01/2019 00:00	18.115	18.44	18.075	18.42	2150814	EUR	
01/02/2019 00:00	18.65	18.685	18.255	18.635	2096046	EUR	
04/02/2019 00:00	18.615	18.615	18.225	18.31	1358037	EUR	
05/02/2019 00:00	18.345	18.66	18.265	18.66	2043638	EUR	
06/02/2019 00:00	18.58	18.7	18.395	18.4	2082539	EUR	
07/02/2019 00:00	18.35	18.97	18.315	18.82	3278720	EUR	
08/02/2019 00:00	18.795	18.795	18.535	18.565	1771087	EUR	
11/02/2019 00:00	18.635	18.89	18.62	18.815	1525471	EUR	
12/02/2019 00:00	18.93	18.975	18.76	18.85	1264266	EUR	
13/02/2019 00:00	18.815	18.99	18.695	18.905	1801905	EUR	
14/02/2019 00:00	18.975	19.19	18.8	18.85	1678436	EUR	
15/02/2019 00:00	18.89	19.125	18.72	19.09	1797496	EUR	
18/02/2019 00:00	19.09	19.235	18.97	19.155	1580726	EUR	
19/02/2019 00:00	19.2	19.345	19.08	19.3	1889736	EUR	
20/02/2019 00:00	19.3	19.46	19.26	19.42	1464131	EUR	
21/02/2019 00:00	19.6	20.08	19.37	19.755	3542913	EUR	
22/02/2019 00:00	19.75	19.8	19.55	19.605	1618143	EUR	
25/02/2019 00:00	19.615	19.875	19.585	19.8	2145255	EUR	
26/02/2019 00:00	19.795	19.97	19.705	19.91	2043037	EUR	
27/02/2019 00:00	19.9	19.915	19.34	19.39	2782687	EUR	
28/02/2019 00:00	19.31	19.37	19.16	19.3	2404648	EUR	
01/03/2019 00:00	19.495	19.54	19.355	19.36	1570699	EUR	
04/03/2019 00:00	19.2	19.525	19.2	19.44	1308349	EUR	
05/03/2019 00:00	19.425	19.57	19.29	19.465	1651559	EUR	
06/03/2019 00:00	19.475	19.54	19.375	19.52	1405220	EUR	
07/03/2019 00:00	19.51	19.715	19.4	19.695	1486194	EUR	
08/03/2019 00:00	19.61	19.825	19.61	19.69	2196792	EUR	
11/03/2019 00:00	19.755	19.87	19.62	19.81	1238372	EUR	
12/03/2019 00:00	19.89	20	19.72	19.93	1554706	EUR	
