date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	82.5	82.8	81.54	81.56	1163129	EUR	
25/09/2018 00:00	81.5	82.4	81.5	82.16	868280	EUR	
26/09/2018 00:00	82.28	82.44	82.02	82.2	1183192	EUR	
27/09/2018 00:00	81.78	82.56	81.24	82.4	917591	EUR	
28/09/2018 00:00	82.02	82.14	81.16	82.02	1194769	EUR	
01/10/2018 00:00	82.36	82.52	81.82	82	680417	EUR	
02/10/2018 00:00	81.48	81.74	81.06	81.24	872782	EUR	
03/10/2018 00:00	81.36	82.06	81.22	81.5	900728	EUR	
04/10/2018 00:00	81.12	81.64	80.9	80.96	981821	EUR	
05/10/2018 00:00	80.9	81.36	80.66	80.84	916974	EUR	
08/10/2018 00:00	80.5	80.76	80.1	80.2	936621	EUR	
09/10/2018 00:00	80.3	80.34	78.92	79.54	1081010	EUR	
10/10/2018 00:00	79.84	79.84	78.9	78.9	1421893	EUR	
11/10/2018 00:00	78.12	78.42	77.12	77.56	1916660	EUR	
12/10/2018 00:00	78.02	78.16	76.94	77.04	1605852	EUR	
15/10/2018 00:00	77.04	77.36	76.78	77.14	1293892	EUR	
16/10/2018 00:00	77.16	78.82	77.02	78.72	1123878	EUR	
17/10/2018 00:00	78.82	79.1	78.1	78.44	1097920	EUR	
18/10/2018 00:00	78.34	78.98	77.66	78.04	1027251	EUR	
19/10/2018 00:00	78.04	78.22	77.16	77.64	2131234	EUR	
22/10/2018 00:00	77.96	78.42	76.72	76.72	1195131	EUR	
23/10/2018 00:00	75.5	76.08	74.06	74.46	2077496	EUR	
24/10/2018 00:00	76.68	79.62	76.32	77.22	2675790	EUR	
25/10/2018 00:00	77.1	78.6	76.58	78.34	1566604	EUR	
26/10/2018 00:00	77.68	77.68	75.96	77.44	1995350	EUR	
29/10/2018 00:00	75.12	78.22	75	77.88	998384	EUR	
30/10/2018 00:00	78.02	78.72	77.74	78.54	1722387	EUR	
31/10/2018 00:00	78.98	79.7	78.46	78.88	1858222	EUR	
01/11/2018 00:00	78.92	79.62	78.54	78.68	919318	EUR	
02/11/2018 00:00	79.6	79.7	77.88	77.94	1117261	EUR	
05/11/2018 00:00	78.12	78.64	77.78	78.34	752338	EUR	
06/11/2018 00:00	78.04	78.16	77.04	77.44	819529	EUR	
07/11/2018 00:00	77.88	79.5	77.88	79.32	1034589	EUR	
08/11/2018 00:00	79.28	79.54	78.38	78.56	779907	EUR	
09/11/2018 00:00	78.16	79.44	78.16	78.84	1010969	EUR	
12/11/2018 00:00	79.08	79.24	77.96	78.02	777119	EUR	
13/11/2018 00:00	78.38	78.94	77.64	78.2	953896	EUR	
14/11/2018 00:00	77.84	79.36	77.16	78.22	1044117	EUR	
15/11/2018 00:00	78.84	79.36	77.22	77.38	1161162	EUR	
16/11/2018 00:00	77.6	78.24	76.16	77.1	1179890	EUR	
19/11/2018 00:00	77.66	78.64	76.76	76.8	956508	EUR	
20/11/2018 00:00	76.7	76.94	75.6	76.38	1125240	EUR	
21/11/2018 00:00	76.66	77.28	76.12	77.02	1134360	EUR	
22/11/2018 00:00	76.76	77.12	76.28	76.62	791656	EUR	
23/11/2018 00:00	76.68	77.5	76.1	76.86	780809	EUR	
26/11/2018 00:00	77.26	78.58	77.18	78.54	1319495	EUR	
27/11/2018 00:00	78.38	78.96	77.82	78.16	1068490	EUR	
28/11/2018 00:00	78.74	79.3	77.94	77.96	1107078	EUR	
29/11/2018 00:00	78.46	78.86	77.46	77.58	985253	EUR	
30/11/2018 00:00	77.96	77.96	76.74	77.1	1646434	EUR	
03/12/2018 00:00	78.32	78.34	74.64	75.4	2086704	EUR	
04/12/2018 00:00	76.14	76.74	75.52	76.66	1464955	EUR	
05/12/2018 00:00	76.04	76.14	74.66	74.66	1289965	EUR	
06/12/2018 00:00	73.58	73.78	70.98	70.98	2541701	EUR	
07/12/2018 00:00	71.24	73.46	71.24	72.68	1821018	EUR	
10/12/2018 00:00	72.54	72.78	71.4	71.66	1679373	EUR	
11/12/2018 00:00	72.2	73.88	72.1	73.7	1809049	EUR	
12/12/2018 00:00	73.38	75.14	72.86	74.78	1722988	EUR	
13/12/2018 00:00	75.46	75.6	74.36	74.5	1166551	EUR	
14/12/2018 00:00	73.72	73.92	73.02	73.52	1260594	EUR	
17/12/2018 00:00	73.28	73.7	72.36	72.36	1184866	EUR	
18/12/2018 00:00	72.38	72.5	71.34	71.34	1495296	EUR	
19/12/2018 00:00	71.46	72	71.24	71.6	1237664	EUR	
20/12/2018 00:00	70.76	71.72	70	71.42	1544190	EUR	
21/12/2018 00:00	71	71.68	70.58	71.42	2393620	EUR	
24/12/2018 00:00	71.1	71.12	70.5	70.5	222408	EUR	
27/12/2018 00:00	70.1	71.68	69.98	70.64	1321250	EUR	
28/12/2018 00:00	71	72.34	71	71.96	936902	EUR	
31/12/2018 00:00	72.68	73	71.84	72.02	402143	EUR	
02/01/2019 00:00	71.26	71.8	70.2	71.44	1064299	EUR	
03/01/2019 00:00	71	71.92	70.74	71.2	1133551	EUR	
04/01/2019 00:00	71.74	72.78	71.08	72.58	1223908	EUR	
07/01/2019 00:00	73.06	73.5	71.98	72.22	824256	EUR	
08/01/2019 00:00	72.26	73.3	72.04	73.14	1218739	EUR	
09/01/2019 00:00	73.5	73.84	72.46	72.9	1264200	EUR	
10/01/2019 00:00	72.58	73.18	72.3	73.08	961147	EUR	
11/01/2019 00:00	73.26	73.38	72.54	72.98	884837	EUR	
14/01/2019 00:00	72.9	73.38	72.68	73.04	841454	EUR	
15/01/2019 00:00	73.6	74.2	72.82	73.46	1249642	EUR	
16/01/2019 00:00	73.88	73.9	73.4	73.82	1059971	EUR	
17/01/2019 00:00	73.7	74.74	73.14	74.38	1115701	EUR	
18/01/2019 00:00	74.96	75.96	74.7	75.42	1535257	EUR	
21/01/2019 00:00	75.3	75.38	74.44	74.74	659603	EUR	
22/01/2019 00:00	74.68	74.9	74.5	74.64	842548	EUR	
23/01/2019 00:00	74.4	75.1	73.16	74.84	1089614	EUR	
24/01/2019 00:00	74.8	75.6	74.52	75.6	1025929	EUR	
25/01/2019 00:00	76.14	76.84	76.1	76.84	1201619	EUR	
28/01/2019 00:00	77.1	77.34	76.4	76.4	992373	EUR	
29/01/2019 00:00	76.5	77.34	76.46	76.88	1016724	EUR	
30/01/2019 00:00	76.86	77.28	76.44	76.98	1138960	EUR	
31/01/2019 00:00	77.18	77.48	76.58	76.88	1191791	EUR	
01/02/2019 00:00	77	77.32	76.36	77.24	1016839	EUR	
04/02/2019 00:00	76.94	77	76.4	76.76	1012317	EUR	
05/02/2019 00:00	77.28	78.06	76.88	78.02	1272691	EUR	
06/02/2019 00:00	78	78.72	77.4	77.52	1151634	EUR	
07/02/2019 00:00	77.28	78.02	76.84	76.84	1322479	EUR	
08/02/2019 00:00	76.84	77.78	76	76.2	1479425	EUR	
11/02/2019 00:00	76.88	77.44	76.62	76.84	1195187	EUR	
12/02/2019 00:00	77.5	78.74	77.32	78.12	1398586	EUR	
13/02/2019 00:00	78.16	79.06	77.82	78.84	1282520	EUR	
14/02/2019 00:00	79.44	79.7	78.86	79.1	1084311	EUR	
15/02/2019 00:00	79.2	80.52	78.64	80.52	1343474	EUR	
18/02/2019 00:00	80.02	80.54	79.68	80.46	722366	EUR	
19/02/2019 00:00	80.4	80.76	79.92	80.28	978979	EUR	
20/02/2019 00:00	80.56	81.04	80.36	81.04	927837	EUR	
21/02/2019 00:00	81.04	82.06	80.96	82.06	1134011	EUR	
22/02/2019 00:00	82	82.56	81.62	82.36	976340	EUR	
25/02/2019 00:00	82.26	82.28	81.84	82.16	846144	EUR	
26/02/2019 00:00	81.82	82.96	81.7	82.96	915954	EUR	
27/02/2019 00:00	82.64	83.12	82.36	82.74	931353	EUR	
28/02/2019 00:00	82.32	83.92	82.26	83.92	1586308	EUR	
01/03/2019 00:00	83.52	84	83.16	83.16	1397608	EUR	
04/03/2019 00:00	83.38	83.86	83.24	83.52	807752	EUR	
05/03/2019 00:00	83.52	83.92	83.34	83.78	939390	EUR	
06/03/2019 00:00	83.54	84.22	83.22	83.68	1032481	EUR	
07/03/2019 00:00	83.88	84.46	83.04	84.02	1146166	EUR	
08/03/2019 00:00	84.48	84.72	83.66	84.36	1348049	EUR	
11/03/2019 00:00	84.62	84.94	84.04	84.82	809933	EUR	
12/03/2019 00:00	84.72	84.98	83.96	84.04	1040762	EUR	
13/03/2019 00:00	83.64	84.26	83.02	84	1122118	EUR	
14/03/2019 00:00	84.02	85.82	84.02	85.82	1517301	EUR	
15/03/2019 00:00	85.2	87.4	85.2	86.28	3738839	EUR	
18/03/2019 00:00	86.1	86.96	85.42	86.76	1136237	EUR	
19/03/2019 00:00	86.46	86.62	85.88	85.88	1256930	EUR	
20/03/2019 00:00	85.78	86.6	85.2	85.84	1392860	EUR	
21/03/2019 00:00	85.68	86.74	85.68	86.08	980519	EUR	
22/03/2019 00:00	86.08	86.2	84.68	84.84	1710972	EUR	
25/03/2019 00:00	84.24	84.92	83.28	84.88	1269249	EUR	
26/03/2019 00:00	84.76	86.24	84.06	86.04	1351660	EUR	
27/03/2019 00:00	86.4	86.58	85.54	86.24	1038771	EUR	
28/03/2019 00:00	86.46	86.68	85.32	85.56	898523	EUR	
29/03/2019 00:00	85.66	86.72	85.46	86.72	1086686	EUR	
01/04/2019 00:00	87	87.64	86.64	87.5	1322021	EUR	
02/04/2019 00:00	87.9	88	87.38	88	1163930	EUR	
03/04/2019 00:00	88.5	89.36	88.5	89.36	1157972	EUR	
04/04/2019 00:00	88.84	89.34	88.58	88.86	1047598	EUR	
05/04/2019 00:00	88.78	89.3	88.54	89.3	1116124	EUR	
08/04/2019 00:00	89	89.28	88.48	88.82	885391	EUR	
09/04/2019 00:00	88.84	89.28	88	88	1208536	EUR	
10/04/2019 00:00	88.36	89.48	88.24	89.44	1432781	EUR	
11/04/2019 00:00	89.36	89.5	88.84	89.5	1110866	EUR	
12/04/2019 00:00	89.08	89.66	88.92	89.66	830234	EUR	
15/04/2019 00:00	89.4	89.58	89.08	89.3	848161	EUR	
16/04/2019 00:00	89.5	89.8	89.14	89.8	1045349	EUR	
17/04/2019 00:00	89.58	89.72	88.7	89.68	1159331	EUR	
18/04/2019 00:00	89.8	90	89.02	89.36	1931601	EUR	
23/04/2019 00:00	88.18	88.3	87.58	88.3	1305599	EUR	
24/04/2019 00:00	89.3	90.14	88.68	89.9	1603446	EUR	
25/04/2019 00:00	89.8	90.14	88.48	88.7	1354179	EUR	
26/04/2019 00:00	88.8	89.58	88.24	89.32	1189868	EUR	
29/04/2019 00:00	88.62	89.54	88.62	89.2	847286	EUR	
30/04/2019 00:00	89.02	90.02	88.68	90.02	1466003	EUR	
02/05/2019 00:00	89.6	89.82	89.02	89.18	1399906	EUR	
03/05/2019 00:00	88.8	88.92	88.14	88.38	903869	EUR	
06/05/2019 00:00	87.18	87.82	85.62	87.54	1036860	EUR	
07/05/2019 00:00	87.46	87.92	86.5	86.62	1283092	EUR	
08/05/2019 00:00	86.44	87.12	86.24	86.64	1067158	EUR	
09/05/2019 00:00	85.94	86.24	85.2	85.22	1176942	EUR	
10/05/2019 00:00	85.5	86.68	85.22	85.84	1275108	EUR	
13/05/2019 00:00	86	86.18	84.48	85.08	1055621	EUR	
14/05/2019 00:00	85.7	87.6	85.58	87	1531475	EUR	
15/05/2019 00:00	87.3	88.38	86.6	88.38	1406611	EUR	
16/05/2019 00:00	88.34	89.2	87.96	89.2	1079592	EUR	
17/05/2019 00:00	89.26	89.88	88.94	89.48	1371948	EUR	
20/05/2019 00:00	89.08	89.5	88.14	88.92	984146	EUR	
21/05/2019 00:00	89.38	89.84	88.92	89.4	984575	EUR	
22/05/2019 00:00	89.16	89.44	88.36	89.42	750034	EUR	
23/05/2019 00:00	88.4	88.68	87.52	88.42	1066184	EUR	
24/05/2019 00:00	88.5	90.18	88.5	90.04	1299418	EUR	
27/05/2019 00:00	90	90.48	89.74	90.44	575435	EUR	
28/05/2019 00:00	90.32	90.44	89.3	89.6	1302647	EUR	
29/05/2019 00:00	88.7	88.86	87.88	88.08	1084888	EUR	
30/05/2019 00:00	88.48	88.88	88.24	88.82	577223	EUR	
31/05/2019 00:00	88.12	88.5	87.48	88.46	1118960	EUR	
03/06/2019 00:00	87.9	88.94	87.42	88.94	1039572	EUR	
04/06/2019 00:00	88.1	89.52	88	89.24	1082279	EUR	
05/06/2019 00:00	89.56	89.88	88.86	89.32	905530	EUR	
06/06/2019 00:00	89.42	90.26	88.86	89.14	979978	EUR	
07/06/2019 00:00	89.1	90.58	89.1	90.28	916607	EUR	
10/06/2019 00:00	90.3	90.84	90.2	90.54	473432	EUR	
11/06/2019 00:00	90.24	90.88	90.24	90.66	815719	EUR	
12/06/2019 00:00	90.02	90.64	90	90.16	933024	EUR	
13/06/2019 00:00	89.92	90.1	89.34	89.58	1171210	EUR	
