date	ouv	haut	bas	clot	vol	devise	
24/09/2018 00:00	22.11	22.48	22.11	22.26	3486385	EUR	
25/09/2018 00:00	22.21	22.36	22.16	22.21	2165416	EUR	
26/09/2018 00:00	22.18	22.53	22.17	22.53	3443572	EUR	
27/09/2018 00:00	22.55	22.62	22.39	22.5	2746069	EUR	
28/09/2018 00:00	22.18	22.3	21.96	22.17	3563611	EUR	
01/10/2018 00:00	22.15	22.41	22.14	22.15	1974877	EUR	
02/10/2018 00:00	22	22	21.61	21.8	3866387	EUR	
03/10/2018 00:00	21.84	22.1	21.79	22.04	2012481	EUR	
04/10/2018 00:00	21.96	22.05	21.89	21.95	2459886	EUR	
05/10/2018 00:00	21.95	22	21.89	21.92	2498190	EUR	
08/10/2018 00:00	21.78	21.8	21.57	21.62	3510593	EUR	
09/10/2018 00:00	21.72	21.72	21.5	21.63	2625882	EUR	
10/10/2018 00:00	21.67	21.67	21.5	21.5	2834526	EUR	
11/10/2018 00:00	21.45	21.55	21.4	21.45	7099226	EUR	
12/10/2018 00:00	21.62	21.64	21.45	21.45	3113825	EUR	
15/10/2018 00:00	21.45	21.53	21.4	21.49	3141143	EUR	
16/10/2018 00:00	21.5	22.02	21.48	21.99	3520769	EUR	
17/10/2018 00:00	22	22.17	21.7	21.85	2841958	EUR	
18/10/2018 00:00	21.85	22.23	21.85	21.88	3699157	EUR	
19/10/2018 00:00	22.03	22.07	21.68	21.87	4467381	EUR	
22/10/2018 00:00	22.12	22.17	21.56	21.57	2637700	EUR	
23/10/2018 00:00	21.4	21.53	21.3	21.3	5478844	EUR	
24/10/2018 00:00	21.37	21.78	21.3	21.55	3458612	EUR	
25/10/2018 00:00	21.4	21.52	20.9	21.47	6653349	EUR	
26/10/2018 00:00	21.27	21.31	21.04	21.26	6435821	EUR	
29/10/2018 00:00	21.11	21.67	21.1	21.48	2554373	EUR	
30/10/2018 00:00	21.5	21.58	21.16	21.35	3297167	EUR	
31/10/2018 00:00	21.44	21.65	21.34	21.34	4564571	EUR	
01/11/2018 00:00	21.34	21.69	21.25	21.4	3538952	EUR	
02/11/2018 00:00	21.65	22.22	21.64	21.87	4154909	EUR	
05/11/2018 00:00	21.8	21.92	21.52	21.52	2717642	EUR	
06/11/2018 00:00	21.6	21.61	21.29	21.42	2211046	EUR	
07/11/2018 00:00	21.5	21.73	21.46	21.55	2873815	EUR	
08/11/2018 00:00	21.51	21.75	21.45	21.68	2442285	EUR	
09/11/2018 00:00	21.62	21.72	21.33	21.41	2334896	EUR	
12/11/2018 00:00	21.51	21.68	21.37	21.48	2546285	EUR	
13/11/2018 00:00	21.45	21.64	21.38	21.49	1799015	EUR	
14/11/2018 00:00	21.38	21.62	21.15	21.32	3549519	EUR	
15/11/2018 00:00	21.58	21.58	20.94	21.02	4183573	EUR	
16/11/2018 00:00	22	22.39	21.61	21.67	7619637	EUR	
19/11/2018 00:00	21.97	22	21.64	21.64	2918278	EUR	
20/11/2018 00:00	21.52	21.52	21.08	21.09	4905207	EUR	
21/11/2018 00:00	21.19	21.54	21.05	21.53	3676778	EUR	
22/11/2018 00:00	21.42	21.42	21.1	21.1	2126840	EUR	
23/11/2018 00:00	21.36	21.51	21.16	21.23	1767096	EUR	
26/11/2018 00:00	21.39	21.72	21.31	21.72	2775908	EUR	
27/11/2018 00:00	21.67	21.9	21.61	21.88	2089807	EUR	
28/11/2018 00:00	21.92	22.17	21.89	21.95	2555516	EUR	
29/11/2018 00:00	22.02	22.46	22.02	22.29	3602624	EUR	
30/11/2018 00:00	22.34	22.43	21.93	22	3156410	EUR	
03/12/2018 00:00	22.5	22.65	22.16	22.45	3723676	EUR	
04/12/2018 00:00	22.31	22.47	22.01	22.01	3200762	EUR	
05/12/2018 00:00	21.78	21.96	21.62	21.8	2783436	EUR	
06/12/2018 00:00	21.7	21.73	21.05	21.1	4194622	EUR	
07/12/2018 00:00	21.22	21.79	21.22	21.25	3739345	EUR	
10/12/2018 00:00	21.2	21.3	20.93	20.93	4562042	EUR	
11/12/2018 00:00	21.11	21.39	21.06	21.1	2693897	EUR	
12/12/2018 00:00	21.25	21.57	21.21	21.45	3123264	EUR	
13/12/2018 00:00	21.6	21.6	21.25	21.46	2163709	EUR	
14/12/2018 00:00	21.38	21.49	21.16	21.29	2786573	EUR	
17/12/2018 00:00	21.12	21.28	21.03	21.03	2428588	EUR	
18/12/2018 00:00	21	21.31	21	21.07	3746032	EUR	
19/12/2018 00:00	21	21.47	21	21.34	3445866	EUR	
20/12/2018 00:00	21.05	21.12	20.99	20.99	5789223	EUR	
21/12/2018 00:00	21.02	21.32	20.9	21.22	7268106	EUR	
24/12/2018 00:00	21.02	21.19	21	21	967934	EUR	
27/12/2018 00:00	21.05	21.19	20.81	20.97	3966145	EUR	
28/12/2018 00:00	21.06	21.2	20.97	21.02	2919190	EUR	
31/12/2018 00:00	20.95	21.28	20.93	21.28	619875	EUR	
02/01/2019 00:00	21.04	21.28	20.8	21.24	2408522	EUR	
03/01/2019 00:00	21.08	21.25	20.97	21.05	2515121	EUR	
04/01/2019 00:00	21.19	21.49	21.07	21.41	3224677	EUR	
07/01/2019 00:00	21.56	21.75	21.5	21.64	2967559	EUR	
08/01/2019 00:00	21.67	21.97	21.6	21.7	2705029	EUR	
09/01/2019 00:00	21.78	21.92	21.72	21.72	2758321	EUR	
10/01/2019 00:00	21.84	22.1	21.59	21.78	3650388	EUR	
11/01/2019 00:00	21.84	21.98	21.73	21.76	2031035	EUR	
14/01/2019 00:00	21.6	21.71	21.42	21.71	1790907	EUR	
15/01/2019 00:00	21.92	21.99	21.54	21.59	2186962	EUR	
16/01/2019 00:00	21.61	21.81	21.51	21.76	2346084	EUR	
17/01/2019 00:00	21.61	21.95	21.59	21.88	2024577	EUR	
18/01/2019 00:00	21.99	22.08	21.91	21.97	3201630	EUR	
21/01/2019 00:00	21.86	21.92	21.69	21.76	1524982	EUR	
22/01/2019 00:00	21.68	21.86	21.64	21.73	1912219	EUR	
23/01/2019 00:00	21.64	21.81	21.49	21.49	1995783	EUR	
24/01/2019 00:00	21.52	21.57	21.38	21.53	2109444	EUR	
25/01/2019 00:00	21.6	21.75	21.57	21.64	2202217	EUR	
28/01/2019 00:00	21.55	21.66	21.49	21.66	1869580	EUR	
29/01/2019 00:00	21.73	22.14	21.66	22.14	3197905	EUR	
30/01/2019 00:00	21.98	22.25	21.96	22.24	2977480	EUR	
31/01/2019 00:00	22.26	22.5	22.02	22.24	3965503	EUR	
01/02/2019 00:00	22.27	22.41	22.16	22.39	2273797	EUR	
04/02/2019 00:00	22.4	22.59	22.24	22.59	2317629	EUR	
05/02/2019 00:00	22.68	22.86	22.38	22.86	2993810	EUR	
06/02/2019 00:00	22.8	23.11	22.77	22.79	3455031	EUR	
07/02/2019 00:00	22.62	22.78	22.37	22.39	3542532	EUR	
08/02/2019 00:00	22.45	22.48	22.15	22.2	2812868	EUR	
11/02/2019 00:00	22.29	22.5	22.28	22.5	2116459	EUR	
12/02/2019 00:00	22.63	22.75	22.44	22.44	2410147	EUR	
13/02/2019 00:00	22.44	22.57	22.39	22.41	2646745	EUR	
14/02/2019 00:00	22.6	23.23	22.46	22.73	3969723	EUR	
15/02/2019 00:00	23.45	24.45	23.41	24.01	10777169	EUR	
18/02/2019 00:00	23.93	24.05	23.71	23.93	2736957	EUR	
19/02/2019 00:00	23.95	24.12	23.67	23.84	2541268	EUR	
20/02/2019 00:00	23.95	24.06	23.82	23.95	3079065	EUR	
21/02/2019 00:00	23.88	24.13	23.85	23.97	3531279	EUR	
22/02/2019 00:00	23.99	24.26	23.91	24.23	3426089	EUR	
25/02/2019 00:00	24.22	24.44	24.2	24.27	2778656	EUR	
26/02/2019 00:00	24.21	24.44	24.11	24.42	2840550	EUR	
